GO_term p.value
GO:0004129 0.267701821607597
GO:0004784 0.113601842858015
GO:0016310 0.982407280428729
GO:0016740 0.999999994614875
GO:0003993 0.128792899535684
GO:0006233 0.0170357751277683
GO:0046034 0.0824615310265189
GO:0046872 0.999999999314108
GO:0004427 0.033795608458923
GO:0022625 0.867679125497989
GO:0032543 0.886406585540899
GO:0042254 0.977395471328837
GO:0005762 0.606097184187324
GO:0003713 0.417045408442952
GO:0045944 0.981652717681584
GO:0051017 0.0436103959364757
GO:0005934 0.834002131939621
GO:0005935 0.972210331078667
GO:0005515 0.830855252924258
GO:0005525 0.846042202769922
GO:0006414 0.997031742521597
GO:1902600 0.652853602696318
GO:0009060 0.606097184187324
GO:0004044 0.033795608458923
GO:0044205 0.0981593662527546
GO:0006366 0.914943520854911
GO:0000287 0.682968910493383
GO:0006164 0.267701821607597
GO:0009098 0.14373641755394
GO:0006355 0.999991516844898
GO:0030246 0.187119707447061
GO:0003978 0.0170357751277683
GO:0005524 0.999999959017841
GO:0000166 0.999999999604334
GO:0004834 0.0170357751277683
GO:0009073 0.187119707447061
GO:0006431 0.033795608458923
GO:0016020 NaN
GO:0019953 0.033795608458923
GO:0007005 0.545343538476026
GO:0015914 0.280371340264905
GO:0033108 0.113601842858015
GO:0045332 0.201110762396337
GO:0008565 0.494044150484742
GO:0051082 0.780393269958231
GO:0045039 0.187119707447061
GO:0042719 0.0665043402617622
GO:0042721 0.113601842858015
GO:0005763 0.447140248305153
GO:0006281 0.974407113897218
GO:0051301 0.975442631137194
GO:0008652 0.824390670746415
GO:0015288 0.0502837380074058
GO:0005694 0.918188103102949
GO:0030529 0.998381520420471
GO:0032259 0.784426451409871
GO:0001678 0.0824615310265189
GO:0006887 0.561316163852609
GO:0016578 0.0981593662527546
GO:0030447 0.201110762396337
GO:0035753 0.17289608028078
GO:0043161 0.613124888305302
GO:0043248 0.280371340264905
GO:0051726 0.385398477339239
GO:0072742 0.0170357751277683
GO:0005829 1
GO:0009055 0.537151530160279
GO:0006122 0.201110762396337
GO:0006123 0.254820587159182
GO:0003824 0.999112678997901
GO:0003961 0.0170357751277683
GO:0004124 0.0665043402617622
GO:0030170 0.553397683055725
GO:0016765 0.17289608028078
GO:0006520 0.374491618019616
GO:0008152 0.996096757890853
GO:0009086 0.427245838741413
GO:0019344 0.17289608028078
