"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"YKR023W","-0.0925332","-0.01049324","3.57312e-11"," 7.67610","0.854121"," 73"
"SNF12"," 0.0921055"," 0.01536969","4.39678e-11"," 7.58601","0.872088"," 46"
"INO2"," 0.0920220"," 0.02197456","4.57804e-11"," 7.56847","0.881003"," 91"
"VPS24"," 0.0917340"," 0.00702547","5.28376e-11"," 7.50621","0.874733"," 73"
"ELP4","-0.0911217","-0.01386346","7.06085e-11"," 7.38029","0.886582"," 78"
"HFI1"," 0.0905948"," 0.02358933","9.08095e-11"," 7.27102","0.810665"," 96"
"RAD26"," 0.0903974"," 0.00833046","9.97496e-11"," 7.23024","0.925998"," 93"
"STE5","-0.0898031","-0.00754381","1.33837e-10"," 7.10257","0.938737"," 36"
"PFK2"," 0.0895166"," 0.02209869","1.51303e-10"," 7.04930","0.868687"," 95"
"ACO1"," 0.0893524"," 0.02521450","1.63447e-10"," 7.01577","0.841545","107"
"RMI1"," 0.0891568"," 0.00918716","1.79170e-10"," 6.97588","0.920997"," 67"
"HSE1"," 0.0890934"," 0.01873583","1.84574e-10"," 6.96298","0.849233","159"
"CTF8","-0.0882679","-0.00802142","2.71258e-10"," 6.79577","0.906945","104"
"UAF30"," 0.0881905"," 0.01419226","2.81180e-10"," 6.78016","0.852034","156"
"UBA4","-0.0877535","-0.01307359","3.44212e-10"," 6.69232","0.888683","193"
"MIG1","-0.0873958","-0.00803666","4.05889e-10"," 6.62074","0.890658"," 90"
"RAD1","-0.0870964","-0.00945843","4.65703e-10"," 6.56104","0.907547"," 61"
"BRR1"," 0.0868379"," 0.00757702","5.24204e-10"," 6.50965","0.850412"," 75"
"NCS2","-0.0866962","-0.01275202","5.59237e-10"," 6.48155","0.893625","122"
"PEP7"," 0.0866801"," 0.01455107","5.63360e-10"," 6.47836","0.854974"," 63"
"RCO1"," 0.0858128"," 0.00907941","8.35241e-10"," 6.30734","0.890608","109"
"PRE9"," 0.0857965"," 0.01729785","8.41397e-10"," 6.30415","0.844888","145"
"VPS27"," 0.0855255"," 0.01053673","9.50800e-10"," 6.25106","0.931895","108"
"RIM1"," 0.0848403"," 0.01889966","1.29295e-09"," 6.11757","0.899099","119"
"GEP3"," 0.0843748"," 0.01709308","1.59105e-09"," 6.02746","0.820069","126"
"EDE1"," 0.0843594"," 0.00785762","1.60793e-09"," 6.02288","0.859843"," 72"
"ATG23","-0.0839524","-0.00645288","1.93281e-09"," 5.94296","0.921588"," 59"
"SNF11","-0.0837890","-0.00727612","2.06999e-09"," 5.91318","0.942833"," 55"
"RGT2","-0.0824038","-0.00645302","3.78359e-09"," 5.65124","0.943677"," 78"
"ADA2"," 0.0822029"," 0.01797984","4.12816e-09"," 5.61339","0.868344"," 74"
"UFD2"," 0.0818139"," 0.00887431","4.90149e-09"," 5.53882","0.939923"," 88"
"YHR003C","-0.0815978","-0.01116853","5.36116e-09"," 5.49989","0.835995"," 91"
"PTP3"," 0.0813642"," 0.00723667","5.94776e-09"," 5.45479","0.942701"," 79"
"MED1"," 0.0806127"," 0.01180072","8.17205e-09"," 5.31682","0.901370"," 35"
"DID4"," 0.0800572"," 0.01695098","1.03423e-08"," 5.21453","0.891854","104"
"CHO2"," 0.0799910"," 0.02448908","1.06358e-08"," 5.20238","0.866222"," 88"
"ATG10","-0.0785276","-0.00668699","1.96235e-08"," 4.93637","0.882291","129"
"ARX1"," 0.0783819"," 0.00878153","2.08448e-08"," 4.91015","0.921795"," 87"
