,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
MDM30,1.0,-0.12896,5.104e-07,-0.033063,2.222e-07,1.177e-10,1.547e-14, 7.138,0.0002930,0.09094,1.208e-06
BCS1,1.0,-0.14883,4.216e-08,-0.025626,1.509e-08,1.187e-10,2.058e-15, 7.134,0.0002932,0.05466,4.216e-08
SWM2,1.0, 0.14997,2.194e-06, 0.024536,5.535e-07,1.332e-10,8.804e-14, 7.084,0.0003798,0.10338,2.446e-06
PIN4,1.0,-0.12638,5.187e-07,-0.028485,2.669e-07,1.370e-10,2.195e-14, 7.072,0.0002865,0.11446,1.825e-06
SAC3,1.0,-0.13509,1.429e-06,-0.049311,9.679e-07,1.552e-10,7.443e-14, 7.017,0.0003193,0.13711,3.258e-06
CTF18,1.0,-0.08670,9.487e-08,-0.009148,1.581e-08,1.583e-10,6.447e-15, 7.009,0.0002848,0.83731,1.785e-06
THP1,1.0,-0.13153,1.223e-06,-0.059315,1.143e-06,2.819e-10,1.406e-13, 6.758,0.0003222,0.16760,4.175e-06
DLS1,1.0,-0.11506,4.216e-08,-0.028480,1.826e-08,4.328e-10,4.756e-15, 6.572,0.0002962,0.08523,6.667e-08
SNF7,1.0,-0.10957,3.882e-07,-0.066648,5.990e-07,4.626e-10,8.556e-14, 6.543,0.0002873,0.08346,8.154e-07
RCY1,1.0,-0.12635,3.373e-07,-0.059276,2.750e-07,5.999e-10,4.511e-14, 6.430,0.0002886,0.13471,1.484e-06
SKY1,1.0,-0.14954,8.233e-08,-0.038189,3.401e-08,7.314e-10,1.584e-14, 6.344,0.0002910,0.07290,8.233e-08
DCC1,1.0,-0.08520,3.665e-07,-0.008492,4.216e-09,9.644e-10,1.341e-13, 6.224,0.0002372,0.85024,2.569e-06
SET3,1.0,-0.13083,8.756e-08,-0.025780,2.914e-08,9.790e-10,3.224e-14, 6.218,0.0003095,0.11409,1.247e-07
LSM1,1.0,-0.14134,9.944e-08,-0.044711,5.333e-08,1.059e-09,3.143e-14, 6.183,0.0002917,0.07887,9.944e-08
SSN2,1.0,-0.11993,2.271e-07,-0.073579,2.249e-07,1.133e-09,2.503e-14, 6.154,0.0002974,0.11877,9.180e-07
PFK2,1.0,-0.11681,6.868e-07,-0.057533,6.800e-07,1.178e-09,4.102e-13, 6.137,0.0003053,0.14980,1.962e-06
YAF9,1.0,-0.11245,1.065e-06,-0.031784,5.558e-07,1.580e-09,5.853e-13, 6.010,0.0003863,0.15350,3.043e-06
NCS6,1.0,-0.12416,5.889e-07,-0.031742,4.047e-07,1.581e-09,3.260e-13, 6.009,0.0002936,0.15010,3.273e-06
HOS2,1.0,-0.11534,2.601e-06,-0.023122,9.659e-07,1.638e-09,1.848e-12, 5.994,0.0007226,0.08145,3.177e-06
RGP1,1.0,-0.10447,5.060e-07,-0.055409,5.684e-07,1.927e-09,4.318e-13, 5.924,0.0002889,0.16780,2.652e-06
SSN8,1.0,-0.12845,4.216e-08,-0.078387,1.861e-07,1.963e-09,4.216e-15, 5.916,0.0002951,0.12331,8.252e-07
HAP4,1.0,-0.10772,0.000e+00,-0.033175,2.981e-08,2.169e-09,4.007e-14, 5.872,0.0003031,0.05307,7.379e-08
CCE1,1.0,-0.12035,3.474e-06,-0.028090,9.738e-07,2.285e-09,2.156e-12, 5.849,0.0004209,0.23728,6.989e-06
CTI6,1.0, 0.11296,0.000e+00, 0.036145,8.693e-08,2.759e-09,1.478e-13, 5.768,0.0002996,0.12128,1.573e-06
SPT21,1.0,-0.13805,6.325e-07,-0.044766,8.922e-08,3.397e-09,1.029e-13, 5.677,0.0002906,0.14916,2.432e-06
INO2,1.0,-0.10736,1.581e-07,-0.064153,3.397e-07,5.159e-09,2.923e-13, 5.496,0.0002920,0.14067,1.737e-06
DSS1,1.0, 0.11773,5.164e-08, 0.022683,2.547e-08,8.279e-09,1.859e-13, 5.290,0.0003005,0.07841,7.888e-08
YPT6,1.0,-0.10562,6.683e-07,-0.052297,5.658e-07,9.531e-09,2.458e-12, 5.229,0.0002988,0.19045,2.113e-06
EAF6,1.0,-0.15108,1.283e-06,-0.027941,6.415e-07,9.821e-09,4.979e-12, 5.216,0.0003302,0.05227,1.180e-06
URE2,1.0,-0.09743,1.874e-07,-0.044308,2.210e-07,1.038e-08,9.279e-13, 5.192,0.0003204,0.08576,5.148e-07
UFD4,1.0, 0.10574,6.992e-08, 0.034680,1.631e-07,1.132e-08,5.657e-13, 5.155,0.0003103,0.07181,5.187e-07
SDC1,1.0,-0.10383,5.164e-08,-0.030917,7.379e-09,1.519e-08,4.216e-14, 5.027,0.0002994,0.11804,7.888e-08
GPG1,1.0, 0.15105,7.888e-08, 0.024719,2.406e-08,2.146e-08,4.715e-13, 4.877,0.0002911,0.05935,6.749e-08
SAE2,1.0,-0.12539,5.164e-08,-0.023961,2.348e-08,2.180e-08,4.149e-13, 4.870,0.0002932,0.08198,1.059e-07
SWA2,1.0,-0.09926,7.589e-07,-0.056999,6.370e-07,2.298e-08,5.563e-12, 4.847,0.0002895,0.19177,2.816e-06
MGA2,1.0,-0.09829,2.951e-07,-0.040407,2.494e-07,2.703e-08,2.557e-12, 4.777,0.0003134,0.14858,2.309e-06
SCP160,1.0, 0.14322,3.488e-06, 0.020739,8.395e-07,3.509e-08,2.566e-11, 4.663,0.0004787,0.07658,4.123e-06
ASC1,1.0,-0.12963,5.164e-08,-0.046967,1.414e-08,3.563e-08,8.756e-14, 4.657,0.0002951,0.11974,8.233e-08
RPD3,1.0,-0.09558,6.852e-07,-0.057066,7.497e-07,3.961e-08,7.824e-12, 4.611,0.0002633,0.16969,3.005e-06
RRD1,1.0, 0.11000,4.216e-08, 0.019685,2.157e-07,4.287e-08,4.973e-12, 4.576,0.0003171,0.12951,2.547e-06
AZF1,1.0,-0.09723,7.877e-07,-0.019082,3.172e-07,4.635e-08,1.508e-11, 4.542,0.0003056,0.12039,2.131e-06
NPT1,1.0,-0.07063,0.000e+00,-0.005173,4.216e-09,5.043e-08,3.162e-14, 4.506,0.0002951,0.92379,2.132e-07
PUF6,1.0,-0.10867,9.550e-07,-0.029415,4.608e-07,5.326e-08,1.385e-11, 4.482,0.0002898,0.12280,2.436e-06
CSE2,1.0,-0.11915,3.375e-07,-0.048007,2.601e-07,5.362e-08,4.039e-12, 4.479,0.0003187,0.12700,1.008e-06
GRR1,1.0,-0.10522,6.634e-07,-0.083495,6.149e-07,5.651e-08,6.782e-12, 4.456,0.0003299,0.17869,1.874e-06
NBP2,1.0,-0.12528,4.830e-08,-0.038675,9.487e-09,5.654e-08,8.233e-14, 4.456,0.0002957,0.09465,6.749e-08
EST3,1.0, 0.05598,1.897e-07, 0.048051,5.867e-07,6.790e-08,1.731e-11, 4.377,0.0003822,0.13668,1.369e-06
SPP1,1.0, 0.10733,0.000e+00, 0.022348,6.325e-09,7.130e-08,4.714e-14, 4.355,0.0002951,0.09923,8.756e-08
CBF1,1.0,-0.10815,2.846e-07,-0.050041,2.903e-07,7.177e-08,5.094e-12, 4.352,0.0002941,0.12243,1.401e-06
CGI121,1.0, 0.10317,5.462e-07, 0.031220,5.017e-07,7.215e-08,1.737e-11, 4.350,0.0003756,0.11469,2.571e-06
TSL1,1.0,-0.11218,2.574e-06,-0.037229,1.311e-06,8.434e-08,5.882e-11, 4.282,0.0003273,0.23288,8.917e-06
RRG9,1.0,-0.10318,2.062e-06,-0.051345,1.401e-06,8.611e-08,4.313e-11, 4.273,0.0003867,0.16988,5.308e-06
FKS1,1.0,-0.10549,3.162e-08,-0.036448,2.846e-08,1.153e-07,1.337e-11, 4.147,0.0003074,0.14447,1.423e-06
YGR122W,1.0,-0.08108,3.162e-08,-0.043803,3.204e-08,1.236e-07,1.549e-12, 4.116,0.0003005,0.05332,4.830e-08
NPL3,1.0,-0.10812,5.692e-07,-0.059367,5.881e-07,1.374e-07,2.172e-11, 4.070,0.0002938,0.16398,2.307e-06
PET112,1.0, 0.12740,5.676e-08, 0.019319,7.379e-09,1.437e-07,5.270e-13, 4.051,0.0002994,0.09269,6.992e-08
RIC1,1.0,-0.09454,2.108e-07,-0.034805,2.511e-07,1.495e-07,1.351e-11, 4.034,0.0002880,0.12169,1.588e-06
IOC3,1.0, 0.06652,3.162e-07, 0.028780,3.662e-07,1.500e-07,4.140e-11, 4.032,0.0003011,0.06023,4.595e-07
NPL6,1.0,-0.10562,1.569e-06,-0.045835,9.819e-07,1.956e-07,8.236e-11, 3.917,0.0003795,0.21811,4.186e-06
RRP8,1.0,-0.09084,6.325e-08,-0.025993,2.331e-07,1.970e-07,1.957e-11, 3.914,0.0002905,0.07975,1.130e-06
SNF5,1.0,-0.06884,2.132e-07,-0.052025,5.225e-07,2.207e-07,3.724e-11, 3.865,0.0002945,0.11437,1.216e-06
TPK3,1.0, 0.07032,5.270e-08, 0.025183,2.283e-08,2.335e-07,3.777e-12, 3.840,0.0002958,0.06343,5.270e-08
OPI3,1.0,-0.08970,3.615e-07,-0.072632,9.851e-07,2.362e-07,3.245e-11, 3.835,0.0003077,0.25470,7.858e-06
RAM1,1.0,-0.09741,3.381e-07,-0.082780,7.259e-07,2.363e-07,2.591e-11, 3.835,0.0003102,0.14764,2.937e-06
NRG1,1.0, 0.08329,0.000e+00, 0.021622,1.197e-08,2.436e-07,1.650e-12, 3.822,0.0002957,0.06417,6.749e-08
EXO1,1.0,-0.09214,1.581e-07,-0.034782,1.576e-07,2.668e-07,1.483e-11, 3.782,0.0002932,0.06266,3.438e-07
RAD5,1.0,-0.09664,2.846e-07,-0.025913,2.204e-07,2.680e-07,1.825e-11, 3.780,0.0002937,0.10882,2.074e-06
RAD50,1.0,-0.10055,2.108e-07,-0.037140,2.089e-07,2.698e-07,1.409e-11, 3.777,0.0003042,0.11886,2.199e-06
SCS2,1.0,-0.09084,5.164e-08,-0.025335,1.814e-08,2.721e-07,2.011e-12, 3.774,0.0002968,0.06632,6.667e-08
SEM1,1.0,-0.09391,5.350e-07,-0.037573,4.369e-07,3.151e-07,5.466e-11, 3.710,0.0003502,0.11141,1.597e-06
DHH1,1.0,-0.11752,3.155e-06,-0.041375,1.574e-06,3.239e-07,2.217e-10, 3.698,0.0003203,0.11752,4.360e-06
HFM1,1.0,-0.09984,2.530e-07,-0.027799,1.483e-07,3.262e-07,4.638e-12, 3.695,0.0002941,0.11916,1.615e-06
SWM1,1.0,-0.10847,4.830e-08,-0.023439,3.553e-08,4.026e-07,3.148e-11, 3.604,0.0002938,0.10501,1.386e-06
SMI1,1.0,-0.12089,2.321e-07,-0.026800,1.008e-07,4.374e-07,1.581e-12, 3.568,0.0002989,0.08499,7.829e-07
RCM1,1.0, 0.09365,4.830e-08, 0.028451,1.578e-08,5.063e-07,3.381e-12, 3.504,0.0002957,0.12108,9.718e-08
CLB1,1.0, 0.11040,5.685e-07, 0.026795,2.437e-07,5.805e-07,8.472e-11, 3.445,0.0002902,0.07825,6.915e-07
STB5,1.0,-0.10848,5.125e-07,-0.039453,2.161e-07,6.262e-07,1.335e-11, 3.412,0.0002974,0.14320,2.946e-06
INO4,1.0,-0.09517,2.058e-07,-0.059242,2.552e-07,6.819e-07,1.265e-12, 3.375,0.0002973,0.13545,2.051e-06
ELA1,1.0,-0.10401,2.530e-07,-0.018994,8.290e-08,7.015e-07,2.999e-11, 3.362,0.0002926,0.10764,9.122e-07
HER2,1.0,-0.06873,0.000e+00,-0.003125,0.000e+00,7.792e-07,2.601e-12, 3.317,0.0002951,0.87727,1.080e-07
BIK1,1.0, 0.07588,5.164e-08, 0.015856,2.452e-08,9.513e-07,2.464e-11, 3.230,0.0002906,0.06681,9.428e-08
ADA2,1.0,-0.08413,8.433e-08,-0.047648,4.263e-07,9.667e-07,6.950e-11, 3.223,0.0002889,0.15569,2.469e-06
ZWF1,1.0,-0.06260,0.000e+00,-0.007018,0.000e+00,1.095e-06,3.162e-12, 3.169,0.0002951,0.92366,7.071e-08
HAP2,1.0,-0.06892,2.951e-07,-0.024477,2.226e-07,1.100e-06,5.964e-11, 3.167,0.0002920,0.08475,1.640e-06
YOR338W,0.8,-0.13144,1.246e-07,-0.021672,3.271e-08,1.170e-06,2.866e-11, 3.140,0.0002562,0.05443,7.071e-08
YVH1,1.0, 0.09038,4.743e-07, 0.041618,8.386e-07,1.274e-06,3.334e-10, 3.103,0.0002988,0.13162,3.826e-06
RAD52,1.0,-0.09274,0.000e+00,-0.028881,5.164e-09,1.478e-06,0.000e+00, 3.039,0.0002951,0.14996,1.197e-07
RCE1,1.0, 0.09417,1.287e-07, 0.018244,2.898e-08,1.517e-06,4.341e-11, 3.028,0.0002944,0.06664,8.433e-08
PTH2,1.0,-0.06830,4.001e-07,-0.023118,3.378e-07,1.533e-06,3.586e-10, 3.023,0.0003731,0.05689,6.961e-07
ASK10,1.0,-0.08472,4.830e-08,-0.035703,1.958e-08,1.562e-06,7.379e-12, 3.015,0.0002973,0.05642,6.667e-08
ULS1,1.0,-0.04874,0.000e+00,-0.023835,2.357e-08,1.839e-06,3.091e-11, 2.944,0.0002953,0.06396,6.325e-08
SER2,1.0,-0.10820,2.951e-07,-0.019663,7.074e-08,1.931e-06,1.265e-11, 2.923,0.0002973,0.09087,8.820e-07
HOS3,1.0,-0.03414,5.270e-08,-0.020611,2.860e-08,2.007e-06,4.517e-11, 2.906,0.0002969,0.07220,8.756e-08
LGE1,1.0,-0.10911,4.830e-08,-0.037950,2.953e-08,2.023e-06,2.309e-11, 2.902,0.0002984,0.08186,9.944e-08
SIR4,1.0, 0.09026,0.000e+00, 0.062786,2.669e-08,2.314e-06,1.418e-11, 2.844,0.0002936,0.05863,3.162e-08
GIS1,1.0, 0.09271,5.164e-08, 0.018042,8.165e-09,2.356e-06,1.080e-11, 2.836,0.0002968,0.13320,8.433e-08
MAC1,1.0,-0.07368,3.071e-07,-0.023608,2.311e-07,2.574e-06,3.473e-10, 2.798,0.0003126,0.07661,7.480e-07
ELP2,1.0, 0.08107,0.000e+00, 0.029933,1.506e-08,2.975e-06,1.506e-11, 2.735,0.0002962,0.08507,8.165e-08
NCS2,1.0,-0.09146,0.000e+00,-0.025286,9.944e-09,3.442e-06,6.992e-12, 2.672,0.0002951,0.12564,9.487e-08
SWD3,1.0,-0.09792,0.000e+00,-0.032227,6.325e-09,3.529e-06,4.830e-12, 2.661,0.0002951,0.11901,9.944e-08
PHO85,1.0,-0.10038,3.162e-08,-0.049646,1.549e-08,4.502e-06,1.059e-11, 2.555,0.0002951,0.08623,5.676e-08
LEU3,1.0, 0.09016,4.830e-08, 0.020400,1.252e-08,5.359e-06,1.829e-11, 2.479,0.0002962,0.06042,6.325e-08
OPI1,1.0,-0.09065,2.898e-07,-0.047878,3.713e-08,5.427e-06,6.628e-10, 2.474,0.0003168,0.13384,2.063e-06
RGT2,1.0,-0.09761,0.000e+00,-0.020242,1.370e-08,5.731e-06,4.111e-11, 2.450,0.0002957,0.07607,6.325e-08
SRV2,1.0,-0.10044,1.897e-07,-0.052170,2.991e-07,6.236e-06,5.742e-10, 2.414,0.0003245,0.17338,1.235e-06
IOC2,1.0,-0.09510,5.676e-08,-0.020902,2.312e-08,6.443e-06,9.036e-11, 2.399,0.0002947,0.07929,9.428e-08
TOP3,1.0,-0.10746,8.165e-08,-0.027624,3.340e-08,6.650e-06,4.639e-10, 2.386,0.0003020,0.08131,7.055e-07
NOT3,1.0,-0.08510,6.008e-07,-0.018732,3.905e-07,6.907e-06,1.988e-09, 2.369,0.0003056,0.15279,4.158e-06
HUR1,1.0,-0.10040,7.838e-07,-0.030003,3.311e-07,7.005e-06,9.470e-10, 2.363,0.0002784,0.16076,2.415e-06
BRE1,1.0,-0.09953,1.608e-06,-0.033920,1.040e-06,7.112e-06,2.213e-09, 2.356,0.0002834,0.12194,6.628e-06
HHF1,1.0,-0.05700,8.433e-08,-0.004319,2.044e-08,7.322e-06,3.090e-10, 2.344,0.0003030,0.91506,1.736e-06
SNF2,1.0,-0.02605,0.000e+00,-0.054243,3.327e-08,7.364e-06,5.816e-11, 2.341,0.0002962,0.09758,7.071e-08
SWI3,1.0,-0.05607,1.826e-07,-0.046198,3.923e-07,7.970e-06,7.753e-10, 2.307,0.0002935,0.13234,1.259e-06
HSE1,1.0,-0.09765,3.162e-08,-0.033898,9.944e-09,8.288e-06,2.098e-11, 2.290,0.0002951,0.16104,9.944e-08
RTT107,1.0,-0.10517,5.164e-08,-0.018352,8.165e-09,8.598e-06,2.582e-11, 2.274,0.0002968,0.09381,6.749e-08
MSH2,1.0,-0.05992,3.162e-08,-0.006172,3.162e-09,8.770e-06,1.955e-11, 2.265,0.0002951,0.92686,8.433e-08
GCN4,1.0, 0.09699,3.479e-07, 0.024556,2.290e-07,9.496e-06,8.891e-10, 2.231,0.0003261,0.07482,9.009e-07
GCN5,1.0,-0.05946,4.830e-08,-0.044312,9.487e-09,9.937e-06,2.547e-11, 2.211,0.0002951,0.12177,1.075e-07
CTF4,1.0,-0.09410,3.433e-07,-0.024026,8.341e-08,1.073e-05,1.581e-10, 2.178,0.0002963,0.18516,2.793e-06
CDC26,1.0,-0.10948,1.265e-07,-0.020546,1.265e-08,1.252e-05,7.891e-10, 2.111,0.0003012,0.10636,1.014e-06
YPK1,1.0,-0.11067,6.398e-07,-0.036462,2.222e-07,1.350e-05,6.280e-10, 2.078,0.0002906,0.14648,2.042e-06
HST1,1.0,-0.05923,6.325e-08,-0.006028,3.162e-09,1.536e-05,3.020e-10, 2.022,0.0002969,0.94365,1.792e-07
RPN13,1.0,-0.07976,9.814e-07,-0.029693,4.821e-07,1.550e-05,3.455e-09, 2.018,0.0002866,0.24317,3.086e-06
ARX1,1.0,-0.07952,9.211e-07,-0.023087,4.359e-07,1.582e-05,4.116e-09, 2.009,0.0002995,0.09063,1.392e-06
