ID,Recombination rate
YBL085W,-0.24297675349254
YBL086C,-0.0439433475875971
YBL087C,0.0565835283663675
YBL088C,-0.0740005814437769
YBL089W,-0.168122758808327
YBL090W,0.137503523749935
YBL091C,-0.234465253637023
YBL091CA,
YBL091C-A,
YBL092W,0.263034405833794
YBL093C,0.925999418556223
YBL094C,0.189033824390017
YBL095W,0.333423733725192
YBL096C,0.432959407276106
YBL097W,-0.200912693925996
YBL098W,-0.136061549576028
YBL099W,0.189033824390017
YBL100C,0.356143810225275
YBL100W-A,
YBL100W-B,
YBL100W-C,
YBL101C,-0.176250639691727
YBL101WA,
YBL101W-A,0.0565835283663675
YBL101W-B,-0.120294233717712
YBL102W,-0.321928094887362
YBL103C,-0.415037499278844
YBL104C,-0.15200309344505
YBL105C,-0.358453970912476
YBL106C,-0.104697378666693
YBL107C,0.214124805352847
YBL107WA,
YBL107W-A,
YBL108C-A,
YBL108W,0.0976107966264223
YBL109W,0.238786859587116
YBL111C,0.713695814843359
YBL112C,0.485426827170242
YBL113C,0.632268215499513
YBL113W-A,
YBR001C,-0.556393348524385
YBR002C,-0.377069649079823
YBR003W,-0.0740005814437769
YBR004C,-0.136061549576028
YBR005W,0.0285691521967709
YBR006W,-0.0892673380970874
YBR007C,-0.234465253637023
YBR008C,0.0143552929770701
YBR009C,0.565597175854225
YBR010W,0.495695162624069
YBR011C,0.37851162325373
YBR012C,0.0976107966264223
YBR012W-A,0.111031312388744
YBR012W-B,0.189033824390017
YBR013C,0.0285691521967709
YBR014C,0.0426443374084937
YBR015C,0.0426443374084937
YBR016W,0.495695162624069
YBR017C,-0.3040061868901
YBR018C,0.0565835283663675
YBR019C,0.117695042669755
YBR020W,-0.0439433475875971
YBR021W,-0.234465253637023
YBR022W,0.0
YBR023C,0.137503523749935
YBR024W,0.250961573533219
YBR025C,0.464668267003444
YBR026C,0.739848102699327
YBR027C,0.214124805352847
YBR028C,-0.0291463456595165
YBR029C,-0.15200309344505
YBR030W,-0.104697378666693
YBR031W,0.16349873228288
YBR032W,0.321928094887362
YBR033W,-0.0144995696951151
YBR034C,0.0426443374084937
YBR035C,0.137503523749935
YBR036C,-0.321928094887362
YBR037C,0.20163386116965
YBR038W,-0.15200309344505
YBR039W,-0.0291463456595165
YBR040W,0.321928094887362
YBR041W,-0.184424571137427
YBR042C,-0.209227962138
YBR043C,-0.2688167584278
YBR044C,0.070389327891398
YBR045C,-0.340075441597622
YBR046C,0.0
YBR047W,0.20163386116965
YBR048W,-0.0740005814437769
YBR049C,-0.0439433475875971
YBR050C,0.0143552929770701
YBR051W,0.400537929583729
YBR052C,0.0426443374084937
YBR053C,0.298658315564515
YBR054W,0.432959407276106
YBR055C,0.0285691521967709
YBR056C-B,
YBR056W,0.0840642647884745
YBR056W-A,
YBR057C,0.0840642647884745
YBR058C,-0.2688167584278
YBR058C-A,
YBR059C,-0.0740005814437769
YBR060C,-0.0588936890535686
YBR061C,-0.286304185156641
YBR062C,-0.2688167584278
YBR063C,-0.168122758808327
YBR064W,-0.0892673380970874
YBR065C,-0.15200309344505
YBR066C,0.321928094887362
YBR067C,0.516015147003665
YBR068C,0.137503523749935
YBR069C,-0.0439433475875971
YBR070C,0.505890929729957
YBR071W,0.298658315564515
YBR072C-A,
YBR072W,0.807354922057604
YBR073W,0.111031312388744
YBR074W,-0.2688167584278
YBR075W,-0.234465253637023
YBR076C-A,
YBR076W,0.286881147788162
YBR077C,0.505890929729957
YBR078W,0.432959407276106
YBR079C,-0.15200309344505
YBR080C,-0.0588936890535686
YBR081C,0.0285691521967709
YBR082C,0.150559676575381
YBR083W,-0.0439433475875971
YBR084C-A,0.124328135002202
YBR084W,-0.136061549576028
YBR085C-A,
YBR085W,0.16349873228288
YBR086C,0.0
YBR087W,-0.0439433475875971
YBR088C,-0.184424571137427
YBR089CA,
YBR089C-A,
YBR089W,-0.0144995696951151
YBR090C,-0.15200309344505
YBR090C-A,-0.104697378666693
YBR091C,-0.168122758808327
YBR092C,-0.217591435072627
YBR093C,0.0285691521967709
YBR094W,0.150559676575381
YBR095C,-0.184424571137427
YBR096W,0.321928094887362
YBR097W,-0.0291463456595165
YBR098W,-0.184424571137427
YBR099C,-0.120294233717712
YBR100W,-0.217591435072627
YBR101C,-0.15200309344505
YBR102C,-0.15200309344505
YBR103C-A,
YBR103W,-0.2688167584278
YBR104W,0.20163386116965
YBR105C,0.516015147003665
YBR106W,1.05658352836637
YBR107C,0.650764559116902
YBR108W,0.356143810225275
YBR109C,-0.0740005814437769
YBR109W-A,
YBR110W,-0.0291463456595165
YBR111C,-0.104697378666693
YBR111W-A,
YBR112C,0.124328135002202
YBR113W,0.298658315564515
YBR114W,0.111031312388744
YBR115C,-0.2688167584278
YBR116C,0.070389327891398
YBR117C,0.0565835283663675
YBR118W,0.432959407276106
YBR119W,0.189033824390017
YBR120C,-0.0588936890535686
YBR121C,-0.0144995696951151
YBR121C-A,
YBR122C,0.286881147788162
YBR123C,0.0426443374084937
YBR124W,0.111031312388744
YBR125C,0.516015147003665
YBR126C,0.855989697308481
YBR126W-A,
YBR126W-B,
YBR127C,1.11769504266975
YBR128C,0.565597175854225
YBR129C,0.286881147788162
YBR130C,-0.0439433475875971
YBR131C-A,
YBR131W,0.0976107966264223
YBR132C,0.669026765509631
YBR133C,0.400537929583729
YBR134W,0.344828496997441
YBR135W,0.250961573533219
YBR136W,-0.200912693925996
YBR137W,-0.136061549576028
YBR138C,0.0565835283663675
YBR139W,-0.104697378666693
YBR140C,-0.136061549576028
