ID,Physical interaction
YBR136W,94.0
YBR137W,14.0
YBR138C,10.0
YBR139W,28.0
YBR140C,29.0
YBR141C,32.0
YBR141W-A,
YBR142W,40.0
YBR143C,34.0
YBR144C,
YBR145W,12.0
YBR146W,21.0
YBR147W,41.0
YBR148W,6.0
YBR149W,18.0
YBR150C,19.0
YBR151W,5.0
YBR152W,14.0
YBR153W,6.0
YBR154C,70.0
YBR155W,19.0
YBR156C,29.0
YBR157C,18.0
YBR158W,34.0
YBR159W,138.0
YBR160W,84.0
YBR161W,9.0
YBR162C,20.0
YBR162WA,
YBR162W-A,27.0
YBR163W,13.0
YBR164C,189.0
YBR165W,19.0
YBR166C,9.0
YBR167C,69.0
YBR168W,44.0
YBR169C,30.0
YBR170C,32.0
YBR171W,256.0
YBR172C,34.0
YBR173C,73.0
YBR174C,
YBR175W,204.0
YBR176W,14.0
YBR177C,45.0
YBR178W,
YBR179C,43.0
YBR180W,13.0
YBR181C,91.0
YBR182C,17.0
YBR182C-A,
YBR183W,35.0
YBR184W,5.0
YBR185C,85.0
YBR186W,21.0
YBR187W,13.0
YBR188C,32.0
YBR189W,69.0
YBR190W,
YBR191W,32.0
YBR191W-A,
YBR192W,16.0
YBR193C,87.0
YBR194W,139.0
YBR195C,86.0
YBR196C,35.0
YBR196C-A,2.0
YBR196C-B,
YBR197C,7.0
YBR198C,82.0
YBR199W,14.0
YBR200W,277.0
YBR200W-A,
YBR201C-A,1.0
YBR201W,61.0
YBR202W,32.0
YBR203W,8.0
YBR204C,4.0
YBR205W,27.0
YBR206W,
YBR207W,16.0
YBR208C,13.0
YBR209W,
YBR210W,20.0
YBR211C,40.0
YBR212W,42.0
YBR213W,12.0
YBR214W,20.0
YBR215W,111.0
YBR216C,18.0
YBR217W,21.0
YBR218C,80.0
YBR219C,7.0
YBR220C,11.0
YBR221C,138.0
YBR221W-A,
YBR222C,16.0
YBR223C,25.0
YBR223W-A,
YBR224W,
YBR225W,29.0
YBR226C,
YBR227C,33.0
YBR228W,21.0
YBR229C,100.0
YBR230C,18.0
YBR230W-A,1.0
YBR231C,369.0
YBR232C,
YBR233W,26.0
YBR233W-A,8.0
YBR234C,20.0
YBR235W,34.0
YBR236C,10.0
YBR237W,12.0
YBR238C,67.0
YBR239C,16.0
YBR240C,11.0
YBR241C,5.0
YBR242W,5.0
YBR243C,32.0
YBR244W,22.0
YBR245C,148.0
YBR246W,25.0
YBR247C,46.0
YBR248C,9.0
YBR249C,19.0
YBR250W,8.0
YBR251W,19.0
YBR252W,20.0
YBR253W,27.0
YBR254C,102.0
YBR255C-A,5.0
YBR255W,85.0
YBR256C,10.0
YBR257W,25.0
YBR258C,23.0
YBR259W,9.0
YBR260C,76.0
YBR261C,14.0
YBR262C,26.0
YBR263W,28.0
YBR264C,19.0
YBR265W,24.0
YBR266C,
YBR267W,179.0
YBR268W,8.0
YBR269C,20.0
YBR270C,27.0
YBR271W,5.0
YBR272C,33.0
YBR273C,25.0
YBR274W,129.0
YBR275C,59.0
YBR276C,10.0
YBR277C,
YBR278W,86.0
YBR279W,107.0
YBR280C,9.0
YBR281C,16.0
YBR282W,13.0
YBR283C,111.0
YBR284W,23.0
YBR285W,11.0
YBR286W,22.0
YBR287W,17.0
YBR288C,70.0
YBR289W,142.0
YBR290W,53.0
YBR291C,69.0
YBR292C,
YBR293W,13.0
YBR294W,37.0
YBR295W,16.0
YBR296C,15.0
YBR296C-A,
YBR297W,14.0
YBR298C,23.0
YBR298C-A,2.0
YBR299W,19.0
YBR300C,
YBR301W,4.0
YBR302C,2.0
YCL001W,118.0
YCL001W-A,13.0
YCL001W-B,1.0
YCL002C,22.0
YCL003W,
YCL004W,10.0
YCL005W,7.0
YCL005W-A,7.0
YCL006C,
YCL007C,
YCL008C,100.0
YCL009C,40.0
YCL010C,174.0
YCL011C,72.0
YCL012C,2.0
YCL012W,
YCL013W,
YCL014W,50.0
YCL016C,206.0
YCL017C,17.0
YCL018W,14.0
YCL019W,
YCL020W,
YCL021W,
YCL021W-A,
YCL022C,
YCL023C,
YCL024W,43.0
YCL025C,64.0
YCL026C,
YCL026CA,
YCL026C-A,8.0
YCL026C-B,3.0
YCL027W,20.0
YCL028W,58.0
YCL029C,92.0
YCL030C,13.0
YCL031C,45.0
YCL032W,307.0
YCL033C,13.0
YCL034W,11.0
YCL035C,29.0
YCL036W,14.0
YCL037C,127.0
