ID,Protein half life
YCL033C,251.5
YCL034W,473.3
YCL035C,569.1
YCL036W,127.3
YCL037C,630.2
YCL038C,
YCL039W,582.3
YCL040W,905.3
YCL041C,
YCL042W,
YCL043C,745.4
YCL044C,440.4
YCL045C,482.1
YCL046W,
YCL047C,9627.3
YCL048W,
YCL048W-A,
YCL049C,
YCL050C,904.0
YCL051W,
YCL052C,
YCL053C,
YCL054W,514.5
YCL054W-A,
YCL055W,39.7
YCL056C,
YCL057C-A,377.8
YCL057W,544.4
YCL058C,
YCL058W-A,70.8
YCL059C,419.0
YCL060C,
YCL061C,
YCL062W,
YCL063W,
YCL064C,90.6
YCL065W,
YCL066W,
YCL067C,15.5
YCL068C,
YCL069W,
YCL073C,
YCL074W,
YCL075W,
YCL076W,
YCR001W,
YCR002C,1301.8
YCR003W,
YCR004C,438.3
YCR005C,84.1
YCR006C,
YCR007C,
YCR008W,292.2
YCR009C,578.4
YCR010C,
YCR011C,1028.0
YCR012W,984.6
YCR013C,
YCR014C,
YCR015C,401.2
YCR016W,475.4
YCR017C,
YCR018C,
YCR018C-A,
YCR019W,458.1
YCR020C,
YCR020CA,
YCR020C-A,138.6
YCR020WB,
YCR020W-B,556.9
YCR021C,
YCR022C,
YCR023C,
YCR024C,570.2
YCR024CA,
YCR024C-A,
YCR024C-B,
YCR025C,
YCR026C,250.2
YCR027C,591.5
YCR028C,
YCR028CA,
YCR028C-A,544.4
YCR029C,
YCR029C-A,
YCR030C,655.4
YCR031C,598.1
YCR032W,
YCR033W,
YCR034W,2042.6
YCR035C,587.5
YCR036W,482.4
YCR037C,
YCR038C,
YCR038W-A,
YCR039C,15.5
YCR040W,
YCR041W,
YCR042C,298.9
YCR043C,563.6
YCR044C,
YCR045C,
YCR045W-A,
YCR046C,396.4
YCR047C,403.0
YCR047W-A,
YCR048W,
YCR049C,
YCR050C,
YCR051W,587.2
YCR052W,566.4
YCR053W,617.0
YCR054C,289.0
YCR055C,
YCR056W,
YCR057C,591.0
YCR058C,
YCR059C,
YCR060W,
YCR061W,
YCR062W,
YCR063W,
YCR064C,
YCR065W,
YCR066W,384.9
YCR067C,
YCR068W,
YCR069W,59.8
YCR070W,
YCR071C,326.1
YCR072C,492.3
YCR073C,501.4
YCR073WA,
YCR073W-A,506.3
YCR074C,
YCR075C,410.3
YCR075W-A,
YCR076C,548.1
YCR077C,557.7
YCR079W,1183.0
YCR080W,
YCR081C-A,
YCR081W,
YCR082W,56.1
YCR083W,413.9
YCR084C,516.8
YCR085W,
YCR086W,410.6
YCR087C-A,420.6
YCR087W,
YCR088W,555.4
YCR089W,
YCR090C,687.8
YCR091W,
YCR092C,
YCR093W,600.9
YCR094W,365.5
YCR095C,1745.9
YCR095W-A,
YCR096C,15.5
YCR097W,
YCR097WA,
YCR097W-A,
YCR097WB,
YCR098C,
YCR099C,
YCR100C,155.8
YCR101C,
YCR102C,643.6
YCR102WA,
YCR102W-A,
YCR103C,
YCR104W,
YCR105W,
YCR106W,
YCR107W,
YCR108C,
YDL001W,892.6
YDL002C,
YDL003W,47.4
YDL004W,
YDL005C,335.6
YDL006W,624.6
YDL007C-A,
YDL007W,563.6
YDL008W,89.0
YDL009C,
YDL010W,145.1
YDL011C,
YDL012C,
YDL013W,
YDL014W,580.1
YDL015C,659.0
YDL016C,
YDL017W,328.1
YDL018C,592.2
YDL019C,424.2
YDL020C,
YDL021W,
YDL022C-A,
YDL022W,1469.0
YDL023C,
YDL024C,
YDL025C,345.7
YDL025W-A,
YDL026W,
YDL027C,521.4
YDL028C,
YDL029W,675.0
YDL030W,696.3
YDL031W,458.1
YDL032W,
YDL033C,
YDL034W,
YDL035C,
YDL036C,
YDL037C,
YDL038C,
YDL039C,
YDL040C,699.3
YDL041W,
YDL042C,382.6
YDL043C,312.6
YDL044C,369.4
YDL045C,537.3
YDL045WA,
YDL045W-A,221.5
YDL046W,424.7
YDL047W,603.5
YDL048C,
YDL049C,
YDL050C,
YDL051W,661.1
YDL052C,496.3
YDL053C,292.6
YDL054C,
YDL055C,603.4
YDL056W,466.4
YDL057W,
YDL058W,614.9
YDL059C,
YDL060W,504.4
YDL061C,764.9
YDL062W,
YDL063C,430.4
YDL064W,573.3
YDL065C,480.2
YDL066W,551.9
YDL067C,153.1
YDL068W,
YDL069C,
YDL070W,42.8
YDL071C,
YDL072C,463.4
YDL073W,184.8
YDL074C,484.4
YDL075W,
YDL076C,436.4
YDL077C,1000.1
YDL078C,526.7
YDL079C,
YDL080C,
YDL081C,635.3
YDL082W,5921.1
YDL083C,662.1
YDL084W,620.7
YDL085C-A,1069.1
YDL085W,
YDL086C-A,
YDL086W,540.7
YDL087C,448.6
YDL088C,618.5
YDL089W,460.8
YDL090C,420.5
YDL091C,336.5
YDL092W,578.5
YDL093W,
YDL094C,
YDL095W,640.4
YDL096C,
YDL097C,714.4
YDL098C,424.8
YDL099W,628.9
YDL100C,783.8
YDL101C,401.7
YDL102W,313.7
YDL103C,685.9
YDL104C,412.1
YDL105W,389.6
YDL106C,336.4
YDL107W,339.2
YDL108W,2563.6
YDL109C,
YDL110C,217.0
YDL111C,620.2
YDL112W,655.4
YDL113C,606.3
YDL114W,
YDL114W-A,
YDL115C,459.2
YDL116W,681.5
YDL117W,746.7
YDL118W,
YDL119C,
YDL120W,296.2
YDL121C,392.3
YDL122W,535.9
YDL123W,
YDL124W,1005.4
YDL125C,616.4
YDL126C,563.7
YDL127W,
YDL128W,391.4
YDL129W,484.5
YDL130W,675.2
YDL130WA,
YDL130W-A,
YDL131W,711.2
YDL132W,563.5
YDL133CA,
YDL133C-A,
YDL133W,332.9
YDL134C,
YDL134C-A,
YDL135C,662.7
YDL136W,591.1
YDL137W,590.3
YDL138W,
YDL139C,261.9
YDL140C,365.8
YDL141W,638.5
YDL142C,
YDL143W,618.8
YDL144C,620.1
YDL145C,654.4
YDL146W,
YDL147W,640.2
YDL148C,488.2
YDL149W,
YDL150W,467.8
YDL151C,
YDL152W,
YDL153C,433.7
YDL154W,
YDL155W,
YDL156W,382.2
YDL157C,123.7
YDL158C,
YDL159C-B,
YDL159W,451.2
YDL159W-A,
YDL160C,493.2
YDL160C-A,417.6
YDL161W,526.7
YDL162C,
YDL163W,
YDL164C,466.1
YDL165W,1050.5
YDL166C,539.4
YDL167C,412.4
YDL168W,709.0
YDL169C,
YDL170W,
YDL171C,512.1
YDL172C,
YDL173W,512.9
YDL174C,393.8
YDL175C,240.1
YDL176W,256.5
YDL177C,
YDL178W,542.4
YDL179W,
YDL180W,
YDL181W,596.2
YDL182W,791.5
YDL183C,1397.4
YDL184C,
YDL185C-A,
YDL185W,526.2
YDL186W,
YDL187C,
YDL188C,507.0
YDL189W,401.6
YDL190C,651.3
YDL191W,591.1
YDL192W,590.3
YDL193W,378.3
YDL194W,
YDL195W,691.6
YDL196W,
YDL197C,257.7
YDL198C,790.5
YDL199C,
YDL200C,
YDL201W,594.8
YDL202W,343.1
YDL203C,447.3
YDL204W,87.3
YDL205C,860.5
YDL206W,
YDL207W,494.4
YDL208W,603.9
YDL209C,483.3
YDL210W,
YDL211C,
YDL212W,539.2
YDL213C,470.5
YDL214C,
YDL215C,799.4
YDL216C,
YDL217C,786.0
YDL218W,
YDL219W,680.5
YDL220C,421.2
YDL221W,
YDL222C,
YDL223C,
YDL224C,189.2
YDL225W,604.0
YDL226C,620.3
YDL227C,
YDL228C,
YDL229W,578.6
YDL230W,720.9
YDL231C,
YDL232W,
YDL233W,
YDL234C,488.5
YDL235C,579.4
YDL236W,563.9
YDL237W,459.6
YDL238C,
YDL239C,
YDL240C-A,
YDL240W,382.5
YDL241W,
YDL242W,
YDL243C,
YDL244W,
YDL245C,
YDL246C,
YDL247W,
YDL247W-A,
YDL248W,
YDR001C,566.2
YDR002W,621.7
YDR003W,154.7
YDR003W-A,
YDR004W,
YDR005C,407.2
YDR006C,
YDR007W,822.2
YDR008C,
YDR009W,
YDR010C,
YDR011W,493.0
YDR012W,531.5
YDR013W,537.2
YDR014W,
YDR014W-A,
YDR015C,
YDR016C,303.9
YDR017C,351.0
YDR018C,
YDR019C,580.5
YDR020C,529.4
YDR021W,563.7
YDR022C,333.8
YDR023W,627.0
YDR024W,
YDR025W,531.8
YDR026C,
YDR027C,747.2
YDR028C,444.3
YDR029W,
YDR030C,
YDR031W,552.2
YDR032C,543.2
YDR033W,614.3
YDR034C,
YDR034CA,
YDR034C-A,
YDR034C-C,
YDR034C-D,
YDR034WB,
YDR034W-B,
YDR035W,924.8
YDR036C,448.3
YDR037W,728.9
YDR038C,
YDR039C,228.0
YDR040C,170.2
YDR041W,356.5
YDR042C,
YDR043C,
YDR044W,724.5
YDR045C,298.0
YDR046C,
YDR047W,2578.9
YDR048C,
YDR049W,567.2
YDR050C,672.2
YDR051C,539.4
YDR052C,375.3
YDR053W,
YDR054C,195.5
YDR055W,112.2
YDR056C,446.6
YDR057W,
YDR058C,
YDR059C,
YDR060W,489.0
YDR061W,836.5
YDR062W,516.2
YDR063W,1016.7
YDR064W,635.1
YDR065W,
YDR066C,
YDR067C,878.1
YDR068W,544.7
YDR069C,
YDR070C,
YDR071C,638.9
YDR072C,
YDR073W,
YDR074W,582.7
YDR075W,
YDR076W,
YDR077W,13.1
YDR078C,
YDR079C-A,375.5
YDR079W,
YDR080W,333.7
YDR081C,529.5
YDR082W,
YDR083W,450.4
YDR084C,479.9
YDR085C,
YDR086C,40.4
YDR087C,499.5
YDR088C,503.6
YDR089W,512.3
YDR090C,
YDR091C,570.8
YDR092W,
YDR093W,680.4
YDR094W,
YDR095C,
YDR096W,511.6
YDR097C,464.1
YDR098C,816.7
YDR098C-A,
YDR098C-B,
YDR099W,645.2
YDR100W,
YDR101C,546.6
YDR102C,
YDR103W,181.3
YDR104C,
YDR105C,
YDR106W,
YDR107C,380.1
YDR108W,601.4
YDR109C,489.0
YDR110W,464.4
YDR111C,317.4
YDR112W,
YDR113C,
YDR114C,
YDR115W,
YDR116C,495.7
YDR117C,559.7
YDR118W,
YDR118W-A,
YDR119W,422.9
YDR119W-A,
YDR120C,483.1
YDR121W,637.6
YDR122W,651.2
YDR123C,
YDR124W,
YDR125C,
YDR126W,
YDR127W,722.8
YDR128W,374.4
YDR129C,560.8
YDR130C,
YDR131C,
YDR132C,
YDR133C,
YDR134C,
YDR135C,700.3
YDR136C,
YDR137W,387.7
YDR138W,493.8
YDR139C,1435.0
YDR140W,473.8
YDR141C,653.8
YDR142C,
YDR143C,199.2
YDR144C,
YDR145W,511.5
YDR146C,26.8
YDR147W,347.3
YDR148C,530.6
YDR149C,
YDR150W,304.8
YDR151C,
YDR152W,685.3
YDR153C,418.6
YDR154C,
YDR155C,650.5
YDR156W,550.0
YDR157W,
YDR158W,1037.9
YDR159W,941.2
YDR160W,
YDR161W,649.4
YDR162C,633.1
YDR163W,154.6
YDR164C,637.6
YDR165W,566.8
YDR166C,360.5
YDR167W,591.8
YDR168W,704.1
YDR169C,297.4
YDR169C-A,
YDR170C,533.1
YDR170W-A,
YDR171W,1283.8
YDR172W,578.7
YDR173C,453.0
YDR174W,696.4
YDR175C,322.0
YDR176W,583.7
YDR177W,467.7
