,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
BRE2,0.4,-0.12092,0.000e+00,-0.045079,1.708e-08,1.904e-11,1.414e-16, 7.930,8.855e-04,0.09818,5.000e-08
PIN4,0.4,-0.12800,5.000e-08,-0.030261,1.826e-08,2.986e-11,3.109e-16, 7.734,6.983e-04,0.10834,9.574e-08
CTF18,0.8,-0.09090,0.000e+00,-0.009701,3.536e-09,3.231e-11,9.910e-17, 7.700,6.452e-04,0.84486,5.175e-08
YAP1,0.7, 0.13138,6.532e-07, 0.033335,3.585e-07,3.368e-11,1.022e-14, 7.682,7.413e-04,0.06743,6.317e-07
DLS1,0.7,-0.11795,4.880e-08,-0.030408,2.193e-08,4.452e-11,6.726e-16, 7.561,9.682e-04,0.08326,9.512e-08
PEX4,0.4, 0.14565,9.574e-08, 0.043393,5.354e-08,4.460e-11,1.509e-15, 7.560,6.782e-04,0.07414,9.574e-08
CTF8,0.7,-0.08606,0.000e+00,-0.007230,0.000e+00,5.966e-11,5.345e-17, 7.434,8.805e-04,0.90016,6.901e-08
SWM2,0.4, 0.15301,9.574e-08, 0.025422,3.162e-08,1.003e-10,3.697e-15, 7.208,1.344e-03,0.09709,9.574e-08
ASC1,0.3,-0.14481,0.000e+00,-0.056114,1.155e-08,1.172e-10,0.000e+00, 7.140,8.083e-04,0.11366,5.774e-08
HHT1,1.0,-0.10254,2.572e-02,-0.011443,9.961e-03,1.183e-10,8.163e-11, 8.692,2.753e+00,0.66621,4.009e-01
SSN3,0.3,-0.12493,1.732e-07,-0.094812,5.724e-07,1.355e-10,1.620e-14, 7.078,1.453e-03,0.11813,1.274e-06
PUF3,0.1, 0.09089,       NA, 0.024174,       NA,1.539e-10,       NA, 7.022,       NA,0.09026,       NA
CKB1,1.0,-0.08848,3.973e-02,-0.032693,1.631e-02,2.144e-10,1.846e-10,12.169,7.117e+00,0.41854,4.239e-01
