Gene	HL_IB	HL_MS	PP
YBL095W	46.0	NA	0.8301
YBL096C	NA	NA	1.153
YBL097W	3.0	NA	NA
YBL098W	175.0	786.0	0.8452
YBL099W	49.0	517.2	0.5326
YBL100C	NA	NA	1.105
YBL100W-C	NA	NA	NA
YBL101C	68.0	457.0	0.7215
YBL102W	NA	NA	0.7617
YBL103C	36.0	462.2	1.179
YBL104C	NA	873.0	NA
YBL105C	NA	601.8	NA
YBL106C	NA	NA	0.5321
YBL107C	8.0	784.4	0.6026
YBL107W-A	NA	NA	NA
YBL108C-A	NA	NA	NA
YBL108W	8.0	NA	NA
YBL109W	NA	NA	NA
YBL111C	NA	NA	NA
YBL112C	NA	NA	NA
YBL113C	NA	NA	NA
YBL113W-A	NA	NA	NA
YBR001C	29.0	NA	0.7594
YBR002C	NA	592.1	NA
YBR003W	64.0	460.2	0.6045
YBR004C	NA	NA	NA
YBR005W	NA	NA	0.9311
YBR006W	31.0	437.8	0.6312
YBR007C	20.0	279.7	0.547
YBR008C	NA	NA	0.9893
YBR009C	62.0	NA	0.5291
YBR010W	NA	NA	0.7506
YBR011C	883.0	648.9	NA
YBR012C	NA	NA	0.5489
YBR013C	NA	NA	0.5134
YBR014C	NA	155.2	0.4138
YBR015C	15.0	413.4	1.151
YBR016W	98.0	572.1	0.6267
YBR017C	41.0	767.5	NA
YBR018C	NA	NA	0.6095
YBR019C	NA	NA	0.53
YBR020W	NA	NA	0.5188
YBR021W	NA	NA	1.025
YBR022W	65.0	648.8	0.6623
YBR023C	49.0	223.0	0.5646
YBR024W	13.0	396.4	0.2947
YBR025C	136.0	874.2	1.001
YBR026C	23.0	485.7	0.7505
YBR027C	NA	NA	0.5146
YBR028C	64.0	303.7	0.3742
YBR029C	NA	435.8	NA
YBR030W	37.0	521.0	0.5972
YBR031W	NA	590.2	0.2648
YBR032W	NA	NA	0.1545
YBR033W	NA	NA	0.6964
YBR034C	43.0	715.7	0.5643
YBR035C	NA	820.5	0.6282
YBR036C	31.0	NA	0.5752
YBR037C	74.0	2148.9	0.85
YBR038W	NA	44.4	NA
YBR039W	NA	484.5	NA
YBR040W	NA	NA	0.5956
YBR041W	NA	592.1	0.5698
YBR042C	NA	720.8	0.221
YBR043C	30.0	NA	0.4987
YBR044C	NA	485.8	0.7496
YBR045C	NA	NA	0.4687
YBR046C	2.0	458.3	0.6951
YBR047W	NA	NA	0.47
YBR048W	19.0	NA	0.7159
YBR049C	12.0	451.8	NA
YBR050C	NA	NA	0.5032
YBR051W	NA	NA	0.7729
YBR052C	NA	551.4	0.3439
YBR053C	20.0	1016.8	0.4616
YBR054W	83.0	NA	0.5009
YBR055C	2.0	527.2	NA
YBR056C-B	NA	NA	NA
YBR056W	3.0	693.5	0.5543
YBR056W-A	NA	NA	NA
YBR057C	40.0	149.8	0.4004
YBR058C	39.0	527.1	0.8619
YBR058C-A	NA	421.0	NA
YBR059C	131.0	592.4	0.5987
YBR060C	25.0	477.0	NA
YBR061C	39.0	939.3	0.6251
YBR062C	8.0	112.1	0.5899
YBR063C	NA	NA	0.4995
YBR064W	NA	NA	0.4697
YBR065C	41.0	847.2	0.3305
YBR066C	10.0	NA	0.6571
YBR067C	233.0	NA	0.6484
YBR068C	18.0	51.4	0.8106
YBR069C	42.0	281.4	0.7634
YBR070C	43.0	NA	NA
YBR071W	3.0	NA	0.5318
YBR072C-A	NA	NA	NA
YBR072W	NA	NA	0.4037
YBR073W	30.0	180.3	0.5474
YBR074W	NA	NA	NA
YBR076C-A	NA	NA	NA
YBR076W	NA	NA	0.5537
YBR077C	539.0	485.5	0.6351
YBR078W	NA	124.8	0.7804
YBR079C	NA	652.7	NA
YBR080C	37.0	723.6	NA
YBR081C	193.0	612.1	2.489
YBR082C	12.0	761.5	2.149
YBR083W	NA	NA	0.5014
YBR084C-A	985.0	NA	0.5345
YBR084W	73.0	529.7	0.6991
YBR085C-A	NA	147.3	NA
YBR085W	21.0	NA	0.5615
YBR086C	482.0	828.7	NA
YBR087W	138.0	600.4	NA
YBR088C	NA	681.4	NA
YBR089C-A	103.0	461.1	NA
YBR089W	NA	NA	NA
