Gene	HL_IB	HL_MS	PP	HL_IB_quantile	HL_IB_pt	HL_MS_quantile	HL_MS_pt
YDL208W	NA	603.9	NA	NA	NA	0.535186222253961	0.3705430187800062
YDL209C	75.0	483.3	NA	0.602943093848241	0.4363811182406066	-0.21930599019652763	0.012442553366035556
YDL210W	NA	NA	0.5714	NA	NA	NA	NA
YDL211C	NA	NA	0.6227	NA	NA	NA	NA
YDL212W	95.0	539.2	NA	0.8231716109385887	0.6371641167474024	0.10397207518385605	0.18701157114456124
YDL213C	NA	470.5	0.5643	NA	NA	-0.28613493575491794	-0.02996993427602328
YDL214C	NA	NA	0.8086	NA	NA	NA	NA
YDL215C	NA	799.4	0.3887	NA	NA	1.382063132901008	0.8371968714470132
YDL216C	24.0	NA	0.5694	-0.6533766109715354	-0.519217705047238	NA	NA
YDL217C	NA	786.0	NA	NA	NA	1.3472865564618222	0.8085585651261008
YDL218W	NA	NA	0.8301	NA	NA	NA	NA
YDL219W	466.0	680.5	0.5763	1.8630739505989213	1.996816122900345	0.9699366434682002	0.5670597101386666
YDL220C	42.0	421.2	NA	-0.02509400752630838	-0.053110812697323505	-0.5379803848163829	-0.2032235167386427
YDL221W	NA	NA	NA	NA	NA	NA	NA
YDL222C	74.0	NA	0.6234	0.5894557978497783	0.4249973025246332	NA	NA
YDL223C	NA	NA	0.4501	NA	NA	NA	NA
YDL224C	NA	189.2	0.4699	NA	NA	-1.4448874452991691	-1.380005856297994
YDL225W	76.0	604.0	1.75	0.6135094449805308	0.44761602754818824	0.5361171445104288	0.37081327184498425
YDL226C	109.0	620.3	0.3403	0.930036179723713	0.7541644229378097	0.6354103767453516	0.41435692731193174
YDL227C	2.0	NA	0.6494	-5.199337582605575	-2.34150278073377	NA	NA
YDL228C	NA	NA	NA	NA	NA	NA	NA
YDL229W	149.0	578.6	0.7115	1.164443705970982	1.0207307876282496	0.3616123789414353	0.300895016633203
YDL230W	11.0	720.9	0.413	-1.2924648930969886	-1.150036074544992	1.1356022187449302	0.6631231586283062
YDL231C	NA	NA	0.5701	NA	NA	NA	NA
YDL232W	NA	NA	0.9592	NA	NA	NA	NA
YDL233W	45.0	NA	0.4738	0.06151263655249807	0.004852326861235329	NA	NA
YDL234C	77.0	488.5	0.2813	0.6256698215946752	0.4587059907241978	-0.1829275640059215	0.029396315325859797
YDL235C	107.0	579.4	NA	0.9146786412719052	0.7383940726079783	0.365201998709519	0.3031371970349094
YDL236W	NA	563.9	0.4321	NA	NA	0.2574308717349864	0.259211277468678
YDL237W	NA	459.6	0.4876	NA	NA	-0.3437326527356268	-0.06687877534694717
YDL238C	172.0	NA	0.4382	1.2753024746021526	1.143338317757332	NA	NA
YDL239C	NA	NA	0.5435	NA	NA	NA	NA
YDL240C-A	NA	NA	NA	NA	NA	NA	NA
YDL240W	62.0	382.5	0.3131	0.40471680821774897	0.27514729217668465	-0.7205305714512614	-0.35194407032122454
YDL241W	13.0	NA	0.6334	-1.1971932730470463	-1.0175495018818967	NA	NA
YDL242W	NA	NA	0.4568	NA	NA	NA	NA
YDL243C	NA	NA	0.7120000000000001	NA	NA	NA	NA
YDL244W	NA	NA	NA	NA	NA	NA	NA
YDL245C	NA	NA	NA	NA	NA	NA	NA
YDL246C	NA	NA	NA	NA	NA	NA	NA
YDL247W	NA	NA	NA	NA	NA	NA	NA
YDL247W-A	NA	NA	NA	NA	NA	NA	NA
YDL248W	NA	NA	NA	NA	NA	NA	NA
YDR001C	30.0	566.2	0.5891	-0.41016940620520764	-0.33433772614370716	0.27308902265274115	0.26579463680681187
YDR002W	NA	621.7	NA	NA	NA	0.6437240460188351	0.4180506608763565
YDR003W	78.0	154.7	0.715	0.6379234322697154	0.4696547040269992	-1.5883942935926687	-1.655921702927809
YDR003W-A	NA	NA	NA	NA	NA	NA	NA
YDR004W	34.0	NA	1.554	-0.2639845916795205	-0.23003274734247062	NA	NA
YDR005C	31.0	407.2	0.6	-0.3695581856124021	-0.3070510228336964	-0.6060668400045792	-0.2556097361247397
YDR006C	NA	NA	0.6297	NA	NA	NA	NA
YDR007W	52.0	822.2	0.3348	0.20978711012927295	0.12659559257920344	1.4411221351570607	0.884985874855969
YDR008C	NA	NA	0.5666	NA	NA	NA	NA
YDR009W	18.0	NA	0.8226	-0.9515182841460368	-0.7550857199573989	NA	NA
YDR010C	NA	NA	0.4978	NA	NA	NA	NA
YDR011W	NA	NA	0.4791	NA	NA	NA	NA
YDR012W	NA	531.5	NA	NA	NA	0.05648561480015194	0.16392034851833037
YDR013W	67.0	537.2	NA	0.48506868059807196	0.3407869003118019	0.09335315452639983	0.18104133857541016
YDR014W	15.0	NA	0.7685	-1.1001396710768057	-0.9027843759280856	NA	NA
YDR014W-A	NA	NA	NA	NA	NA	NA	NA
YDR015C	NA	NA	0.6259	NA	NA	NA	NA
YDR016C	80.0	303.9	NA	0.6611618742897374	0.4911423739910718	-1.0294044389632986	-0.6990035960140645
YDR017C	19.0	351.0	0.9266	-0.8957798188835894	-0.7110011064922753	-0.8420621778412991	-0.482902888797266
YDR018C	NA	NA	0.785	NA	NA	NA	NA
YDR019C	95.0	580.5	0.5641	0.8231716109385887	0.6371641167474024	0.3746185875790571	0.3062158374481825
YDR020C	27.0	529.4	1.041	-0.5249763962160622	-0.421816148787508	0.04280873492325514	0.15757266809837678
YDR021W	46.0	563.7	NA	0.0879329975415462	0.023336126858160514	0.2554948227060312	0.25863771715749645
YDR022C	165.0	333.8	0.5247	1.225942748902993	1.1078393204171635	-0.9190340961416954	-0.5587480003972678
YDR023W	NA	627.0	NA	NA	NA	0.6753504751410497	0.43196937335797764
YDR024W	NA	NA	1.053	NA	NA	NA	NA
YDR025W	26.0	NA	0.7882	-0.5672113899131166	-0.45307263358079974	NA	NA
YDR026C	NA	NA	0.4423	NA	NA	NA	NA
YDR027C	29.0	747.2	0.3769	-0.4528584793924642	-0.3625193200055658	1.2421398574995064	0.7231912224892016
YDR028C	NA	444.3	0.8017	NA	NA	-0.43072729929545756	-0.11998128105755633
YDR029W	NA	NA	0.7053	NA	NA	NA	NA
YDR030C	NA	NA	0.6877	NA	NA	NA	NA
YDR031W	NA	552.2	0.8384	NA	NA	0.19043187404720402	0.22535892606341784
YDR032C	40.0	543.2	0.669	-0.07912030015842841	-0.09404528997145382	0.12905406380991155	0.19889494376863898
YDR033W	208.0	614.3	0.3338	1.411293269734521	1.3058132945763024	0.6030994054248563	0.3984446998868314
YDR034C	48.0	NA	0.6233	0.12958231367213702	0.05915221036229713	NA	NA
YDR034C-A	NA	NA	NA	NA	NA	NA	NA
YDR034W-B	NA	NA	NA	NA	NA	NA	NA
YDR035W	61.0	924.8	0.7524	0.3789773215364033	0.261395626950682	1.5831718159893617	1.0868189201930567
YDR036C	67.0	448.3	0.6629999999999999	0.48506868059807196	0.3407869003118019	-0.4058336054271968	-0.1059478323489729
YDR037W	NA	728.9	NA	NA	NA	1.1738242792606792	0.6815922746204941
YDR038C	43.0	NA	NA	0.0025091400448746387	-0.03335219959238933	NA	NA
YDR039C	288.0	228.0	NA	1.610610729164559	1.5843583085609165	-1.33957749405481	-1.1172933961267486
YDR040C	NA	170.2	NA	NA	NA	-1.5215250573925467	-1.5260264034313085
YDR041W	NA	356.5	NA	NA	NA	-0.8221913615152838	-0.45932583647683767
YDR042C	NA	NA	0.3889	NA	NA	NA	NA
YDR043C	10.0	NA	0.5634	-1.349497642122869	-1.2248190377903945	NA	NA
YDR044W	NA	724.5	NA	NA	NA	1.1569307536788396	0.6714560396878679
YDR045C	NA	298.0	NA	NA	NA	-1.0554044051369118	-0.7280756115091778
YDR046C	27.0	NA	0.484	-0.5249763962160622	-0.421816148787508	NA	NA
YDR047W	845.0	2578.9	NA	2.0625820540753796	2.5074996271055197	2.4097559318155755	2.9912404247796713
YDR048C	NA	NA	0.7028	NA	NA	NA	NA
YDR049W	37.0	567.2	0.8797	-0.1701847241123691	-0.15935223485378258	0.27824189577588315	0.26864977237667453
YDR050C	96.0	672.2	0.4251	0.8320062700164733	0.6460705152946886	0.9334368468429465	0.5467164769631573
