"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"PLC1"," 0.4236366"," 0.08859552","1.26465e-259","256.11057","0.887223"," 60"
"RAD18"," 0.4231725"," 0.05569047","5.31269e-259","255.48722","0.872648"," 99"
"TPS2","-0.4230379","-0.06885552","8.05374e-259","255.30654","0.887571"," 74"
"SSN3"," 0.4227597"," 0.11035343","1.90069e-258","254.93363","0.879655"," 49"
"URC2"," 0.4223970"," 0.04889679","5.81763e-258","254.44779","0.926403","189"
"RPN10"," 0.4222567"," 0.06497007","8.96333e-258","254.26007","0.911341","127"
"PEX4","-0.4220695","-0.05490024","1.59506e-257","254.00976","0.937901"," 81"
"VAC8","-0.4217452","-0.05504099","4.32665e-257","253.57639","0.894168"," 69"
"CSE2"," 0.4200366"," 0.07076394","8.15640e-255","251.30104","0.877574"," 75"
"DBP3"," 0.4196786"," 0.05742801","2.43523e-254","250.82600","0.891771"," 72"
"PSR1","-0.4194687","-0.04207424","5.09202e-254","250.50565","0.939005"," 66"
"SNF7"," 0.4156921"," 0.06395627","4.34210e-249","245.57484","0.914240"," 45"
"FKS1"," 0.4151613"," 0.06411216","2.14587e-248","244.88094","0.885873"," 61"
"LSM6"," 0.4145087"," 0.09042028","1.52390e-247","244.02958","0.888258","180"
"DOC1"," 0.4140127"," 0.07772319","6.73998e-247","243.38388","0.844369","107"
"RAD26"," 0.4126662"," 0.04018591","3.76972e-245","241.63623","0.946598"," 54"
"MET18"," 0.4114626"," 0.04762239","1.35413e-243","240.08088","0.828987","114"
"TRM10","-0.4112587","-0.05565308","2.47985e-243","239.81811","0.876164"," 68"
"YLH47","-0.4112320","-0.03269807","3.23206e-243","239.70306","0.936203"," 42"
"ASF1"," 0.4087368"," 0.07200626","4.27049e-240","236.58206","0.875064","141"
"KAP122"," 0.4087074"," 0.04902625","4.65571e-240","236.54455","0.910931"," 84"
"NBP2"," 0.4080655"," 0.05685136","3.06987e-239","235.72542","0.909154"," 69"
"CTF18"," 0.4064771"," 0.05026140","3.20887e-237","233.70619","0.843399","109"
"NUP133"," 0.4061078"," 0.08314916","9.42439e-237","233.23829","0.871249"," 92"
"IRA1","-0.4061001","-0.05796935","9.63890e-237","233.22851","0.863730"," 69"
