,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
BRR1,0.135190234765937,-0.0718172595708195,0.00266762030940965,0.312216754587233,0.864809765234063,0.000982906200217644,-0.000948433755878992,0.0845859589553614,Y
BUD22,0.865036545374021,-0.00153247684633292,-0.00192648919252264,0.157002147083197,0.134963454625979,-0.0393722380606179,0.00223092870377528,0.482545239949943,Y
BUD20,0.854476347169328,0.00505408997334739,-0.00139507666021525,0.0983362826712958,0.145523652830672,0.120411923390316,-0.00558256088689639,0.371174422005056,Y
IBA57,0.831130393658834,0.0152337220097632,-0.0114210050092633,0.192950150469391,0.168869606341166,0.282614909174952,-0.0761188197214702,0.770311822805838,Y
CAR2,0.0657670351486647,0.0892947391474325,-0.056086722266982,0.530405778880027,0.934232964851335,-0.00395211603382381,0.00071910764300885,0.0839268329210014,Y
SRV2,0.799223589483086,-0.0127060926801629,-0.0206245979814962,0.265081094503089,0.200776410516914,0.693918944679832,-0.12058491351691,0.881517819499821,Y
BUD21,0.917068149297604,-0.00129380371934307,0.00138073110275081,0.116793895753172,0.0829318507023959,-0.0437757372000614,0.0461698622285126,0.503971808671874,Y
CCE1,0.800839088280677,0.00726116353946123,-0.00826656764621568,0.116158482097307,0.199160911719323,0.173619585189551,-0.0287279916695494,0.379484948168828,Y
CDC40,0.130853858795127,-0.15727401298146,-0.0199910161508083,0.695084772341374,0.869146141204873,0.00828103529525438,0.00352047942087634,0.218853169959751,Y
SSN3,0.142124255574979,0.646123910259572,-0.130142149393332,1.1105826578426,0.857875744425021,0.0110168523999061,-0.00563347415943359,0.240316105346674,Y
CGR1,0.924170712880178,0.0104857858375619,-0.00339365755940735,0.10049317267402,0.0758292871198215,0.0968049129627893,0.0293869144332983,0.494471068668188,Y
CHL1,0.131288568224752,0.0948844545072842,0.000202580332377611,0.217893821412425,0.868711431775248,-0.00623442335979464,-0.00170664657356486,0.06503778438623,Y
CGI121,0.893024973525473,-0.00285243588737186,0.00213919568769037,0.142203907297257,0.106975026474527,-0.0133995858900961,0.0299832748928809,0.470552583587702,Y
CIN8,0.825288271533167,-0.00713189305785218,-0.0049453448666362,0.0979457850081709,0.174711728466833,0.148436532573573,-0.0125108811704287,0.353614514224175,Y
CKB1,0.0890634987858527,-0.223287840973008,-0.0109980021248579,0.574200839610995,0.910936501214147,-0.000827644597639382,0.00336765693885599,0.112948840501648,Y
CKA2,0.851260288496426,0.000432348842559123,-0.00733895582084337,0.118891605201226,0.148739711503574,0.163805727853143,3.95406806842241e-05,0.578853145729217,Y
