,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
SWD3, 8.08767e-04,-1.47124e-04,9.50107e-01,-8.81624e-02,-2.45558e-02,3.53320e-03, 4.10327e-03, 6.55071e-04,7.89338e-01,-0.040865276,-3.07611e-02,4.52618e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.8635783,0.1364217
SDC1, 6.92760e-03, 7.48037e-03,2.72395e-01, 2.14282e-02, 3.08286e-03,1.35017e-01, 8.96511e-03, 5.80476e-03,8.81705e-01, 0.025248914, 3.54906e-03,9.76743e-02, 0.0000000, 0.0000000,0.0000000,0.0000000,0.1252636,0.8747364
BIM1,-8.24477e-02,-2.06632e-02,2.08743e-04,-4.93110e-02,-4.49430e-03,1.33575e-03,-3.13914e-02,-1.48934e-02,5.18172e-01,-0.053705042,-5.07935e-03,5.32872e-04, 0.8748870, 0.0687728,0.0000000,0.4678759,0.1517913,0.8482087
BUD13,-1.44702e-03,-2.03729e-03,7.46500e-01, 1.32528e-03, 3.70649e-04,8.60207e-01,-3.51599e-02,-2.17038e-02,5.75494e-01, 0.002883694, 4.15825e-04,8.49613e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.1255964,0.8744036
BRR1, 1.80118e-02, 2.66762e-03,5.85006e-01,-1.22176e-02,-9.48434e-04,4.44252e-01, 1.98621e-02, 8.99398e-03,7.13959e-01,-0.013657718,-1.15519e-03,3.74003e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.1351902,0.8648098
BUD22,-1.53454e-02,-1.92649e-03,4.02915e-01, 8.91983e-03, 2.23093e-03,7.66234e-01,-7.65474e-03,-1.19828e-03,6.16413e-01,-0.012504870,-9.44731e-03,8.30076e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.8650365,0.1349635
BUD20,-1.72172e-02,-1.39508e-03,3.34091e-01,-3.64371e-02,-5.58256e-03,3.27773e-01,-1.34818e-02,-1.31886e-03,3.82788e-01, 0.012034488, 6.24389e-03,8.12966e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.8544763,0.1455237
IBA57,-6.60729e-02,-1.14210e-02,4.67813e-05,-1.45823e-01,-7.61188e-02,1.45984e-09,-5.57916e-02,-1.06412e-02,3.48522e-04,-0.096602699,-1.08360e-01,3.49244e-02, 1.5244270, 6.0301944,0.6522695,0.0000000,0.8311304,0.1688696
CAR2,-1.61125e-01,-5.60867e-02,5.24265e-10, 1.00964e-02, 7.19108e-04,5.59007e-01,-1.06228e-01,-8.32831e-02,1.35355e-01, 0.008565988, 7.24272e-04,5.70746e-01, 6.4749479, 0.0000000,0.0000000,0.0000000,0.0657670,0.9342330
SRV2,-8.15773e-02,-2.06246e-02,1.19641e-07,-1.72496e-01,-1.20585e-01,4.21390e-19,-7.83242e-02,-2.05723e-02,7.79385e-07,-0.117971808,-1.07462e-01,3.44342e-03, 4.1166177,15.5698149,3.3027472,0.0000000,0.7992236,0.2007764
BUD21, 9.30467e-03, 1.38073e-03,4.21075e-01, 1.28156e-01, 4.61699e-02,1.00745e-08, 1.38320e-02, 1.63412e-03,3.60469e-01, 0.097586873, 7.41411e-02,1.59815e-01, 0.0000000, 5.1912774,0.0000000,0.0000000,0.9170681,0.0829319
CCE1,-7.50215e-02,-8.26657e-03,1.01226e-06,-1.07500e-01,-2.87280e-02,2.06872e-06,-7.77781e-02,-8.72184e-03,7.62555e-07,-0.050303323,-2.65582e-02,2.38885e-01, 3.1892052, 2.8787976,3.3122277,0.0000000,0.8008391,0.1991609
CDC40,-1.89617e-02,-1.99910e-02,6.94873e-02, 2.13380e-02, 3.52048e-03,2.71910e-01,-1.01914e-01,-1.06595e-01,8.21105e-02, 0.022781463, 5.01083e-03,1.35725e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.1308539,0.8691461
SSN3,-1.71398e-01,-1.30142e-01,3.27934e-13,-2.33448e-02,-5.63347e-03,1.08523e-01,-9.23462e-02,-1.28026e-01,4.87496e-02,-0.022956697,-5.44021e-03,1.40388e-01, 9.6787127, 0.0000000,0.0000000,0.0000000,0.1421243,0.8578757
CGR1,-3.63177e-02,-3.39366e-03,2.16283e-02, 5.59123e-02, 2.93869e-02,2.08156e-04,-3.39444e-02,-3.44336e-03,2.47707e-02, 0.094842904, 6.65929e-02,1.72985e-01, 0.0000000, 0.8761108,0.0000000,0.0000000,0.9241707,0.0758293
CHL1,-2.44720e-02, 2.02580e-04,9.51416e-01,-3.24329e-02,-1.70665e-03,7.45317e-02, 2.92662e-02, 7.82915e-03,5.95170e-01,-0.032121089,-2.09914e-03,3.62633e-02, 0.0000000, 0.0000000,0.0000000,0.0000000,0.1312886,0.8687114
CGI121, 1.42371e-02, 2.13920e-03,3.02792e-01, 9.59552e-02, 2.99833e-02,1.37028e-04, 1.47642e-02, 2.10540e-03,3.30285e-01, 0.094145130, 8.47222e-02,1.52887e-01, 0.0000000, 1.0576905,0.0000000,0.0000000,0.8930250,0.1069750
CIN8,-5.25524e-02,-4.94534e-03,5.73151e-04,-5.12654e-02,-1.25109e-02,2.20256e-02,-4.91706e-02,-4.76435e-03,1.64685e-03,-0.013535583,-6.02203e-03,7.65741e-01, 0.4362300, 0.0000000,0.0000000,0.0000000,0.8252883,0.1747117
CKB1, 1.29199e-02,-1.09980e-02,2.20795e-01, 2.93432e-02, 3.36766e-03,4.27256e-02,-7.22440e-02,-5.46219e-02,2.39404e-01, 0.033038021, 3.74536e-03,2.99927e-02, 0.0000000, 0.0000000,0.0000000,0.0000000,0.0890635,0.9109365
CKA2,-6.78070e-02,-7.33896e-03,2.49907e-05,-1.91333e-02, 3.95407e-05,9.96547e-01,-6.38120e-02,-7.55733e-03,4.09010e-05, 0.017546114, 1.30695e-02,7.08947e-01, 1.7967209, 0.0000000,1.5827649,0.0000000,0.8512603,0.1487397
CLB5,-1.56694e-02,-1.51521e-03,3.02908e-01,-9.52968e-02,-1.98708e-02,4.75590e-05,-1.21077e-02,-1.21670e-03,4.29391e-01,-0.088746957,-3.82770e-02,1.13087e-01, 0.0000000, 1.5172669,0.0000000,0.0000000,0.8637014,0.1362986
CLB2,-6.07718e-02,-4.22236e-03,1.96530e-04, 2.48224e-03,-1.02421e-04,9.83278e-01,-5.22772e-02,-4.05342e-03,6.03150e-04, 0.001244656, 5.44713e-04,9.83458e-01, 0.9010704, 0.0000000,0.4140737,0.0000000,0.8932655,0.1067345
CKB2,-3.25528e-02,-3.81254e-02,2.60036e-04, 2.35056e-02, 3.19531e-03,1.12357e-01,-9.30512e-02,-8.17135e-02,1.34543e-01, 0.021187555, 2.91015e-03,1.63721e-01, 0.7794657, 0.0000000,0.0000000,0.0000000,0.0893562,0.9106438
CLA4,-4.57037e-03,-4.69552e-04,6.74644e-01,-4.96375e-03,-4.39514e-05,9.93438e-01,-3.58715e-03,-2.75006e-04,8.13155e-01, 0.003734280, 1.99647e-03,9.54301e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.9077068,0.0922932
CLB1, 6.43521e-02, 1.31458e-02,3.07680e-02, 2.48718e-02, 1.91332e-03,1.02588e-01, 2.83887e-02, 1.47087e-02,6.34392e-01, 0.020369245, 1.63227e-03,1.81780e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.0971029,0.9028971
