,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
DIG1,0.91561527059646,-0.00533557696335187,0.0188737034880702,0.187365721435735,0.08438472940354,-0.377801963703993,-0.101657545467633,0.730496651831819,Y
DEG1,0.077368252402465,-0.0110954329993651,0.099140253322796,0.585489645361789,0.922631747597535,-0.00521502674985426,0.00921522847250266,0.15192348466633,Y
DIG2,0.0323160186922887,0.0505563285754349,0.0557628532367822,0.267918432221266,0.967683981307711,-0.000342925971643432,-0.001146444633348,0.063658810865537,Y
DSS1,0.0826705863552005,-0.0231696918243949,-0.0197977889766705,0.264268766959911,0.9173294136448,0.00279256266436976,-0.00081203280905907,0.0724805646726736,Y
DPB3,0.935548224271692,-0.00381412900929283,-0.00296020053957559,0.0970525293008741,0.0644517757283077,0.170034249475259,0.0421218173235307,0.338135838115209,Y
DST1,0.959266800422033,0.00222897076614196,-0.00330778314834854,0.0986571904885607,0.0407331995779674,-0.0570161872748514,-0.0537410999587843,0.492252474876625,Y
DUN1,0.922374879131474,-0.0156733735106297,-0.0115993363170292,0.0936897983155393,0.0776251208685256,0.202435718444239,0.0116364824028667,0.422281781895594,Y
EBS1,0.0768767752803919,0.130710553031796,-0.00986411523930089,0.26437353671928,0.923123224719608,-0.0259535871112206,0.00415909916015752,0.0817555246071073,Y
EDC1,0.0827325624601666,-0.0754958060701098,-0.0475741442188176,0.328573102074206,0.917267437539833,-0.00617532699517918,0.00474068969858243,0.089560991340445,Y
EFG1,0.0827868479173736,0.0538166786742814,-0.0464612348306233,0.554627141775725,0.917213152082626,-0.00641040300244281,-0.00833658828164405,0.137182426905185,Y
ELG1,0.891480979059995,-0.00491794711404869,-0.000104396383044618,0.0666266830475786,0.108519020940005,0.0300772308117094,-0.00121414552982648,0.223153498775252,Y
ELF1,0.964404443543143,0.00495551625265276,0.015438034075222,0.199120956124161,0.0355955564568573,-0.154550865426101,0.0243011045122227,0.729714654263193,Y
ELM1,0.0736234899944659,0.202152454692927,0.0274815075957342,0.457527815697663,0.926376510005534,-0.0220460513148801,-0.00191162067361922,0.133845793323013,Y
ERF2,0.0578663229129978,0.171866084638456,0.0269020522408414,0.320948097849913,0.942133677087002,0.00112952887927521,-0.003659097474399,0.0750928546575648,Y
ERG2,0.884459612642858,-0.0167493946493414,0.00934425111822896,0.130585517407748,0.115540387357142,0.257631828865959,0.0251107541619015,0.527775003872644,Y
EST1,0.880436865911146,-0.00322264636320485,-0.00379785480664961,0.0689574456633278,0.119563134088854,0.0116292707401291,-0.0160505652989069,0.22787519889107,Y
EXO1,0.0970089832674535,0.0136168293255496,0.009610820791681,0.284794481843292,0.902991016732546,-0.00784648085661691,0.00816763882834779,0.0731901188270996,Y
FAB1,0.050791550514351,0.186809267969756,0.000983493283239261,0.534090615855256,0.949208449485649,-0.00900720862269486,0.00395460634277513,0.100859740481888,Y
FKS1,0.102441948148266,0.296049022260412,-0.0566548946486168,0.521104266274809,0.897558051851734,-0.0153965351421636,-0.00475392063086834,0.160691431685228,Y
GEP3,0.813750279252023,-0.0195191457685606,-0.00445213663739843,0.21989439538824,0.186249720747977,0.265632258995897,0.0179351893923045,0.639497410719872,Y
FIN1,0.953709669232676,0.00561000924368526,-0.00179070318781482,0.0728510614200799,0.0462903307673244,0.0365939546121848,0.0869271102667706,0.31806599269462,Y
FRA2,0.963439880534084,-0.0018217422623112,0.0025775081241017,0.0475668199619225,0.0365601194659164,0.0498843317790799,-0.0287523276969074,0.416298420838273,Y
GAL80,0.0230315302422884,-0.0104453574112665,-0.00972344351004472,0.217142061288756,0.976968469757712,-0.00506145713493198,-0.0018171557974762,0.0635735540573215,Y
FUS3,0.0642273009943014,0.00861932888402794,-0.073145269506246,0.557097727305412,0.935772699005699,-0.00346158167899152,-5.98847972123071e-06,0.135616086764167,Y
GCR2,0.890146919157347,-0.0212467618059308,0.00186713360936845,0.148725327751125,0.109853080842653,0.0919709787589603,-0.0384888894776536,0.560943454144249,Y
GPA2,0.922197148111848,-0.00481977130227086,-0.00947084748412019,0.113581539120962,0.0778028518881524,0.303519222648415,0.00040458143210907,0.50696594117119,Y
GPR1,0.933891760485561,-0.0139864345789029,-0.0156560082144633,0.168402726669416,0.0661082395144392,0.413052344768483,0.0758576487282037,0.642892739601372,Y
