,int,beta,pval,sigma,cor,adj_pval
THR1,-0.00449707236543379,0.00632437127181267,0.0236672845012279,0.167996974279564,0.0376190976084083,0
TIP41,0.0012031129220564,-0.00794135243326693,7.81812349984315e-05,0.120743231897779,-0.0656287860186375,1.26242029772361
TIF2,-0.0124745227148319,-0.00331153227691026,0.144348944260155,0.136364069335113,-0.0242773353629427,0
TGS1,-0.0308465954972315,-0.0143963980905898,1.08440549557133e-05,0.196463147872015,-0.0730819059238331,2.12033111441425
THP1,0.00563619448228082,-0.0334901253626713,2.91788145647479e-07,0.391872798393726,-0.0851513306448221,3.69045518023514
TCO89,0.00203670516566214,-0.0022808456405991,0.584370133289005,0.250676579351458,-0.00909838182615849,0
SXM1,-0.00319590928177594,0.00660541117689624,0.00774265274520363,0.149047584551062,0.0442740088524992,0
SYC1,0.000652137553848769,0.012364656552737,6.45040192624115e-06,0.164556819416915,0.0749279122288408,2.34593604777249
SWI6,0.0150888664386978,-0.00398096481096941,0.412828206482665,0.29224510977722,-0.0136207429214034,0
SUB1,-0.0063189620391775,0.015478321424747,1.47753697031999e-12,0.131044407667057,0.117299685535291,8.98598446782787
STE7,-0.00515640235996873,0.0231565936305896,2.22015007094622e-14,0.181556116682931,0.126520155397164,10.8091404926951
STM1,-0.00664308815911637,-0.0159829472495258,3.12488361322316e-08,0.173259985560522,-0.0918583288170386,4.66068897763862
STE50,0.000165319469181365,0.0139859346450278,1.18065202058521e-11,0.12357730132895,0.112457667800801,8.08340090954382
STE20,-0.000490105821642802,0.00741879297909134,0.000172108493972497,0.118608731436864,0.0624264590566557,0.919720519909585
STE11,-0.00389378914357895,0.0140529588504788,3.70649821109093e-07,0.165904084714807,0.0844030671539635,3.58655902940496
STE14,0.000685399946726297,-0.000396813664253259,0.839369354820456,0.117694262249645,-0.00337154421388116,0
SSK2,-0.00705341576752917,3.25257438378168e-05,0.988087633291738,0.130971626010906,0.000248341902940975,0
SSK1,-0.00473448108920566,0.00665242400580832,0.000478766759607299,0.114424276412167,0.0580402154369824,0.47539883419133
SSF1,0.0109542236911358,-0.00155653354956473,0.586615852104769,0.172098528824303,-0.00904406272680084,0
SRO9,0.00713642291912636,-0.0197193343340677,3.70531432942515e-07,0.232796450748246,-0.0844040705525961,3.58669776828326
SPT4,-0.0225584320199582,0.0130615475962856,0.00103235048349894,0.239119523811373,0.0545422006315062,0.141695658737873
SPT23,-0.00611765599635858,0.00184553148493942,0.269718853331382,0.100520331529446,0.0183566895183501,0
SPT21,0.00929173967091509,0.0191277611009832,0.000112732118993669,0.297504622058342,0.0641615203531591,1.10347515386592
SNF4,-0.00587502229817141,0.0114765155660763,1.24330176698424e-05,0.157686129786567,0.0725887561289411,2.060946273384
SNT309,-0.0115972737837279,-0.00816664089553345,0.0703252116991856,0.27122900423987,-0.0300961230319377,0
SNF1,-0.00759172718648382,0.00659478484319298,0.0184915923613462,0.168248794026462,0.039166549031052,0
SMI1,0.00219129396993559,-0.0116002057937628,6.12192983653617e-06,0.154003942237153,-0.0751113046522049,2.36863447641538
SLX9,-0.00984583546211139,-0.00586176447689885,0.0141963912103657,0.143650170917525,-0.040771899312345,0
SKI3,-0.0211718896000603,0.0130806104476331,7.31309618003487e-07,0.158510814772246,0.0822423258106046,3.29142153905874
SLT2,-0.00430120597586149,0.00232774806681895,0.165546825307702,0.100909892220565,0.0230614556145708,0
SKY1,-0.00414180825683441,0.00568514969943342,0.0570542732817736,0.179573590312387,0.0316433096271025,0
SIW14,-0.000749580097267352,0.00120343919358752,0.595269988460337,0.136197672147888,0.00883562984912832,0
SIT4,-0.0282560287372104,-0.027669375945656,1.12479581926469e-07,0.312943862357209,-0.088072837013719,4.10444913079767
SIS2,0.0156506463439969,0.000185928452802462,0.975038081912626,0.357240909923385,0.000520456707101772,0
SHR5,0.00116780336242492,-0.00106299008339438,0.670850974123033,0.150376169997342,-0.00706869663025246,0
SGS1,0.0116018160255991,0.0064414477084539,0.0371256180144195,0.185737756070989,0.0346594988981349,0
SER2,0.00547250688451414,0.0216823920347992,1.11661958829786e-25,0.123492883596179,0.172930811438313,22.1076175820626
