,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
PIN4, 1.51679e-03,-3.38711e-04,8.35094e-01,-0.030743773,-9.67288e-03, 5.13880e-02,-0.007243701,-7.18356e-04,6.72678e-01,-3.62365e-02,-1.26960e-02,5.98948e-01,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.88959419,0.11040581
PIF1,-3.39799e-02,-2.29975e-03,1.15949e-01, 0.055374339, 8.42420e-03, 1.65445e-02,-0.036601554,-3.13295e-03,3.86903e-02, 6.04860e-02, 1.45123e-02,2.12805e-01,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.78272373,0.21727627
PIB2,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.03010428,0.96989572
PHO80,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.96316116,0.03683884
PFK2, 5.05075e-03, 1.76821e-03,6.79245e-01, 0.077503924, 5.24673e-02, 2.61413e-08, 0.012992273, 3.33924e-03,4.53973e-01, 1.46377e-01, 6.99622e-02,1.21284e-02,0.00000e+00,  4.8666688,0.00000e+00, 0.0000000,0.85971621,0.14028379
PFK1,-4.08413e-02,-6.03172e-03,3.08825e-02, 0.045656328, 2.02385e-02, 2.64115e-02,-0.039918162,-6.76762e-03,1.86450e-02, 6.47414e-02, 4.25506e-02,4.40745e-01,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.92437549,0.07562451
PHO85, 6.49587e-03, 6.59799e-04,8.49161e-01,-0.008904082,-5.05336e-03, 5.65859e-01,-0.002205945,-4.68908e-04,8.96336e-01, 7.58081e-03, 4.01187e-03,9.32860e-01,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.92803368,0.07196632
PFK27,-5.63159e-02,-8.85628e-03,2.91533e-03, 0.074393421, 1.95618e-02, 2.64607e-03,-0.058383681,-1.02433e-02,9.29904e-04, 7.74517e-02, 3.09735e-02,1.20120e-01,0.00000e+00,  0.0000000,3.15558e-01, 0.0000000,0.79570665,0.20429335
PHO13,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.02911861,0.97088139
PET112, 6.67949e-03,-4.31745e-03,2.87810e-01,-0.002806279,-4.31739e-04, 6.84533e-01,-0.041525539,-1.11597e-02,6.05590e-01,-3.50248e-03,-2.24788e-04,8.36831e-01,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.06848727,0.93151273
PDE2, 1.72041e-01, 2.06132e-02,4.81132e-24,-0.078938040,-1.28110e-02, 1.01729e-01, 0.171865477, 2.15832e-02,3.60431e-24,-1.72057e-02,-8.30648e-03,8.16681e-01,2.06017e+01,  0.0000000,2.07272e+01, 0.0000000,0.92292958,0.07707042
PCL8, 8.47464e-02, 6.47800e-03,3.41187e-06,-0.235736975,-6.09696e-02, 1.26416e-33, 0.085046594, 7.21520e-03,7.27924e-07,-2.18767e-01,-6.80125e-02,7.53123e-04,2.75100e+00, 30.1821944,3.42191e+00, 0.4071309,0.90032007,0.09967993
PCL6,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.01973438,0.98026562
PBS2, 1.26362e-01, 3.60786e-02,1.96803e-09, 0.052983083, 4.23952e-03, 2.20077e-03, 0.108974178, 4.42197e-02,1.78520e-01, 5.55819e-02, 4.62679e-03,1.06718e-03,5.98996e+00,  0.0000000,0.00000e+00, 0.2557584,0.06128991,0.93871009
PBP1,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.03389209,0.96610791
PAT1,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.95888245,0.04111755
PAP2, 1.06543e-01, 1.19269e-02,1.99048e-08,-0.083019619,-2.27753e-02, 3.92118e-04, 0.111908651, 1.44180e-02,8.90297e-11,-1.17492e-01,-5.29889e-02,5.03553e-02,4.98504e+00,  0.6905800,7.33446e+00, 0.0000000,0.86245778,0.13754222
OPI1, 2.50534e-01, 1.35353e-01,2.13744e-30,-0.056068768,-1.11689e-02, 3.27891e-03, 0.218124313, 1.70014e-01,3.38376e-04,-4.57324e-02,-1.05839e-02,8.10300e-03,2.69541e+01,  0.0000000,7.54597e-01, 0.0000000,0.13005714,0.86994286
OCA6,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.95187345,0.04812655
OCA4, 7.69391e-02, 6.01186e-03,2.19747e-01,-0.079808573,-6.91677e-03, 2.96773e-06, 0.005674908, 1.80787e-03,9.47525e-01,-7.78070e-02,-6.97690e-03,4.32182e-06,0.00000e+00,  2.8115716,0.00000e+00, 2.6483303,0.06390759,0.93609241
OCA5, 1.56095e-01, 2.15573e-02,2.09045e-07,-0.103351733,-8.57990e-03, 2.90317e-09, 0.021036168, 5.68314e-03,7.90468e-01,-8.16178e-02,-7.16869e-03,1.55751e-06,3.96376e+00,  5.8211246,0.00000e+00, 3.0915671,0.08273007,0.91726993
OCA2,-1.17067e-01,-8.96306e-03,1.15727e-09, 0.149719713, 1.89053e-02, 1.63970e-09,-0.093227446,-8.40208e-03,5.24774e-08, 1.25039e-01, 2.48519e-02,6.35136e-02,6.22056e+00,  6.0692314,4.56402e+00, 0.0000000,0.85961550,0.14038450
OCA1,-1.00100e-01,-9.23383e-03,1.76763e-07, 0.269701069, 4.21752e-02, 2.01150e-32,-0.097980113,-1.06056e-02,6.55894e-09, 2.91212e-01, 6.66787e-02,9.84740e-04,4.03661e+00, 28.9804772,5.46716e+00, 0.2906751,0.91541683,0.08458317
NUP60,-1.56812e-01,-2.48789e-02,4.95605e-19, 0.079209645, 7.90410e-03, 8.00888e-02,-0.151360818,-2.58073e-02,2.83393e-19,-5.12740e-02,-9.82105e-03,5.48874e-01,1.55889e+01,  0.0000000,1.58316e+01, 0.0000000,0.92635206,0.07364794
NUP170,-3.33352e-01,-1.25761e-01,2.33828e-62,-0.076191253,-1.11475e-02, 1.22187e-06,-0.296137949,-1.56379e-01,2.06572e-05,-8.08538e-02,-1.12945e-02,2.21946e-06,5.89151e+01,  3.1969700,1.96892e+00, 2.9377485,0.09702341,0.90297659
NUP188,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.03453359,0.96546641
NUP120,-1.27153e-01,-1.84987e-02,7.15573e-14,-0.081183256,-3.66086e-02, 1.92574e-09,-0.128049796,-1.91212e-02,2.99105e-14,-1.21288e-01,-4.81115e-02,1.83257e-01,1.04293e+01,  5.9993993,1.08082e+01, 0.0000000,0.93727683,0.06272317
NTH2,-2.92919e-01,-7.48772e-02,3.99025e-41, 0.095707507, 9.74296e-03, 8.98185e-08,-0.304897147,-1.18727e-01,7.19743e-05, 8.91557e-02, 9.90373e-03,1.54140e-07,3.76830e+01,  4.3306310,1.42682e+00, 4.0960820,0.08601572,0.91398428
NPR2, 8.78548e-02, 6.77597e-03,2.13524e-02,-0.054249653,-3.70206e-03, 1.41403e-03, 0.038898483, 6.80618e-03,6.89383e-01,-5.70220e-02,-4.05900e-03,7.26588e-04,0.00000e+00,  0.1335371,0.00000e+00, 0.4227087,0.05736697,0.94263303
NRP1,-2.95767e-03,-7.45335e-04,5.34047e-01,-0.246150684,-4.56457e-02, 1.57089e-40,-0.012966081,-9.45159e-04,4.47709e-01,-2.31267e-01,-5.05669e-02,1.49339e-03,0.00000e+00, 37.0878520,0.00000e+00, 0.1098232,0.91385632,0.08614368
NOP6,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.03624877,0.96375123
NPT1,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.96551735,0.03448265
NMD2, 8.17863e-02, 1.18213e-02,5.83090e-07,-0.014000555, 7.01077e-03, 3.33540e-01, 0.076230213, 1.08590e-02,1.59745e-05,-1.44696e-03,-5.89464e-04,9.76414e-01,3.51826e+00,  0.0000000,2.08057e+00, 0.0000000,0.82522383,0.17477617
NPL3,-6.86950e-02,-1.92380e-02,2.30658e-04, 0.108816844, 6.44048e-02, 5.54803e-07,-0.053121756,-1.70260e-02,1.83426e-03, 1.05156e-01, 8.85332e-02,1.61236e-01,9.21027e-01,  3.5398577,2.05353e-02, 0.0000000,0.89218252,0.10781748
NOP12,-6.03434e-02,-7.04516e-03,3.71965e-04, 0.059385833, 9.72844e-03, 7.11496e-02,-0.053026388,-6.34846e-03,1.76910e-03, 2.53196e-02, 8.55222e-03,7.64048e-01,7.13495e-01,  0.0000000,3.62447e-02, 0.0000000,0.93088933,0.06911067
NKP2,-1.43147e-01,-2.86498e-02,1.21248e-10,-0.021908546,-3.20376e-03, 1.26345e-01,-0.176671184,-5.57151e-02,1.25525e-02,-2.19500e-02,-2.76811e-03,1.99505e-01,7.20032e+00,  0.0000000,0.00000e+00, 0.0000000,0.13565009,0.86434991
NEW1,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.04912676,0.95087324
NBP2,-1.72638e-01,-5.17041e-02,2.92171e-12, 0.000898195, 1.74834e-04, 9.44468e-01,-0.121589694,-5.88503e-02,1.99523e-01, 3.88915e-03, 5.94095e-04,8.17987e-01,8.81836e+00,  0.0000000,0.00000e+00, 0.0000000,0.05956761,0.94043239
