ID,Noise SD
YBR188C,-0.2123286423
YBR189W,
YBR190W,
YBR191W,-3.4062615808
YBR191W-A,
YBR192W,
YBR193C,
YBR194W,
YBR195C,
YBR196C,0.6772902001
YBR196C-A,
YBR196C-B,
YBR197C,
YBR198C,
YBR199W,
YBR200W,1.4100979019
YBR200W-A,
YBR201C-A,
YBR201W,
YBR202W,4.6847658284
YBR203W,
YBR204C,
YBR205W,
YBR206W,
YBR207W,3.5230306628
YBR208C,8.3764321667
YBR209W,
YBR210W,
YBR211C,
YBR212W,-0.4367736992
YBR213W,
YBR214W,1.5932325581
YBR215W,
YBR216C,-0.1867966671
YBR217W,
YBR218C,0.0163237105
YBR219C,
YBR220C,
YBR221C,5.2674915669
YBR221W-A,
YBR222C,2.2053951383
YBR223C,
YBR223W-A,
YBR224W,
YBR225W,
YBR226C,
YBR227C,0.517598176
YBR228W,
YBR229C,
YBR230C,
YBR230W-A,
YBR231C,
YBR232C,
YBR233W,
YBR233W-A,
YBR234C,
YBR235W,
YBR236C,-0.3412023145
YBR237W,
YBR238C,
YBR239C,
YBR240C,
YBR241C,
YBR242W,
YBR243C,
YBR244W,13.3388663578
YBR245C,0.4507999266
YBR246W,
YBR247C,
YBR248C,2.1382539274
YBR249C,-0.3735139493
YBR250W,
YBR251W,-1.2560316365
YBR252W,1.7874061572
YBR253W,
YBR254C,
YBR255C-A,
YBR255W,
YBR256C,
YBR257W,
YBR258C,0.0184506487
YBR259W,
YBR260C,0.319928069
YBR261C,0.7627721063
YBR262C,-0.1140699214
YBR263W,2.6585983137
YBR264C,
YBR265W,
YBR266C,
YBR267W,-0.926169629
YBR268W,0.0315697012
YBR269C,-0.8337817539
YBR270C,
YBR271W,
YBR272C,
YBR273C,
YBR274W,
YBR275C,
YBR276C,
YBR277C,
YBR278W,0.8426387171
YBR279W,0.1589811335
YBR280C,
YBR281C,
YBR282W,-0.6952770659
YBR283C,-0.7680836628
YBR284W,
YBR285W,
YBR286W,
YBR287W,
YBR288C,
YBR289W,
YBR290W,
YBR291C,0.3108171759
YBR292C,
YBR293W,
YBR294W,
YBR295W,
YBR296C,
YBR296C-A,
YBR297W,
YBR298C,
YBR298C-A,
YBR299W,
YBR300C,
YBR301W,
YBR302C,
YCL001W,
YCL001W-A,
YCL001W-B,
YCL002C,
YCL003W,
YCL004W,
YCL005W,
YCL005W-A,
YCL006C,
YCL007C,
YCL008C,
YCL009C,1.5525998266
YCL010C,-0.5802090582
YCL011C,-0.5287867924
YCL012C,
YCL012W,
YCL013W,
YCL014W,
YCL016C,
YCL017C,-0.3918666974
YCL018W,
YCL019W,
YCL020W,
YCL021W,
YCL021W-A,
YCL022C,
YCL023C,
YCL024W,
YCL025C,4.3356075094
YCL026C,
YCL026CA,
YCL026C-A,
YCL026C-B,
YCL027W,
YCL028W,0.1679414221
YCL029C,
YCL030C,2.2661550849
YCL031C,-1.1878033044
YCL032W,
YCL033C,
YCL034W,-0.1553146254
YCL035C,2.0059003572
YCL036W,
YCL037C,-1.5488680429
YCL038C,
YCL039W,
YCL040W,2.0787923585
YCL041C,
YCL042W,
YCL043C,1.47
YCL044C,
YCL045C,-0.13
YCL046W,
YCL047C,
YCL048W,
YCL048W-A,
YCL049C,
YCL050C,-1.1440636741
YCL051W,
YCL052C,
YCL053C,
YCL054W,
YCL054W-A,
YCL055W,-0.7556336507
YCL056C,
YCL057C-A,
YCL057W,0.8732526296
YCL058C,
YCL058W-A,
YCL059C,0.8681114626
YCL060C,
YCL061C,
YCL062W,
YCL063W,
YCL064C,
YCL065W,
YCL066W,
YCL067C,
YCL068C,
YCL069W,
YCL073C,
YCL074W,
YCL075W,
YCL076W,
YCR001W,
YCR002C,-0.0738220588
YCR003W,-1.1343662342
YCR004C,-1.0099832089
YCR005C,5.705093463
YCR006C,
YCR007C,
YCR008W,
YCR009C,-0.5936753178
YCR010C,
YCR011C,-0.0914016863
YCR012W,-1.0553001769
YCR013C,
YCR014C,
YCR015C,
YCR016W,-0.372401824
YCR017C,0.2730697229
YCR018C,
YCR018C-A,14.0789524449
YCR019W,
YCR020C,
YCR020CA,
YCR020C-A,
YCR020WB,
YCR020W-B,-1.3418794322
YCR021C,
YCR022C,
YCR023C,
YCR024C,
YCR024CA,
YCR024C-A,8.3876610845
YCR024C-B,
YCR025C,
YCR026C,
YCR027C,
YCR028C,
YCR028CA,
YCR028C-A,0.2887405085
YCR029C,
YCR029C-A,
YCR030C,0.3563267332
YCR031C,
YCR032W,
YCR033W,
YCR034W,
YCR035C,-1.3593811099
YCR036W,-1.0362634541
YCR037C,0.1776534665
YCR038C,
YCR038W-A,
YCR039C,
YCR040W,
YCR041W,
YCR042C,
YCR043C,0.4651480036
YCR044C,-0.893601403
YCR045C,
YCR045W-A,
YCR046C,0.1224421854
YCR047C,2.2081125551
YCR047W-A,
YCR048W,
YCR049C,
YCR050C,
YCR051W,0.0395669015
YCR052W,
YCR053W,0.2243959506
YCR054C,
YCR055C,
YCR056W,
YCR057C,0.5470484811
YCR058C,
