,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
IRE1,0.120159368975584,-0.0802068118864037,0.0278679574192554,0.391451744448937,0.879840631024416,-0.00109359296204273,-0.00240076840388619,0.131838041671084,Y
IRA2,0.27795927437081,-0.198869037317997,-0.0105270075317332,0.576600319960594,0.72204072562919,0.00926680007330958,0.00205762086500234,0.233714801144541,Y
IPK1,0.819637487907162,0.0126875943045294,-0.00734872970246295,0.169363928054192,0.180362512092838,0.3117663656374,-0.0241655659946182,0.749469275267616,Y
IRA1,0.843374305920893,-0.0132269308660959,0.00150492341140623,0.133212303118825,0.156625694079107,-0.0888938190015082,-0.00923199388396127,0.591017162896322,Y
JJJ1,0.180938206661402,0.127471379163387,-0.00781636597775725,0.325428975714417,0.819061793338598,0.00714938810948606,-0.00142519547944356,0.0946861609795652,Y
IST3,0.205142755278386,0.0145426935646509,0.00327738048986584,0.347676065472689,0.794857244721614,0.00725873317079836,-0.000494350831542967,0.109773121155521,Y
IRS4,0.114078623751742,0.0736357766274247,-0.0224956800280577,0.371190970894537,0.885921376248258,-0.0023071861499786,-0.00196125982877596,0.0754362766123424,Y
JNM1,0.888137602945631,0.00294737763785824,-0.00306047429910303,0.0899635614561641,0.111862397054369,0.186165455573263,-0.0214205507247705,0.316306782155093,Y
KAR3,0.0820882200951002,0.214504840546129,-0.0915232427129039,0.787211136554246,0.9179117799049,0.0148541365789597,-0.00656839048032907,0.136804799366028,Y
RRD1,0.131934881881872,-0.0361850404921035,0.0422403005580761,0.288023610646988,0.868065118118127,-0.000590926810627642,-0.00101791200012694,0.0813207763164634,Y
RRP8,0.0869968040612533,0.00370293515456295,-0.00166788420654631,0.394505350180098,0.913003195938747,0.00321822255773333,0.00233202789621901,0.100105116480759,Y
RSA1,0.859572493810943,-0.00703171984901134,0.00562552608033812,0.200716910465037,0.140427506189057,-0.273403407403727,0.013902418304515,0.636531403888751,Y
RRP6,0.119797684471313,0.155706320306375,0.0441397834833952,0.639266827819863,0.880202315528687,-0.0101426827234961,-0.0030094646549279,0.178211198531406,Y
RRM3,0.901361518722715,-0.00356806624388753,-0.000232453669212726,0.0891190069395682,0.0986384812772852,-0.00722218365044407,0.0511149242921717,0.341208433359976,Y
RPB9,0.795366289660348,0.0200928388034626,-0.0100186001292134,0.258199027932334,0.204633710339652,-0.0154813675704717,-0.0553168648588302,0.790763093374767,Y
RNY1,0.819710480083173,0.0083572884195827,-0.00931532852996203,0.153633939722164,0.180289519916827,0.326679922773618,-0.0625989300224084,0.574159922103366,Y
RPA49,0.075872110917905,0.0350294190680383,-0.00535161107674673,0.493188209988266,0.924127889082095,-0.00519176875463251,0.00066811074816439,0.139296616184579,Y
