,global,local
SNT309,-522.149613978946,-2.81340482396258
SNF1,1424.79414607757,2760.67401955991
SMI1,1833.26319587576,3114.88758324389
SLX9,1864.15728080421,2880.46394894561
SKI3,1978.58071325987,2613.17856339543
SLT2,3668.08552826267,5038.70291909672
SKY1,1172.97953026198,2103.26229821665
SIW14,2111.76456798481,2891.43222052081
SIT4,-1474.97143560235,-746.448057724417
SIS2,-1446.96813153762,-649.318578552119
SHR5,2090.06351059625,3334.18680394048
SGS1,974.4807981146,2316.31809016283
SER2,2752.0514777005,4280.87111950582
SEH1,-169.56801859275,1187.09144680049
SET4,1068.45022257296,2356.64745097266
SAT4,2453.14422767651,3912.37941950816
SAP190,1545.08785402356,3235.97761137498
SBP1,1530.59718187453,2990.2278219619
SCS2,2543.77686039222,3696.96776947015
SAP155,796.54598917933,2100.79997305671
SCP160,2806.35583002341,3104.31528131226
SAM4,310.113962116202,1501.48797234406
RTT103,656.117820860491,1707.30909771129
SAM1,1847.16274828604,5457.91394747977
SAC1,1446.11523116779,2810.18016246477
RTS1,821.194549986719,2246.34577232516
SAC3,-931.135913270061,-281.505403444074
RTR1,2266.6599217615,2667.36408621065
RTT107,2589.90823448265,3565.52049105253
KAP120,-584.896787720313,275.384275676496
ACO1,-3128.72381621105,-2250.93198426456
AIM1,4998.64548334148,7170.5949914699
APN2,4056.19819369511,5028.43530409099
ASK10,1659.94730205784,3044.88654814978
APQ12,1213.73137921459,2285.84293684381
ARG82,-2381.84131834848,-640.343512916172
ATG21,3932.9874721674,4725.70554636741
ATG23,2233.56171133918,3976.20278777016
ASC1,-1357.62879979421,-603.545352957025
ATG32,2252.27012826504,3882.56936772561
ARX1,1584.30358215029,2680.14207557354
BCS1,2937.70619324761,3249.45963703051
BCY1,-3298.54971374252,-2651.48122220004
BIK1,3971.83429961821,4444.81802970433
RTC1,1392.6614041659,3945.926927787
ASI2,2290.00957180992,3424.81497336311
ADD66,1485.67314177991,2604.70983555359
APC9,2855.11251003168,4305.49811904624
ASE1,3496.64138601998,5074.57303948498
BUL1,1202.49081747295,3698.37378896092
CDC26,1521.13152886017,2638.73236147466
BRE5,-848.748688784317,-248.711081119371
DMA1,1717.69644137703,1929.76341832902
ATG10,2990.38652589736,3695.79742358547
BMH1,511.370283628212,1503.10286751858
CPR6,-Inf,4762.88602417904
BRO1,1301.58373881166,2188.30036916995
CDH1,1730.36426609907,2834.47559322736
CUE1,-Inf,5526.36824270192
DID4,-1148.45377732772,-497.159901172618
DOC1,-1183.3725555828,-342.849845161442
DOA1,1095.30369833259,2215.73450063575
ECM30,2248.1657544011,4346.64592151435
DEF1,-2464.08838641256,-2062.66855655211
ELC1,3369.21307159326,4229.69829262255
ELA1,2741.64540588418,3767.07507278902
ELP2,462.533553227019,946.256532554738
ELP4,-2.13767673773478,896.734144825671
ELP6,-1242.12939028087,-464.260183979275
EDE1,1739.54317775218,2889.55869521013
ESC2,-132.984145158551,1771.68744361023
GGA2,3580.63321280532,5254.47203604966
GRR1,-4387.32613848673,-2790.71814541686
HSE1,-1381.9369301764,-734.572806067296
HSC82,2173.73282402258,3234.82054604768
IRC25,1400.97771894299,1992.27229363456
ITT1,2353.57619775641,2833.05995258949
KTI12,1584.32345161372,2447.01602629274
IKI1,837.285430648621,1218.51979172441
MUB1,2591.28227926624,3146.15993191225
MDM30,1408.32217227457,2380.94447247475
MFB1,3230.97611055962,3791.65678352842
NCS2,892.32205428344,1469.56155759417
NCS6,731.069296603321,1277.28020354863
NFI1,2285.17176656624,3169.26753780322
PBA1,3795.41446504285,4605.00121917142
PEP3,-483.885533983403,784.849370742508
PEX10,2376.36342354908,3117.26565357885
PEP5,-292.295953143424,932.909878560281
PEX12,4402.08832295112,6274.43616188518
PEX2,3064.26107607991,5285.0626513539
PEX22,3517.37515383031,4803.21579619387
PEX4,1096.60742303738,2122.9675279305
PEX5,901.485406463736,1673.77171154519
RAD23,2985.92950539859,4513.04113064538
POC4,914.372804250097,2077.25375722735
PTH2,3316.80556890297,4680.94474856037
PRE9,-832.738464970378,-245.862994066462
RAD18,585.114986740759,1562.41800591687
RPN10,704.51782239922,1224.43407940447
RAD5,1293.15642299864,1820.01003202417
RCY1,-2216.52296486483,-1081.63853712952
RAD26,2461.19501725879,3566.39593576289
ULS1,2831.47346714738,3939.6866395552
RPN13,-914.155323564025,194.418526845907
SLX5,-2691.10093130241,-1811.8506286442
SAN1,2500.66848921813,2852.51646662886
SLA1,591.13501125192,1720.14676059953
SEM1,-100.72580379217,762.575773400836
SLX8,-1336.17937299315,-819.731078807381
SNF8,-694.469743212821,1090.45584900453
SNF7,-862.006707583642,750.260308175336
SWA2,-3018.82172257995,-2119.13680246308
SWM1,1957.19022404223,3449.36223861605
SRN2,2726.2510569158,4492.7856609068
STE5,778.932968216869,3491.77503264246
SSM4,3164.79662324392,4798.09411810847
TOM1,949.051836639831,1843.2983216208
UBA4,611.712870568027,1241.90464880156
UBC4,79.7154123757629,749.284120601683
UBA3,2837.46618604092,3703.48552437278
UBP1,4425.1571631152,5521.9547523243
UBC6,4150.95859643886,4855.71071124062
UBP13,2350.3986780592,5298.98150554373
UBP10,-773.922742886848,-158.398306132482
UBC8,2569.94616457737,3162.29684310378
UBP14,3222.93747289237,4306.52056515822
UBP15,537.35881538928,2557.97488539005
UBP3,-1791.37762504529,-1377.31976865946
UBP16,2649.05672937869,3701.40773910368
UBP6,2587.44047039708,3884.70420699865
UFD2,1846.73153630383,2900.88233419222
UBR2,1037.26560970218,1453.10524867657
UBX3,3240.08433293777,4325.92934758206
UBR1,889.444587833245,1161.06498083667
UBX2,-368.645069714347,1204.66709583013
UFD4,2078.34384656664,3794.84874363264
URE2,322.872277290557,1980.80009698041
URM1,-981.387227730587,-179.843043292207
VAM6,2452.78648176579,3650.4699012243
VPS16,-1822.02834907845,-1146.08819888064
VPS24,1790.44021340958,3322.97702203197
VID28,1321.94771065852,3020.05713663879
VPS8,-968.135726206461,-186.531604019063
VPS27,1155.56308677466,2123.7974381585
VPS36,-733.245126289773,1402.41511131557
VPS3,-904.916906603576,312.106750795385
VPS41,142.685821520163,847.459792232161
VPS9,831.369602662816,2301.50053768943
VPS28,-20.2537593171664,2335.48535024526
WSS1,1875.70370886826,3114.66958927301
YDR306C,2974.76548017373,4082.89192899878
YLR352W,2694.15393897048,3358.10588084582
ETP1,2926.66240978098,3878.67156920925
ARP8,-614.402599246808,15.9081020932978
YKU70,3075.96538440221,4791.05757592361
YKU80,3228.44778461857,4459.50476448166
