,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
ROX1, 7.04261e-02, 3.84411e-02,2.99261e-07, 2.68683e-02, 2.32896e-03,7.72758e-02, 0.099062415, 6.04068e-02,7.96530e-02, 2.87187e-02, 2.60160e-03,5.86640e-02, 3.7177694, 0.0000000,0.0000000,0.00000000,0.1000299,0.8999701
RME1, 3.86843e-03, 4.77828e-04,6.49222e-01, 7.33033e-02, 2.15526e-02,4.69353e-05, 0.006096704, 4.40758e-04,6.84107e-01, 8.49221e-02, 4.09484e-02,2.40301e-01, 0.0000000, 1.5223202,0.0000000,0.00000000,0.9297939,0.0702061
RGT1, 2.09453e-01, 6.10775e-02,1.04944e-24,-3.28188e-03, 3.25348e-04,7.95680e-01, 0.187652163, 1.01648e-01,6.91391e-03, 7.15263e-03, 6.22210e-04,6.33621e-01,21.1728612, 0.0000000,0.0000000,0.00000000,0.0779016,0.9220984
RIM101, 1.39877e-02, 1.08877e-03,3.43679e-01,-3.04152e-02,-1.80500e-02,8.05265e-02, 0.013866205, 1.09849e-03,3.56874e-01,-3.23558e-02,-2.81807e-02,6.23925e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.9313241,0.0686759
RFX1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9595427,0.0404573
PPR1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9584164,0.0415836
PEP7,-1.56098e-01,-6.28462e-02,3.77813e-12,-6.52725e-02,-9.29035e-03,3.46584e-05,-0.097944548,-6.91226e-02,1.89194e-02,-5.84434e-02,-8.89387e-03,1.89347e-04, 8.6165434, 1.6540121,0.0000000,0.91656047,0.1894717,0.8105283
MOT2,-2.50248e-02,-6.98771e-03,1.60367e-01,-4.88172e-02,-2.92087e-02,2.93440e-02,-0.029041995,-9.32872e-03,6.80605e-02,-1.86807e-02,-2.20688e-02,6.21476e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.7285974,0.2714026
PDR3, 1.07209e-01, 1.18840e-02,1.11067e-03,-2.61853e-02,-1.53379e-03,1.23173e-01, 0.014976989, 4.62495e-03,8.43603e-01,-2.11698e-02,-1.45237e-03,1.56890e-01, 0.1482351, 0.0000000,0.0000000,0.00000000,0.0726610,0.9273390
MSN2, 5.01872e-02,-9.10186e-03,2.72533e-01, 2.35985e-02, 1.65954e-03,1.14389e-01,-0.066232744,-4.15256e-02,3.71705e-01, 2.72335e-02, 1.97870e-03,6.88218e-02, 0.0000000, 0.0000000,0.0000000,0.00000000,0.0552283,0.9447717
NHP10,-4.92774e-02,-4.38417e-03,2.31571e-03,-4.10319e-02,-3.03617e-03,5.97276e-01,-0.045264485,-4.41314e-03,3.26695e-03, 2.03130e-02, 9.98013e-03,6.75177e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8498591,0.1501409
MOT3,-9.49164e-03,-7.47937e-04,5.58131e-01,-7.33873e-03, 9.40351e-03,2.52289e-01,-0.009613673,-8.40145e-04,5.28297e-01, 2.13901e-02, 1.45065e-02,6.92600e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8948252,0.1051748
MIG1,-7.49675e-02,-1.73153e-02,1.00679e-03, 3.53417e-02, 2.56018e-03,3.82003e-02,-0.069138860,-3.22378e-02,1.78646e-01, 3.39307e-02, 2.84512e-03,2.66271e-02, 0.1908814, 0.0000000,0.0000000,0.00000000,0.1336901,0.8663099
MBP1, 1.05998e-01, 3.03306e-02,2.28344e-07, 4.67391e-03, 4.05870e-04,7.31680e-01, 0.086328523, 4.33701e-02,1.40443e-01, 8.22845e-03, 6.69580e-04,5.87177e-01, 3.8352305, 0.0000000,0.0000000,0.00000000,0.1011187,0.8988813
MAC1,-4.32892e-02,-2.98302e-03,2.51444e-03,-8.18693e-02,-3.28211e-02,1.00259e-07,-0.041725715,-2.82168e-03,5.73573e-03,-1.01946e-01,-5.19577e-02,9.64458e-02, 0.0000000, 4.1926967,0.0000000,0.00000000,0.9166247,0.0833753
LEU3, 1.29631e-01, 3.03346e-02,8.18053e-10,-2.60007e-02,-1.29459e-03,1.66971e-01, 0.111973652, 4.67905e-02,9.83762e-02,-2.33669e-02,-1.50379e-03,1.19939e-01, 6.2810384, 0.0000000,0.0000000,0.00000000,0.0741085,0.9258915
