,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
RCY1,0.2,-0.12684,5.657e-07,-0.061114,5.020e-07,8.304e-10,1.435e-13, 6.290,1.068e-03,0.12431,2.121e-06
PFK2,0.2,-0.12025,0.000e+00,-0.060870,2.828e-08,8.749e-10,1.556e-14, 6.267,4.879e-04,0.13442,1.414e-07
HOS4,1.0,-0.11309,2.443e-02,-0.031284,1.757e-02,9.314e-10,1.500e-09,22.094,1.130e+01,0.33373,4.055e-01
SNF5,0.4,-0.08353,0.000e+00,-0.060693,5.292e-08,1.269e-09,2.160e-14, 6.106,1.210e-03,0.11597,9.574e-08
RGP1,0.3,-0.10382,8.083e-07,-0.055891,8.834e-07,2.020e-09,7.420e-13, 5.904,8.439e-04,0.16642,3.724e-06
SSN8,0.3,-0.12671,5.774e-08,-0.079162,3.035e-07,2.698e-09,1.039e-13, 5.778,1.058e-03,0.11964,9.815e-07
SRP40,0.3, 0.12812,3.637e-06, 0.029944,2.220e-06,2.909e-09,4.844e-12, 5.746,1.184e-03,0.11115,9.728e-06
RNR4,1.0,-0.11813,3.542e-02,-0.043398,2.545e-02,3.295e-09,4.254e-09, 8.886,3.091e+00,0.42599,3.745e-01
SAC3,0.7,-0.12683,1.953e-06,-0.046145,1.197e-06,4.028e-09,2.382e-12, 5.604,1.326e-03,0.13215,3.617e-06
DCC1,1.0,-0.09869,1.068e-02,-0.017208,8.550e-03,7.430e-09,7.632e-09, 5.986,9.944e-01,0.50029,3.840e-01
URE2,0.5,-0.09812,3.130e-07,-0.044756,3.442e-07,8.010e-09,1.167e-12, 5.306,1.308e-03,0.08569,7.430e-07
SMI1,0.3,-0.13095,0.000e+00,-0.030717,1.000e-08,9.120e-09,5.774e-15, 5.249,4.041e-04,0.08359,5.774e-08
CKB2,1.0,-0.07322,1.381e-02,-0.040709,1.493e-02,9.468e-09,4.990e-09, 6.076,1.981e+00,0.25267,3.475e-01
NBP2,0.2,-0.12901,0.000e+00,-0.040650,1.414e-08,1.115e-08,0.000e+00, 5.161,4.950e-04,0.09489,7.071e-08
EST3,0.4, 0.06097,2.500e-07, 0.051119,9.253e-07,1.156e-08,4.885e-12, 5.147,1.164e-03,0.13509,2.017e-06
INO2,0.2,-0.10411,0.000e+00,-0.061795,2.828e-08,1.953e-08,1.414e-13, 4.918,4.950e-04,0.14014,1.414e-07
SNF7,0.5,-0.10166,0.000e+00,-0.060136,3.647e-08,2.016e-08,2.049e-13, 4.905,1.068e-03,0.08312,5.477e-08
NPT1,0.8,-0.07298,3.536e-08,-0.005311,3.536e-09,2.348e-08,1.061e-13, 4.839,1.048e-03,0.92396,3.021e-07
