,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS3,-4.74790e-02,-6.38358e-03,2.01256e-03,-0.094822384,-3.49402e-02,2.15968e-04,-0.039640196,-5.58724e-03,1.09106e-02,-4.45730e-02,-3.62017e-02,3.07566e-01, 0.0000000, 0.85943069,0.0000000,0.0000000,0.8225943,0.1774057
VPS41,-6.79703e-02,-1.00832e-02,5.85947e-06,-0.249673862,-9.10789e-02,1.19254e-27,-0.064231216,-9.89342e-03,2.12642e-05,-2.13686e-01,-1.84476e-01,3.58687e-04, 2.4259620,24.11734792,1.8661720,0.6391040,0.8834186,0.1165814
VPS9,-3.16653e-02,-3.48984e-03,2.96137e-02,-0.228685547,-8.41273e-02,4.36757e-20,-0.034942676,-3.88343e-03,2.04699e-02,-1.38536e-01,-1.14669e-01,2.85216e-02, 0.0000000,16.55358050,0.0000000,0.0000000,0.9138206,0.0861794
VPS28,-3.57475e-02,-3.51272e-03,1.29443e-02,-0.067807345,-3.83848e-02,5.54266e-04,-0.033604190,-3.28060e-03,2.77185e-02,-5.94038e-02,-5.28437e-02,2.62274e-01, 0.0000000, 0.45010194,0.0000000,0.0000000,0.8935004,0.1064996
WSS1,-3.70478e-03,-2.27658e-04,8.73012e-01,-0.134926322,-2.30901e-02,3.82617e-04,-0.003544630,-3.49444e-04,8.13253e-01,-5.54663e-02,-2.85628e-02,4.29581e-01, 0.0000000, 0.61105524,0.0000000,0.0000000,0.9270257,0.0729743
YDR306C,-1.53242e-01,-4.02426e-02,9.40176e-14,-0.004755948,-6.25754e-04,5.81130e-01,-0.151007554,-7.64797e-02,2.64723e-02,-1.09589e-02,-8.63801e-04,4.65714e-01,10.2206109, 0.00000000,0.0000000,0.0000000,0.0827442,0.9172558
YLR352W,-1.36850e-01,-2.87987e-02,6.68032e-10,-0.028323823,-2.67751e-03,4.71020e-02,-0.116246808,-4.72016e-02,7.98454e-02,-3.03217e-02,-2.83560e-03,4.37996e-02, 6.3690227, 0.00000000,0.0000000,0.0000000,0.0986123,0.9013877
ETP1,-4.53945e-02,-3.47733e-03,2.09549e-03,-0.040528075,-1.31047e-02,1.09680e-02,-0.049794102,-3.86137e-03,1.01214e-03,-3.02823e-02,-1.50373e-02,6.05058e-01, 0.0000000, 0.00000000,0.1885778,0.0000000,0.8906565,0.1093435
ARP8, 1.33896e-02, 1.26421e-03,5.84206e-01,-0.071363698,-2.70618e-02,7.97442e-04, 0.012529602, 1.94404e-03,4.21663e-01,-8.14096e-02,-6.26100e-02,6.01134e-02, 0.0000000, 0.29212068,0.0000000,0.0000000,0.7933452,0.2066548
YKU70,-7.21427e-03,-2.41360e-04,7.70354e-01, 0.093391058, 3.12774e-02,1.11889e-10, 0.000127957, 7.27960e-06,9.93346e-01, 1.31444e-01, 5.41883e-02,8.56960e-03, 0.0000000, 7.14503250,0.0000000,0.0000000,0.8723195,0.1276805
YKU80,-1.63587e-02,-1.12250e-03,2.49901e-01, 0.014874409, 7.15762e-03,1.40792e-01,-0.017800278,-1.19121e-03,2.41194e-01, 5.53256e-02, 2.41541e-02,3.30022e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.8918439,0.1081561
UBP8,-1.48942e-01,-2.37746e-02,9.78401e-11,-0.025593444,-3.21839e-03,4.67934e-02,-0.068859788,-2.48033e-02,2.12864e-01,-3.35898e-02,-3.68562e-03,2.72633e-02, 7.2033033, 0.00000000,0.0000000,0.0000000,0.1792237,0.8207763
YAF9, 8.33477e-02, 2.15271e-02,4.30188e-04,-0.025158632,-2.37496e-03,1.82064e-01, 0.065017502, 3.71040e-02,1.85665e-01,-1.91060e-02,-2.31143e-03,2.13938e-01, 0.5601622, 0.00000000,0.0000000,0.0000000,0.1665936,0.8334064
VPS72,-7.33144e-04, 3.88063e-04,7.86744e-01, 0.145432856, 2.80172e-02,1.06782e-09, 0.003106996, 3.04537e-04,8.39011e-01, 7.45259e-02, 3.03409e-02,1.51967e-01, 0.0000000, 6.16532350,0.0000000,0.0000000,0.8482709,0.1517291
VPS71,-3.85688e-02,-3.15330e-03,3.56510e-02, 0.125550015, 2.48851e-02,4.73559e-07,-0.037145450,-3.78642e-03,1.54477e-02, 1.24744e-01, 6.09271e-02,1.26426e-02, 0.0000000, 3.51844625,0.0000000,0.0000000,0.8327204,0.1672796
UME1,-1.29762e-01,-2.96909e-02,7.28462e-08,-0.005602679,-5.93342e-04,6.82291e-01,-0.134448578,-7.20631e-02,7.11544e-02,-2.78961e-03,-2.79971e-04,8.52120e-01, 4.3314128, 0.00000000,0.0000000,0.0000000,0.0802362,0.9197638
TUP1,-1.48226e-02,-3.01507e-03,3.33766e-01,-0.180154212,-1.36722e-01,9.18921e-13,-0.012363276,-2.62598e-03,4.39256e-01,-5.86541e-02,-8.12955e-02,1.12591e-01, 0.0000000, 9.23054177,0.0000000,0.0000000,0.7985053,0.2014947
SWR1, 7.76468e-02, 1.34752e-02,2.58493e-02, 0.018517384, 2.52527e-03,1.39690e-01,-0.034360287,-1.86219e-02,5.17546e-01, 2.46746e-02, 2.89474e-03,1.06032e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1411652,0.8588348
SWI3,-4.84475e-02,-7.87768e-03,1.44816e-03, 0.071965498, 3.38033e-02,1.22810e-02,-0.049558628,-8.42665e-03,1.22008e-03, 4.97674e-02, 5.96135e-02,3.25082e-01, 0.0330025, 0.00000000,0.1074330,0.0000000,0.8694616,0.1305384
SWC3, 5.20441e-03, 8.64148e-04,4.78595e-01, 0.173301728, 3.06665e-02,1.12669e-17, 0.010719511, 8.88961e-04,4.86581e-01, 1.40651e-01, 4.03588e-02,3.32165e-03, 0.0000000,14.14201644,0.0000000,0.0000000,0.8253002,0.1746998
SPT8, 1.79510e-02, 2.28329e-04,9.81530e-01, 0.050557656, 6.08468e-03,1.35354e-03,-0.017808189,-1.48217e-02,7.35959e-01, 4.75523e-02, 6.18891e-03,1.84123e-03, 0.0000000, 0.06235047,0.0000000,0.0000000,0.1190746,0.8809254
SUS1,-6.70245e-02,-1.02035e-02,4.75118e-06,-0.044869582,-2.19387e-02,1.61985e-03,-0.070162287,-1.08152e-02,3.38006e-06,-5.12113e-02,-3.20643e-02,4.00202e-01, 2.5170183, 0.00000000,2.6648951,0.0000000,0.8778643,0.1221357
SPT3, 2.67714e-02, 4.09737e-03,8.82954e-02,-0.001805729,-1.40110e-02,2.28766e-01, 0.024930714, 4.10601e-03,1.02855e-01,-4.54843e-02,-4.75134e-02,3.84939e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.8734584,0.1265416
SPT7, 2.90808e-02, 1.24368e-02,3.76724e-01,-0.003868624,-9.40234e-04,7.94338e-01, 0.016257041, 1.86625e-02,7.43984e-01,-5.24480e-03,-1.29231e-03,7.32698e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1434874,0.8565126
CYC8,-5.27357e-02,-1.85422e-02,1.74393e-04,-0.113475084,-1.16908e-01,1.40191e-08,-0.051917931,-1.73408e-02,1.27800e-03,-5.77458e-02,-7.82012e-02,1.02013e-01, 0.9522900, 5.04709916,0.0872890,0.0000000,0.7700469,0.2299531
