,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
BRR1,0.135290377992433,-0.0708046909153819,0.0113057394178849,0.311380303799633,0.864709622007568,0.00108115033280449,-0.000616247951503108,0.0844335779009101,Y
BUD22,0.135455648231596,-0.0413294248366588,0.0105264752173524,0.480072219430498,0.864544351768404,-0.00133650352879065,0.000485517301542117,0.156684111261114,Y
BUD20,0.146889257597216,0.120153044420089,-0.00581781084603252,0.368060437136945,0.853110742402784,0.00442118534784127,-0.00123388386268561,0.0978276762474446,Y
IBA57,0.832831828826996,0.0148992253107362,-0.0101888195013607,0.193150143474309,0.167168171173004,0.284252221100244,-0.0698002132091263,0.769415423790689,Y
CAR2,0.0656256316801147,0.0922560732757412,-0.0438612496964936,0.528181256073148,0.934374368319885,-0.00381936787512293,-8.72270854874839e-06,0.083817143795459,Y
SRV2,0.799781712298689,-0.0129498707950017,-0.0221607207572968,0.264464748745441,0.200218287701311,0.689071801341205,-0.114840801752243,0.88041187148322,Y
BUD21,0.914565048615136,-0.0011761085154564,0.00242782488957638,0.116430418991024,0.0854349513848645,-0.0437776434257295,0.0375122605100781,0.497915227711275,Y
CCE1,0.797461967309589,0.00670107160705805,-0.00829397253358568,0.114968359905563,0.202538032690411,0.170367921815607,-0.0267594486971008,0.377378128610363,Y
CDC40,0.131882505321356,-0.15330543734873,-0.0226385925756716,0.690931104945913,0.868117494678644,0.0077238283039203,0.000597858133844236,0.218020506537396,Y
SSN3,0.142066182526851,0.645037319013228,-0.12797039648375,1.10496810422224,0.857933817473149,0.0107638124679369,-0.00529178524290006,0.239500287791357,Y
CGR1,0.0748361112291062,0.0972748047993019,0.0237851544316183,0.494292065137189,0.925163888770894,0.0102619147139331,-0.0031086561630356,0.100387041454725,Y
CHL1,0.870795228818909,-0.00629596816146696,-0.000384889423974255,0.0651927593552118,0.129204771181091,0.0946255839462366,-0.00254870760889455,0.218200562580916,Y
CGI121,0.892212040483282,-0.00277160893261656,0.00217567222829183,0.141916508156452,0.107787959516718,-0.0158433190731773,0.031441440766419,0.467043061489922,Y
CIN8,0.173043516604536,0.148730993647341,-0.00755947418563926,0.35316302471031,0.826956483395464,-0.00715359974848952,-0.00445590850977463,0.0978847360240196,Y
CKB1,0.088156251060079,-0.222391346260448,-0.00939416081710752,0.573338811379787,0.911843748939921,-0.000716451718632839,0.00309409938008564,0.11263908883327,Y
CKA2,0.853178839903201,0.000242129740958958,-0.00635671769531075,0.118664792714825,0.146821160096799,0.1639070949014,-0.00585192290374043,0.578282592554175,Y
CLB5,0.865323724989956,0.000248745191082166,-0.00296327493066,0.0999111734362432,0.134676275010044,0.107190371739031,-0.00811113919086124,0.320667034744844,Y
CLB2,0.891391553766896,0.00266403504980241,-0.00459512787695521,0.0766592184332539,0.108608446233104,0.00931623183300659,-0.0116515908564801,0.316303147575898,Y
CKB2,0.910962131882765,-0.00150008279325486,0.00314877636797546,0.136530199126219,0.0890378681172347,-0.229797962400573,-0.0232890923847744,0.646495480509093,Y
CLA4,0.0711006104410845,0.0187396653931017,-0.0507387790884078,0.416848000625211,0.928899389558915,7.75572027668936e-05,-0.00171396432712044,0.0786647104047775,Y
CLB1,0.096709751645494,-0.13199260495023,0.0114697651947933,0.393460969297942,0.903290248354506,-0.00340566372196139,0.00150882020770749,0.0793979140765983,Y
CLN3,0.254886637070021,0.0537934034889634,-0.00995175424176721,0.260253955602183,0.745113362929979,-0.00719915767879569,-0.00388130343648127,0.0878828018388012,Y
CLN2,0.0704940846419703,0.0319584050150228,0.0166030465211346,0.305230183764764,0.92950591535803,-0.00454978515678193,0.000743071682241655,0.0560011311740429,Y
CSM1,0.919490373851356,0.00809141049788165,-0.0058823190904176,0.0948324784168383,0.0805096261486437,0.419644190004498,-0.0630573022689842,0.531114127832359,Y
CTF18,0.818166613599447,-0.00920725491677797,-0.00490335037381389,0.11098558579378,0.181833386400553,0.201208238563362,-0.0190025823783195,0.366718137547003,Y
CTF19,0.0839599126361956,0.160900943412076,-0.0119877427305394,0.269831357625536,0.916040087363804,-0.00349604461163875,-0.00163114706119662,0.0652052494747238,Y
CSM3,0.0374971126054309,-0.0436576394092705,0.00151897605312167,0.359089883278497,0.962502887394569,3.12443608678067e-05,0.00212607320816117,0.0797585348570924,Y
CTF4,0.780113871618134,-0.0106398708366539,-0.00569037587112849,0.133839427640218,0.219886128381866,0.191882845135534,-0.0219311377407804,0.421840714135081,Y
SSN8,0.859630664594717,0.00474520028605804,-0.00244081964310293,0.190956188714627,0.140369335405283,0.516424215470433,-0.114008387477867,0.980037753731529,Y
DCC1,0.830345088145654,0.000652219350743797,-0.00369477587327904,0.106886151322341,0.169654911854346,0.180996743931933,-0.0132924100846851,0.338858191445346,Y
DBR1,0.927551962133668,0.00638596166064577,-0.00500737614303915,0.107780558580695,0.0724480378663317,0.120489924118146,0.00924219566364878,0.388239304031121,Y
DCS1,0.103960159493554,0.0417369460092323,-0.0316543944564647,0.406745481876045,0.896039840506446,-0.000875029653542329,-0.00438324742434326,0.0836934403979867,Y
DBP3,0.864264514614039,0.00239039325376771,-0.00156749656998842,0.122949124058529,0.135735485385961,0.158275819551002,-0.0103088898953439,0.452213811560802,Y
DDR48,0.931712244314265,-0.00270078439071996,-0.000275170140308677,0.0731384855448233,0.0682877556857353,-0.0867161279436171,-0.00363391424416437,0.633074933978056,Y
DHH1,0.87191274692586,0.00700452467530716,-0.000667839018209696,0.207334113093162,0.12808725307414,0.143085003087933,-0.00915080048407325,0.633717596328128,Y
DIG1,0.135624455163767,-0.199429782611822,0.0314154495865212,0.717819414165216,0.864375544836233,-0.0134666674413084,0.00632751049822224,0.170045423661165,Y
DEG1,0.117596449769053,0.0487441897098522,-0.0159393225252967,0.537329119234043,0.882403550230947,0.00475800201627628,-0.00146269672408808,0.135120408268491,Y
DIG2,0.0542143954854292,0.0501293838726821,-0.0136666328313887,0.222197342322742,0.945785604514571,0.00111894994654458,3.05174545419893e-05,0.0568755389150196,Y
DSS1,0.0797847346500101,-0.0552243793898546,-0.00090854801344872,0.297120392297037,0.92021526534999,0.00452368385246486,-0.00225964947819271,0.0710928588505736,Y
DPB3,0.883276057116933,0.000707396873987999,0.00113509060259379,0.088437536840487,0.116723942883067,0.104039685703658,-0.0212172478089769,0.29465139112271,Y
DST1,0.0774176221781934,-0.0684236615754646,0.0102485908952582,0.397609830168773,0.922582377821807,-0.000687283243309416,0.00173671768463902,0.09707577814347,Y
DUN1,0.120403402517139,0.221527226525827,-0.0454771296836571,0.399416043015836,0.879596597482861,-0.0055978969038637,-0.00640031418895795,0.0926264313444247,Y
EBS1,0.13707513630865,0.138001007304785,-0.00651527115013741,0.23434274232014,0.86292486369135,-0.0123924522528667,-0.00411574767829623,0.0825240196110327,Y
EDC1,0.925207211746001,-0.0029240052710636,0.000255249319169241,0.0905428790055353,0.0747927882539993,-0.0718738755914544,0.0152016554129381,0.478573194440723,Y
EFG1,0.84155877105436,0.00280066990373516,0.00450892831659889,0.118156060872519,0.15844122894564,0.0594725175650108,-0.00264402459263207,0.461284440792631,Y
