,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
GPG1,0.6, 0.15704,1.633e-07, 0.024908,4.401e-08,1.042e-07,4.033e-12, 4.191,5.895e-04,0.05133,7.528e-08
RRG9,0.3,-0.10225,2.309e-06,-0.050841,1.547e-06,1.130e-07,6.207e-11, 4.157,5.774e-04,0.17050,5.831e-06
CGI121,0.6, 0.10179,9.158e-07, 0.030770,7.080e-07,1.131e-07,4.189e-11, 4.156,7.136e-04,0.11446,3.283e-06
SWI3,0.9,-0.06830,1.667e-07,-0.054799,4.599e-07,1.355e-07,1.611e-11, 4.078,6.895e-04,0.13106,1.395e-06
MGA2,0.4,-0.09510,0.000e+00,-0.039186,9.574e-09,1.590e-07,5.774e-13, 4.008,3.500e-04,0.13848,5.774e-08
EAF5,0.5,-0.08620,0.000e+00,-0.026087,3.433e-07,1.593e-07,8.944e-12, 4.007,3.082e-04,0.10792,3.478e-06
RCE1,0.6, 0.10486,1.506e-07, 0.020350,3.445e-08,1.711e-07,6.282e-12, 3.977,6.779e-04,0.06214,9.832e-08
SCS2,0.5,-0.09272,0.000e+00,-0.026159,2.793e-08,2.128e-07,2.881e-12, 3.882,7.050e-04,0.06367,1.000e-07
SDC1,0.7,-0.09537,4.880e-08,-0.028262,1.215e-08,2.494e-07,9.512e-13, 3.813,6.703e-04,0.11724,1.134e-07
TPK3,0.5, 0.07256,0.000e+00, 0.025821,2.408e-08,2.718e-07,4.561e-12, 3.775,7.025e-04,0.05962,5.477e-08
THP1,0.3,-0.11339,5.774e-08,-0.048871,3.512e-08,2.741e-07,4.041e-12, 3.772,8.170e-04,0.16334,1.528e-07
CDC26,0.4,-0.12010,5.000e-08,-0.025138,6.185e-08,2.822e-07,4.420e-11, 3.759,8.590e-04,0.09734,1.284e-06
PHO85,0.4,-0.10583,5.196e-07,-0.056757,6.727e-07,3.079e-07,3.955e-11, 3.721,4.082e-04,0.08272,1.819e-06
ELA1,0.3,-0.10460,5.774e-08,-0.020133,1.155e-08,3.246e-07,2.082e-12, 3.699,8.141e-04,0.10181,1.155e-07
EXO1,0.4,-0.09131,3.000e-07,-0.034584,2.819e-07,3.344e-07,3.503e-11, 3.685,6.530e-04,0.06240,6.000e-07
BUD13,0.7, 0.09706,1.317e-06, 0.026084,6.705e-07,3.353e-07,1.178e-10, 3.684,8.176e-04,0.13690,5.861e-06
RIC1,0.4,-0.09260,4.000e-07,-0.033903,3.418e-07,3.529e-07,5.002e-11, 3.662,7.752e-04,0.12068,1.884e-06
RAD52,0.3,-0.09653,0.000e+00,-0.031956,0.000e+00,3.646e-07,0.000e+00, 3.647,0.000e+00,0.13615,0.000e+00
RAM1,0.3,-0.09588,0.000e+00,-0.082713,3.512e-08,3.899e-07,2.517e-12, 3.618,8.141e-04,0.14294,1.528e-07
CSE2,0.3,-0.11467,6.351e-07,-0.045768,5.081e-07,3.999e-07,6.207e-11, 3.608,7.785e-04,0.12162,1.732e-06
SIN3,0.4,-0.08559,0.000e+00,-0.047809,1.708e-08,4.005e-07,1.708e-12, 3.607,6.746e-04,0.17047,8.165e-08
RTT107,0.4,-0.11768,5.774e-08,-0.022174,9.574e-09,4.190e-07,1.291e-12, 3.587,6.746e-04,0.08173,9.574e-08
SCP160,0.6, 0.13574,4.082e-08, 0.018854,8.165e-09,4.322e-07,2.258e-12, 3.574,7.256e-04,0.07807,0.000e+00
ZWF1,1.0,-0.09446,3.000e-02,-0.019848,1.313e-02,4.632e-07,9.015e-08, 3.551,8.536e-02,0.50248,4.485e-01
NRG1,0.5, 0.08207,0.000e+00, 0.021268,5.477e-09,4.750e-07,1.483e-12, 3.533,5.893e-04,0.06268,4.472e-08
