,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
PIF1, 3.52110e-02, 5.07069e-03, 1.61340e-01,-0.034770462,-2.31279e-03, 1.09805e-01, 0.008754182, 2.16619e-03,8.56529e-01,-0.031169481,-2.64608e-03,7.84688e-02,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.21782495,0.78217505
PIB2,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.03018963,0.96981037
PHO80,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.96309913,0.03690087
PFK2, 4.23419e-02, 1.13029e-02, 7.10229e-03, 0.104692770, 7.75859e-02, 1.45870e-14, 0.047993350, 1.20870e-02,5.67655e-03, 0.177778343, 9.44196e-02,2.10227e-03,  0.0000000,1.11167e+01, 0.0000000, 0.0000000,0.85969253,0.14030747
PFK1,-1.10255e-02,-7.56126e-04, 7.85576e-01, 0.117521335, 5.66110e-02, 3.16953e-09,-0.009785743,-1.64902e-03,5.64333e-01, 0.145560561, 1.02792e-01,8.06499e-02,  0.0000000,5.77967e+00, 0.0000000, 0.0000000,0.92413049,0.07586951
PHO85,-6.18740e-03, 3.20502e-03, 7.47643e-01, 0.040610192, 7.81577e-03, 2.19984e-02, 0.031853975, 2.07665e-02,7.23274e-01, 0.033686414, 7.04461e-03,4.65686e-02,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.07212271,0.92787729
PFK27,-5.55744e-02,-9.01972e-03, 2.07068e-03, 0.060538826, 1.41215e-02, 3.86164e-02,-0.062163783,-1.07796e-02,4.17161e-04, 0.064223198, 2.76127e-02,2.01059e-01,  0.0000000,0.00000e+00, 0.6603648, 0.0000000,0.79699000,0.20301000
PHO13,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.02905844,0.97094156
PET112, 1.67795e-02,-1.59342e-03, 7.06895e-01,-0.042985210,-2.87026e-03, 6.72697e-03,-0.025709704,-7.29683e-03,7.52416e-01,-0.041884120,-2.68827e-03,1.36893e-02,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.06770461,0.93229539
PDE2,-7.29185e-02,-4.66513e-03, 6.10053e-01, 0.184068727, 2.20848e-02, 2.34957e-28,-0.000719370,-4.40515e-04,9.92418e-01, 0.183206492, 2.24925e-02,2.39515e-27,  0.0000000,2.49097e+01, 0.0000000,23.9013365,0.07466456,0.92533544
PCL8,-2.51556e-01,-6.07412e-02, 2.18278e-33, 0.079464207, 6.01225e-03, 1.62465e-05,-0.216985366,-6.63154e-02,9.25094e-04, 0.072316083, 6.16230e-03,2.52437e-05, 29.9416588,2.06991e+00, 0.3144829, 1.8785154,0.10000519,0.89999481
