,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
CLB5,0.905656087879165,-0.0105899307636641,0.00253784363498579,0.111634431300128,0.0943439121208354,0.178180058006324,0.0469104680271355,0.317607604458937,Y
CLB2,0.0642364794598223,0.0237863023196663,0.0410166202123609,0.37117168430377,0.935763520540178,-0.00378732572592245,0.00221888263124836,0.0820872461094509,Y
CKB2,0.0656703357945178,-0.252497461992093,-0.0121503980209934,0.649159434793729,0.934329664205482,-0.00270003486208804,-0.00671498502999443,0.130298894920737,Y
CLA4,0.96869319655197,-0.00448790085216459,-2.1135506177538e-05,0.0832057398488397,0.0313068034480302,-0.0136575654768298,-0.0256776712569301,0.510052450120556,Y
CLB1,0.066824202938828,-0.218416381835501,-0.00777332836605786,0.378015402805645,0.933175797061172,0.00016772699301135,0.0124119773070044,0.0838533728667794,Y
CLN3,0.232483427075645,0.0367688245690154,-0.00380480387788923,0.23115751441118,0.767516572924355,-0.0158678862039497,-0.00529064910893303,0.0932970820691018,Y
CLN2,0.893387111811595,-0.00478158430256715,-0.00117099338641402,0.0545371502481621,0.106612888188405,0.0394778162910851,-0.0246989428122745,0.166651927645066,Y
CSM1,0.070659580198053,0.364282541526147,0.0660770393287253,0.445751646157988,0.929340419801947,-0.0067917498608126,0.00815725325375187,0.0986237328803141,Y
CTF18,0.87659062818423,-0.0245561198434042,0.00269157162419433,0.123285284486204,0.12340937181577,0.234418240079629,0.033526699767132,0.361097994457077,Y
CTF19,0.0732872236248654,0.148471194761446,0.0246036216554053,0.209662574407889,0.926712776375135,-0.00869536914416438,0.00165698538194651,0.0664500474543852,Y
CSM3,0.99346042993344,0.00521967976893549,-0.00417965110526396,0.0882654799312023,0.0065395700665602,-0.225745340578643,0.1550498229234,0.562431558060531,Y
CTF4,0.13230779136893,0.237916785100318,0.0511507893428929,0.454869026409958,0.86769220863107,-0.0332585705660256,0.00180761807145858,0.163223529775378,Y
SSN8,0.0864712365813274,0.553598544942952,-0.0171338108923937,0.919742527034465,0.913528763418673,-0.0246256301275706,-0.0311779804469131,0.20088457634116,Y
DCC1,0.910947543837523,-0.00797404734398821,0.00288919950813831,0.118104237795808,0.0890524561624773,0.23873165885048,0.0277682659965054,0.358422871099605,Y
DBR1,0.122024366295818,0.089118931613281,-0.0447478763883354,0.250977032672065,0.877975633704182,-0.0102019752803589,-0.00356859664005288,0.102159168424565,Y
DCS1,0.0928076301222285,0.0363658690549196,-0.00242793935929741,0.381847501440441,0.907192369877772,-0.0115470628781975,0.000439130134173558,0.0861835677849133,Y
DBP3,0.0734023437047465,0.214922755821087,0.0257482794161,0.545385322679369,0.926597656295254,-0.0138729307448815,-0.00627575117048999,0.147008809446845,Y
DDR48,0.938835599552897,-0.00203568460366308,0.0113372827110245,0.0712574036096374,0.0611644004471027,-0.125217508307299,0.0333843135330813,0.543578232314969,Y
DHH1,0.0669788488709052,0.173196944060498,-0.0524125323258432,0.7348325804866,0.933021151129095,0.0026931527625664,-0.00262821847125327,0.232713861915269,Y
DIG1,0.086659382588254,-0.369929895694387,-0.0941004839421752,0.727358082458312,0.913340617411746,-0.00511992804055351,0.0142300584017047,0.186652757222487,Y
DEG1,0.0770623690043476,-0.025853707387691,0.134598714423301,0.579044103960787,0.922937630995652,-0.00495534976083921,0.0109666012153657,0.151870220857321,Y
DIG2,0.968187696318512,-0.000310140170728654,0.000136678134705676,0.0637324881290974,0.0318123036814878,0.049761578414174,0.0603805466988557,0.269015676654834,Y
DSS1,0.0818167870459865,-0.0239154834082957,-0.0192681571921771,0.265244578753394,0.918183212954014,0.00284625355171203,-0.00258311134679401,0.0725531273941058,Y
DPB3,0.935259643572893,-0.00383889075199256,-0.00143870356835713,0.0970252784696617,0.0647403564271066,0.16887661810154,0.0441555577190207,0.337841600659222,Y
DST1,0.959137971935716,0.0022182443827162,-0.00297463780183636,0.0986239572028085,0.0408620280642842,-0.0530448984762074,-0.053597127993406,0.492908419397507,Y
DUN1,0.922024538358043,-0.0158219820378785,-0.0115565281520693,0.0935946652423575,0.0779754616419568,0.201991585343739,0.0158929930809449,0.420913981712096,Y
EBS1,0.0783675697410584,0.129229480889208,-0.010618591592239,0.262563957301391,0.921632430258942,-0.0261228763852007,0.00435581447275784,0.0815461529254639,Y
EDC1,0.917861261719546,-0.00618039376482924,0.00561703676449811,0.08959355659914,0.0821387382804538,-0.0745799794162342,-0.0452233286526858,0.330063903833868,Y
