,global,local
DBP3,441.273624246571,1043.84793754111
DDR48,-Inf,3444.73096102817
DHH1,-763.701563421363,-452.030247849243
DIG1,-773.863717975967,21.9798804396719
DEG1,325.149210922334,903.109623248652
DIG2,3963.22401968587,4413.6805021318
DSS1,3067.41081409146,3566.42214458383
DPB3,2104.35432943198,2631.34711564151
DST1,1969.52241896189,2688.98491451049
DUN1,1491.84350360965,2502.60608681289
EBS1,2666.76203639715,3193.28038302596
EDC1,2226.49053850926,2781.67636894448
EFG1,534.164409637669,1191.10226429406
ELG1,3280.28985198288,3741.31538500782
ELF1,5.38394142958207,312.691644557996
ELM1,893.106433281687,1414.62413027028
ERF2,2713.20565770674,3519.50340038113
ERG2,105.40656111954,1039.13379715972
EST1,3103.08174314364,3554.11174627603
EXO1,2751.29108456644,3377.73302334744
FAB1,1460.65917590072,2462.50507385465
FKS1,-80.3176089234938,543.141305251346
GEP3,-1426.24497687278,-959.576411136169
FIN1,3092.94236372722,3762.00193946355
FRA2,3436.22024206433,5205.3865364236
GAL80,4426.04415315153,4573.17804763564
FUS3,784.406990924845,1384.84843266869
GCR2,76.2566562192897,720.163845754655
GPA2,734.279782879682,1803.08089353298
GPR1,-224.887007535348,554.999030533745
GPG1,2275.64882613669,2447.00622382316
GPH1,1709.08103029723,2612.01177539162
GIS4,2306.80107926444,3089.76235735901
GTR1,789.593957986449,2122.03933077673
GSY2,2419.15675535607,3032.47461824135
GSY1,3212.01746320503,3508.69742850273
HAP4,2228.70979053554,2416.21451582711
HCR1,494.334001580468,1058.40253489969
HFM1,1004.75857406605,1528.11354804438
HHT1,3852.75164669131,4154.03756719098
HNT3,2865.35825203548,3358.60205584997
HOG1,1817.50355990925,3192.10007258781
HHF1,3417.16132080447,3720.19682573082
HOS3,2520.22945164236,3480.42443573854
HOM2,809.674928388938,1914.7856571125
HUR1,-303.035642718074,391.82969821655
KKQ8,2505.40871332555,3259.97064650784
INP52,718.778341902549,1539.52409984322
IRC3,-468.21025489247,-52.1469222300717
IRE1,604.748185499121,896.058483195445
IRA2,-1487.77056500067,-1271.07111998351
IPK1,-1514.63378807696,-669.486882413152
IRA1,-59.2515932618977,855.032731012962
JJJ1,859.586833569358,1288.26757700231
IST3,838.40065034453,1110.04890668237
IRS4,2386.03101526969,3051.28852038911
JNM1,1668.87109995418,2252.94596546755
KAR3,-157.461410701119,957.785876063958
RRD1,2421.98281788501,2843.68495574667
RRP8,1913.710299643,2465.02704924954
RSA1,-1044.415924293,-537.260198707714
RRP6,90.9387197920227,483.210798805776
RRM3,2452.54180953994,2875.32098782341
RPB9,-1677.75348325982,-1391.12404300636
RNY1,-610.304967903644,-16.9032881825373
RPA49,775.913502171778,1275.88390053172
RPA14,1839.50768468037,2616.05016206286
RPA12,1349.46289537743,1858.81121364023
RNR4,-786.304311045359,-303.470995728587
RMI1,1331.33044006424,2329.9670731469
RIM1,-1161.73951410176,-728.513705264708
RGP1,-1480.00549432913,-913.310048010752
RGT2,3035.89344792632,3593.31888679777
RIC1,290.725103422123,1020.77957659272
RIF1,4563.28277820588,5387.79881530677
REG1,-2446.98431320536,-1602.98543946588
REV3,4173.3120656378,4600.32955226599
RCE1,2309.51303024271,2443.80581712353
RAS2,2056.8343919465,3282.25378717723
RAI1,-677.236137090171,-124.899343295412
RAM1,-3359.25524195727,-2776.6882580235
RAD57,1260.60247030489,1933.53350848919
RAD54,1180.90207823275,1725.94289813783
RAD50,-485.270934412486,208.946070484508
RAD55,3047.9768662509,3566.47518971732
RAD52,-176.688930977419,432.711231106775
RAD27,232.985582528733,867.852678035562
RAD1,1279.39684754798,2005.31121458638
PUS7,2001.62076801627,2556.48187553559
PUF4,2557.27285547223,3200.77832795361
PUS1,573.987486710782,1529.38601770053
PUF6,782.827701787322,1400.06735696021
PUS9,4052.64807003556,4422.54735074949
PUF3,1901.73586282004,3360.04578223114
PTK2,3076.90194226401,3543.16099014398
PTP3,2063.60310447101,2871.56054656787
PSY2,1907.86445948243,2553.16103588551
PTC1,-1172.71153448289,-633.229323965253
PPH3,1844.4779546636,2148.96429104188
POL32,2577.12568882202,3097.81156810254
POG1,2439.6054100641,3005.53400899197
PMS1,4043.05843694274,4682.30082528901
PLC1,-1186.67024971645,-374.702818031826
PML39,3043.25058072432,4012.84726537199
PIH1,1305.40397114894,1760.08865569127
PIN4,1650.95659639327,2329.0446142664
PIF1,1999.87313347407,2394.28055754105
PIB2,2274.46334712749,3044.11491111423
PHO80,2919.207786685,3765.65645712602
PFK2,-1753.22449360138,-1177.69642979571
PFK1,72.5264327356305,612.082434718239
PHO85,-566.642835929444,-53.5996293820811
PFK27,-444.842701821514,-41.6455987578431
PHO13,2229.47921491965,4376.42252028463
PET112,3002.92731561135,4032.95944907982
PDE2,277.90183826321,1627.83450556735
PCL8,1648.57570602232,2782.35873351303
PCL6,2074.42873304452,2979.23538700959
PBS2,1627.84821652766,3082.61900347693
PBP1,1927.77055935603,2452.39340831501
PAT1,-609.472624076033,-255.247617368049
PAP2,567.484966480477,1219.16040442801
OPI1,-1607.37313304605,-886.616232913092
OCA6,2257.72212300584,2943.90668959968
OCA4,2176.2214950597,2952.07151419395
OCA5,2315.97583255172,2966.28130017024
OCA2,2588.97095175701,2864.44172424577
OCA1,2222.07457333366,2487.6100842681
NUP60,480.605154356911,897.947906496382
NUP170,367.703074658012,1146.33297713373
NUP188,2176.15344257275,3550.78607963769
NUP120,711.27002452958,1247.47225125608
NTH2,1481.74291670665,2088.46542818413
NPR2,3397.06971221176,3994.05319915272
NRP1,2780.67390223167,3640.60129365677
NOP6,2007.07552252946,2898.83770895308
NPT1,2232.47696019853,3643.12688642012
NMD2,-534.017098444938,415.760385405246
NPL3,-2109.24607118922,-1706.5070130974
NOP12,1212.56033328009,1938.21416995116
NKP2,1449.36023451317,1641.04584716058
