"","cor","beta","pval_beta","adjp_beta","ratio"
"LSM12"," 0.1160848"," 0.01105252"," 2.45914e-12","  8.88989","0.9299372"
"MAC1"," 0.1183778"," 0.00808998"," 2.66839e-12","  8.85442","0.9089507"
"PAP2"," 0.1304094"," 0.01453477"," 3.61486e-12","  8.72258","0.8603590"
"CTI6"," 0.1193777"," 0.01727161"," 4.24206e-12","  8.65309","0.9453557"
"ELA1","-0.1203665","-0.00937463"," 5.14187e-12","  8.56955","0.9192866"
"VAC8"," 0.1122866"," 0.01530674"," 8.12359e-12","  8.37092","0.9092158"
"SAC1"," 0.1183393"," 0.01126006"," 1.04520e-11","  8.26147","0.8881388"
"NUP120","-0.1160932","-0.01644960"," 1.24924e-11","  8.18402","0.9352297"
"SET2","-0.1153059","-0.01542475"," 1.53999e-11","  8.09315","0.8959610"
"NUP60","-0.1165520","-0.01807667"," 1.90878e-11","  7.99991","0.9297732"
"SRV2","-0.1195718","-0.03096870"," 2.23217e-11","  7.93194","0.8714221"
"SSN2","-0.1121775","-0.02314223"," 5.10862e-11","  7.57236","0.9086964"
"URC2"," 0.1050496"," 0.01269521"," 5.17208e-11","  7.56700","0.8555104"
"NUP170","-0.1043781","-0.01461127"," 1.30869e-10","  7.16383","0.9038842"
"NMD2"," 0.1097009"," 0.01472348"," 3.21787e-10","  6.77310","0.8225374"
"CDC40"," 0.1074724"," 0.02775767"," 4.95956e-10","  6.58523","0.9092843"
"RPN13","-0.1184778","-0.01626877"," 6.97376e-10","  6.43720","0.7425478"
"SRB5"," 0.0994003"," 0.02084430"," 7.40300e-10","  6.41126","0.9310721"
"YIL001W"," 0.0963563"," 0.00707312"," 8.11283e-10","  6.37150","0.8910880"
"STB5"," 0.1024146"," 0.02082008"," 9.97866e-10","  6.28160","0.8701876"
"OCA1","-0.1155430","-0.01062165"," 1.00169e-09","  6.27994","0.9192721"
"TRM10"," 0.0983067"," 0.01434103"," 1.05112e-09","  6.25902","0.8969635"
"MFT1","-0.1005407","-0.01000762"," 1.15532e-09","  6.21797","0.9220317"
"MSN5","-0.1194926","-0.01397165"," 1.18884e-09","  6.20555","0.8748380"
"THP1","-0.1058958","-0.02881691"," 1.81214e-09","  6.02248","0.8713902"
"RCM1"," 0.1079892"," 0.01607063"," 4.14079e-09","  5.66359","0.9240095"
"CTK1","-0.1126499","-0.02629729"," 4.16702e-09","  5.66084","0.7378108"
"AFT1"," 0.1079388"," 0.00903586"," 6.00148e-09","  5.50241","0.9377082"
"PMS1"," 0.0978501"," 0.00541600"," 7.53954e-09","  5.40332","0.9475384"
"ARP6","-0.1101761","-0.01014524"," 1.41466e-08","  5.13002","0.8670781"
"RRP8","-0.0938876","-0.00986884"," 2.04507e-08","  4.96996","0.9494007"
"ERG2"," 0.0936862"," 0.01249819"," 2.16465e-08","  4.94528","0.8851190"
"SRB2"," 0.0913227"," 0.02112812"," 3.11680e-08","  4.78696","0.9176021"
"MGA2"," 0.0783692"," 0.01883731"," 3.35311e-08","  4.75522","0.8764071"
"MRE11"," 0.0915643"," 0.01081146"," 5.64520e-08","  4.52899","0.8743036"
"MSH1","-0.1066304","-0.01001784"," 8.30318e-08","  4.36142","0.8362329"
"SWC3","-0.0950754","-0.00817351"," 1.01297e-07","  4.27507","0.8573715"
"ARG82"," 0.0876281"," 0.01788281"," 1.27811e-07","  4.17410","0.9097590"
"POG1"," 0.0870335"," 0.00749381"," 1.71099e-07","  4.04742","0.9214918"
"GTR1"," 0.0897904"," 0.00904067"," 1.74238e-07","  4.03953","0.9238605"
"KAP122","-0.0856053","-0.01124269"," 1.80020e-07","  4.02535","0.9476041"
"GAL11"," 0.0828534"," 0.02272416"," 1.95597e-07","  3.98931","0.8867486"
"ASK10"," 0.0789671"," 0.00970327"," 3.44225e-07","  3.74383","0.9441763"
"GRR1","-0.1010212","-0.02595873"," 3.54161e-07","  3.73147","0.8517289"
"YLH47"," 0.0898061"," 0.00634845"," 4.34188e-07","  3.64299","0.9195438"
"GPA2","-0.0803457","-0.00965892"," 5.30669e-07","  3.55585","0.9214220"
"IRS4"," 0.0876081"," 0.00692900"," 7.96044e-07","  3.37973","0.9193052"
"MCK1"," 0.0828755"," 0.01515275"," 9.55544e-07","  3.30042","0.9443173"
"CSM1"," 0.0777713"," 0.00815725"," 1.14588e-06","  3.22153","0.9293404"
"JHD2"," 0.0972898"," 0.00541672"," 1.21749e-06","  3.19520","0.7418500"
"CHD1"," 0.0834254"," 0.00982685"," 1.30456e-06","  3.16520","0.8928234"
