,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
NGG1,-4.49089e-02,-8.75822e-03, 2.14857e-02, 1.15022e-02, 4.76101e-03,7.47652e-01,-3.75891e-02,-8.29078e-03,3.63395e-02, 1.32591e-02, 1.65889e-02,8.49972e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.88407994,0.1159201
PAF1,-2.10414e-01,-1.36303e-01, 2.39582e-11,-3.92264e-02,-1.40365e-02,2.09645e-02,-2.59344e-01,-6.38383e-01,4.56970e-03,-3.90012e-02,-1.39779e-02,2.76356e-02,  7.8865466, 0.0000000,0.0000000,0.0000000,0.10103010,0.8989699
NPL6,-4.94895e-02,-1.10798e-02, 4.97686e-03,-4.32297e-02,-2.58719e-02,3.52021e-02,-4.89699e-02,-1.08155e-02,8.05355e-03,-3.58747e-02,-3.76354e-02,4.85648e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.78373370,0.2162663
SOH1, 6.82045e-03, 4.91224e-04, 8.65020e-01,-1.54369e-01,-7.48718e-02,2.49976e-12, 2.44210e-04, 4.11735e-05,9.89032e-01,-1.17159e-01,-8.05717e-02,1.74348e-01,  0.0000000, 8.8681022,0.0000000,0.0000000,0.92165807,0.0783419
NUT1, 7.49795e-03, 5.47690e-04, 7.71185e-01,-3.89678e-02,-1.60119e-02,3.16156e-02, 1.50949e-03, 1.65189e-04,9.32650e-01,-3.71093e-02,-2.11870e-02,6.30914e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.90623553,0.0937645
CSE2,-6.61920e-02,-4.41081e-02, 3.25484e-04, 4.02890e-02, 6.14404e-03,3.39217e-02,-8.86664e-02,-9.45345e-02,1.96348e-01, 3.67068e-02, 6.11193e-03,4.12207e-02,  0.7534709, 0.0000000,0.0000000,0.0000000,0.10781999,0.8921800
PGD1, 5.05028e-02, 7.66128e-03, 5.59020e-03,-1.82940e-02,-1.85855e-03,8.79704e-01, 5.33703e-02, 8.50228e-03,3.37453e-03,-1.96739e-02,-1.86111e-02,7.37792e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.85468272,0.1453173
SRB5, 3.66525e-02, 6.49141e-03, 5.08025e-02, 3.85380e-02, 2.38295e-02,7.86193e-02, 3.30189e-02, 6.37356e-03,6.31344e-02, 3.67836e-02, 3.89153e-02,6.67267e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.92230040,0.0776996
MED2, 4.47805e-02, 8.31831e-03, 2.32697e-02,-1.69128e-02,-5.93433e-03,6.93712e-01, 4.38290e-02, 9.25120e-03,1.48123e-02,-4.62751e-02,-6.44065e-02,4.98711e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.88350869,0.1164913
SRB2, 1.95864e-02, 3.91643e-03, 3.03815e-01,-1.79990e-03, 5.76921e-03,6.66172e-01, 1.93709e-02, 4.25524e-03,2.76336e-01, 4.32330e-02, 4.26148e-02,6.03105e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.91597651,0.0840235
GAL11,-6.57069e-03,-1.28014e-03, 7.71951e-01, 2.54345e-03, 1.95528e-03,8.99323e-01,-1.39782e-04,-3.56608e-05,9.93827e-01,-9.99993e-03,-1.24220e-02,8.77265e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.86120175,0.1387982
SIN4,-5.93459e-03, 1.95473e-03, 8.70467e-01, 5.55071e-02, 9.01036e-03,2.16300e-03,-2.72342e-02,-2.35862e-02,6.79201e-01, 6.29991e-02, 1.07052e-02,4.74143e-04,  0.0000000, 0.0000000,0.0000000,0.5900914,0.11905204,0.8809480
MED1, 1.46637e-02,-2.14961e-03, 8.57338e-01,-2.29735e-02,-2.69035e-03,2.82939e-01, 3.45075e-03, 3.05445e-03,9.62514e-01,-1.83425e-02,-2.63695e-03,3.05805e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.08730578,0.9126942
LGE1,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.03449297,0.9655070
JHD2,-1.37784e-03, 1.17531e-03, 8.42705e-01,-3.26425e-03,-1.12892e-04,9.35838e-01,-3.01776e-02,-2.17123e-02,7.22417e-01, 1.58468e-03, 1.29129e-04,9.28978e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.08674606,0.9132539
LEO1,-4.90914e-02,-1.49729e-02, 1.28266e-01, 4.08120e-02, 5.01026e-03,2.97514e-02,-3.72253e-02,-2.87805e-02,7.18788e-01, 3.86892e-02, 5.22319e-03,2.83568e-02,  0.0000000, 0.0000000,0.0000000,0.0000000,0.05812669,0.9418733
LDB7,-6.27811e-02,-1.12093e-02, 5.59659e-02, 2.80495e-02, 2.99428e-03,1.41245e-01, 3.58530e-03, 1.26112e-03,9.56779e-01, 2.06994e-02, 2.44827e-03,2.51101e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.13557829,0.8644217
ITC1, 5.73716e-02, 5.43530e-03, 8.49758e-04, 3.74463e-02, 2.87482e-02,9.68838e-03, 5.50253e-02, 5.24585e-03,2.08331e-03, 5.76045e-02, 4.54601e-02,4.42428e-01,  0.3367052, 0.0000000,0.0000000,0.0000000,0.91611197,0.0838880
HST1,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.96957065,0.0304294
IOC4,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.02987133,0.9701287
ISW1,-1.55226e-01,-5.60650e-02, 2.22151e-10, 3.30388e-02, 3.01800e-03,7.07124e-02,-1.56720e-01,-1.08912e-01,3.17299e-02, 3.38869e-02, 3.24908e-03,5.84512e-02,  6.9193519, 0.0000000,0.0000000,0.0000000,0.08581133,0.9141887
HTZ1,-5.27424e-02,-1.13560e-02, 1.63454e-01, 3.95198e-02, 5.13415e-03,2.79071e-02,-5.64134e-02,-4.16576e-02,4.49399e-01, 3.60911e-02, 4.88544e-03,4.36536e-02,  0.0000000, 0.0000000,0.0000000,0.0000000,0.11431031,0.8856897
IOC2, 1.14345e-01, 1.01789e-02, 2.80821e-09,-1.11060e-01,-2.61803e-02,1.85448e-06, 9.74445e-02, 9.65294e-03,3.41001e-08,-1.25997e-01,-6.00588e-02,1.85585e-01,  5.8175712, 2.9977796,4.7332455,0.0000000,0.93102415,0.0689758
HTL1, 2.42673e-02, 2.65593e-03, 3.16044e-01,-1.08782e-01,-4.16126e-02,5.77464e-06, 2.09990e-02, 3.20287e-03,2.50221e-01,-1.12647e-01,-7.47573e-02,4.86138e-02,  0.0000000, 2.5044756,0.0000000,0.0000000,0.82795758,0.1720424
IES5,-5.88019e-02,-1.20917e-02, 9.32757e-02, 5.11657e-02, 3.94941e-03,9.84927e-03,-2.51559e-02,-1.76797e-02,7.12510e-01, 4.46650e-02, 3.93625e-03,1.30258e-02,  0.0000000, 0.0000000,0.0000000,0.0000000,0.11192557,0.8880744
HOS4, 2.03441e-01, 3.97258e-02, 7.17115e-09, 4.06687e-02, 3.31410e-03,2.01215e-02, 1.04386e-01, 7.83979e-02,3.41737e-01, 4.42953e-02, 3.70961e-03,1.19175e-02,  5.4104119, 0.0000000,0.0000000,0.0000000,0.05285674,0.9471433
