,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
CKA2,0.103572308478096,0.20561654057739,-0.0162342767519731,0.651861073837327,0.896427691521904,-0.0116799432178601,0.00315913940171495,0.127681465136248,Y
CLB5,0.91372612756678,-0.014284717320279,0.00782564975554617,0.10835354423324,0.0862738724332199,0.15436729906552,0.0177222566143005,0.354314419076841,Y
CLB2,0.0736277150356558,0.00627323734779528,0.014580892536426,0.374119075239701,0.926372284964344,-0.00586437485251004,0.00546130297582574,0.082650944401877,Y
CKB2,0.0788449111027219,-0.219146742821183,-0.0172993122633456,0.551924453105782,0.921155088897278,-0.0028846063204801,0.000958974960887578,0.133535927256408,Y
CLA4,0.957631385635097,-0.00244826422625243,0.00170972528088907,0.0819874270758693,0.0423686143649033,0.0727010138577595,-0.0859730004620061,0.51320698850227,Y
CLB1,0.0793324217223072,-0.152590101386594,0.011005417223929,0.408685782619075,0.920667578277693,-9.96227593274521e-05,0.00127665152954853,0.0820007322714398,Y
CLN3,0.208540895046059,0.0435541215385202,-0.00370036349074477,0.245852498453204,0.791459104953941,-0.0112530403992121,-0.00483562904153767,0.0968420690111145,Y
CLN2,0.957126693625584,-0.00424520973222021,0.00174222377342704,0.0596553712143319,0.0428733063744156,0.0611709219438747,-0.00467630986252203,0.375036125967014,Y
CSM1,0.937963123452397,-0.0036531456097748,0.000881318864464601,0.0987617169501107,0.0620368765476027,0.453503103978854,-0.0215078054956195,0.568295860155578,Y
CTF18,0.133179387410418,0.216889066079361,-0.0198170453588591,0.382123452407942,0.866820612589582,-0.0200453538803381,-0.00158839275566931,0.121053607868959,Y
CTF19,0.930352618362741,-0.00969573004944612,0.00135914132917284,0.0662381124821465,0.0696473816372592,0.176053372330668,-0.0171592501532293,0.258485793670288,Y
CSM3,0.984889821539003,0.00389928604245653,-0.0028639376088803,0.0858421601455572,0.0151101784609969,-0.097679683904231,-0.0269970244662419,0.481039767224795,Y
CTF4,0.156376227178335,0.208667904174844,-0.00127312141797097,0.452883654130862,0.843623772821665,-0.0326087379330211,0.00296558321649677,0.151917952771208,Y
SSN8,0.0964431207179418,0.55648890291845,-0.0564669365006158,1.02534724748557,0.903556879282058,-0.0130266675692827,-0.00969603152205628,0.196809764532348,Y
DCC1,0.874151066311907,-0.0103376792333004,0.00224202690006751,0.112420938767363,0.125848933688093,0.181826108499765,-0.0120041688834628,0.355089864039907,Y
DBR1,0.941183261099009,-0.000470655152610473,0.00102948682590623,0.107396263838898,0.0588167389009911,0.107759582761219,-0.0465088269152864,0.415255046425001,Y
DCS1,0.941414112199218,-0.00903364563774472,0.000866295448150664,0.0906458800023014,0.0585858878007822,0.0168191981729962,-6.99696233058655e-05,0.529132850306319,Y
DBP3,0.92090583057826,-0.00756747734080897,0.00450543333533752,0.142866322707695,0.0790941694217399,0.202059313344615,-0.0402531473541325,0.527722074944644,Y
DDR48,0.0628312645228042,-0.0850924026010826,-0.00256717916352295,0.637105807804444,0.937168735477196,-0.00413670592722848,0.00214756645259523,0.072582494170327,Y
DHH1,0.100058275175947,0.104829020972913,-0.0813991783408165,0.633195017105179,0.899941724824053,0.00275572210116551,0.0120868009622595,0.223739368212706,Y
DIG1,0.113699230600933,-0.224743302259184,-0.0219228660066334,0.681730231493088,0.886300769399067,-0.00244007162285852,-6.19421229666939e-05,0.177148973665495,Y
DEG1,0.899299509603745,-0.0026934386342026,-0.00278186330610809,0.147401791239349,0.100700490396255,0.0338119106370525,0.0280251128384344,0.520735154449638,Y
DIG2,0.039474555522282,0.0374044968914629,0.00857615181455382,0.268525292611832,0.960525444477718,-0.00222472564418524,-0.00214367299902841,0.0609742871933319,Y
DSS1,0.0490855278136947,-0.0880683831502819,-0.00219841121673705,0.331776106212501,0.950914472186305,0.00371718200524455,0.00420477950616061,0.0739379663534807,Y
DPB3,0.924887604867087,-0.00535580915966458,0.00181907396092766,0.0935072641047701,0.0751123951329135,0.145357738875494,-0.0909237800406159,0.31627569688426,Y
