,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
PTP3,1.0,-0.10629,0.000e+00,-0.036268,2.767e-08,3.292e-12,3.938e-17, 8.691,0.0003300,0.07213,9.189e-08
EAF7,1.0,-0.13269,3.406e-07,-0.046144,3.712e-07,3.684e-12,6.847e-16, 8.642,0.0003397,0.11260,1.363e-06
SNF12,1.0,-0.09717,2.066e-07,-0.076010,5.830e-07,1.021e-11,1.863e-15, 8.199,0.0003009,0.13081,1.101e-06
PUF4,1.0, 0.11049,5.164e-08, 0.026884,2.406e-08,1.315e-11,2.869e-16, 8.089,0.0003325,0.06879,8.756e-08
UBC8,1.0, 0.14070,1.414e-06, 0.026909,5.262e-07,1.501e-11,6.686e-15, 8.032,0.0003852,0.10183,2.833e-06
YAP1,1.0, 0.13180,4.377e-07, 0.033278,2.273e-07,2.679e-11,5.261e-15, 7.780,0.0003412,0.06827,3.967e-07
BRE2,1.0,-0.12001,3.162e-08,-0.044593,1.792e-08,3.231e-11,2.366e-16, 7.699,0.0003324,0.09795,6.749e-08
NUP60,1.0,-0.15064,1.150e-06,-0.034861,4.298e-07,3.428e-11,1.190e-14, 7.673,0.0003633,0.13068,2.385e-06
SRP40,1.0, 0.13895,2.098e-06, 0.031477,1.168e-06,4.852e-11,4.366e-14, 7.522,0.0005099,0.12963,6.772e-06
SSN3,1.0,-0.12719,0.000e+00,-0.094340,2.751e-08,7.159e-11,2.989e-16, 7.353,0.0003324,0.12299,7.071e-08
CTF8,1.0,-0.08495,0.000e+00,-0.007081,0.000e+00,1.144e-10,0.000e+00, 7.150,0.0003323,0.89692,6.325e-08
MDM30,1.0,-0.12896,3.162e-08,-0.033063,1.663e-08,1.177e-10,1.174e-15, 7.137,0.0003324,0.09094,8.756e-08
BCS1,1.0,-0.14883,2.678e-06,-0.025627,1.070e-06,1.187e-10,1.313e-13, 7.134,0.0005827,0.05465,2.710e-06
SWM2,1.0, 0.14997,9.718e-08, 0.024536,1.958e-08,1.333e-10,3.479e-15, 7.084,0.0003325,0.10338,9.718e-08
PIN4,1.0,-0.12638,5.232e-07,-0.028485,2.654e-07,1.370e-10,2.205e-14, 7.072,0.0003395,0.11446,1.814e-06
SAC3,1.0,-0.13509,1.726e-06,-0.049312,1.169e-06,1.552e-10,9.053e-14, 7.017,0.0003107,0.13710,3.926e-06
CTF18,1.0,-0.08670,1.160e-07,-0.009148,2.111e-08,1.583e-10,9.489e-15, 7.009,0.0003310,0.83731,2.657e-06
THP1,1.0,-0.13153,1.202e-06,-0.059315,1.110e-06,2.819e-10,1.363e-13, 6.758,0.0003888,0.16760,4.091e-06
DLS1,1.0,-0.11506,8.842e-07,-0.028481,4.547e-07,4.328e-10,1.235e-13, 6.572,0.0004060,0.08523,1.860e-06
SNF7,1.0,-0.10957,4.175e-07,-0.066648,6.008e-07,4.626e-10,8.582e-14, 6.543,0.0003370,0.08346,8.249e-07
RCY1,1.0,-0.12635,2.530e-07,-0.059276,2.002e-07,5.999e-10,3.278e-14, 6.430,0.0003331,0.13471,1.063e-06
SKY1,1.0,-0.14954,1.273e-06,-0.038189,5.663e-07,7.313e-10,2.583e-13, 6.344,0.0003686,0.07290,1.179e-06
DCC1,1.0,-0.08520,4.492e-07,-0.008492,4.830e-09,9.644e-10,1.558e-13, 6.224,0.0003705,0.85024,2.983e-06
SET3,1.0,-0.13083,2.974e-06,-0.025781,1.007e-06,9.787e-10,1.079e-12, 6.218,0.0005777,0.11409,3.920e-06
LSM1,1.0,-0.14134,2.848e-06,-0.044711,1.505e-06,1.059e-09,9.057e-13, 6.183,0.0002547,0.07887,2.587e-06
SSN2,1.0,-0.11993,0.000e+00,-0.073578,1.700e-08,1.133e-09,5.164e-15, 6.154,0.0003300,0.11878,7.888e-08
PFK2,1.0,-0.11681,4.216e-08,-0.057533,4.040e-08,1.178e-09,2.366e-14, 6.137,0.0003277,0.14980,1.033e-07
YAF9,1.0,-0.11245,4.830e-08,-0.031784,2.211e-08,1.580e-09,2.211e-14, 6.010,0.0003324,0.15350,1.197e-07
NCS6,1.0,-0.12416,9.395e-07,-0.031742,6.237e-07,1.581e-09,5.011e-13, 6.009,0.0002895,0.15009,5.057e-06
HOS2,1.0,-0.11534,7.379e-08,-0.023122,2.633e-08,1.639e-09,4.927e-14, 5.994,0.0003279,0.08145,9.487e-08
RGP1,1.0,-0.10447,6.332e-07,-0.055409,6.931e-07,1.927e-09,5.269e-13, 5.923,0.0003980,0.16780,3.250e-06
SSN8,1.0,-0.12845,4.830e-08,-0.078387,2.022e-07,1.963e-09,4.830e-15, 5.915,0.0003300,0.12331,9.033e-07
HAP4,1.0,-0.10772,0.000e+00,-0.033175,2.171e-08,2.169e-09,2.759e-14, 5.872,0.0003276,0.05307,6.325e-08
CCE1,1.0,-0.12035,3.467e-06,-0.028090,9.784e-07,2.285e-09,2.169e-12, 5.849,0.0005301,0.23728,7.042e-06
CTI6,1.0, 0.11296,0.000e+00, 0.036145,1.358e-07,2.759e-09,2.283e-13, 5.768,0.0003341,0.12127,2.435e-06
SPT21,1.0,-0.13805,4.743e-07,-0.044766,6.613e-08,3.397e-09,7.815e-14, 5.677,0.0003230,0.14916,1.814e-06
INO2,1.0,-0.10736,2.331e-07,-0.064153,4.688e-07,5.159e-09,4.024e-13, 5.496,0.0003317,0.14067,2.378e-06
DSS1,1.0, 0.11773,3.162e-08, 0.022683,1.333e-08,8.279e-09,1.120e-13, 5.290,0.0003300,0.07841,6.325e-08
YPT6,1.0,-0.10562,1.084e-06,-0.052297,9.181e-07,9.528e-09,3.987e-12, 5.229,0.0002957,0.19045,3.460e-06
EAF6,1.0,-0.15108,1.300e-06,-0.027941,6.452e-07,9.821e-09,5.010e-12, 5.216,0.0003990,0.05227,1.206e-06
URE2,1.0,-0.09743,2.497e-07,-0.044308,3.099e-07,1.038e-08,1.312e-12, 5.192,0.0003324,0.08576,7.149e-07
UFD4,1.0, 0.10574,9.487e-08, 0.034680,2.461e-07,1.132e-08,8.475e-13, 5.154,0.0003172,0.07181,7.502e-07
SDC1,1.0,-0.10383,5.653e-07,-0.030917,2.641e-07,1.519e-08,2.667e-13, 5.027,0.0003300,0.11803,3.226e-06
GPG1,1.0, 0.15105,1.229e-07, 0.024719,2.885e-08,2.146e-08,5.990e-13, 4.877,0.0003302,0.05935,6.992e-08
SAE2,1.0,-0.12539,2.987e-06,-0.023961,1.187e-06,2.179e-08,2.114e-11, 4.870,0.0005392,0.08197,5.243e-06
SWA2,1.0,-0.09926,9.295e-07,-0.057000,7.978e-07,2.297e-08,7.009e-12, 4.847,0.0003577,0.19177,3.522e-06
MGA2,1.0,-0.09829,2.214e-07,-0.040407,1.854e-07,2.703e-08,1.892e-12, 4.777,0.0003315,0.14858,1.713e-06
SCP160,1.0, 0.14322,8.165e-08, 0.020739,1.944e-08,3.510e-08,5.982e-13, 4.663,0.0003347,0.07658,9.487e-08
ASC1,1.0,-0.12963,9.812e-07,-0.046968,3.907e-07,3.563e-08,1.967e-12, 4.657,0.0003307,0.11974,2.299e-06
RPD3,1.0,-0.09558,5.543e-07,-0.057065,6.025e-07,3.961e-08,6.289e-12, 4.610,0.0002977,0.16969,2.406e-06
RRD1,1.0, 0.11000,4.216e-08, 0.019685,2.173e-07,4.287e-08,4.985e-12, 4.576,0.0003339,0.12951,2.559e-06
AZF1,1.0,-0.09723,1.066e-06,-0.019082,4.319e-07,4.634e-08,2.055e-11, 4.542,0.0003797,0.12038,2.874e-06
NPT1,1.0,-0.07063,0.000e+00,-0.005173,4.830e-09,5.043e-08,0.000e+00, 4.506,0.0003300,0.92379,5.270e-08
PUF6,1.0,-0.10867,6.724e-07,-0.029415,3.304e-07,5.327e-08,9.933e-12, 4.482,0.0003397,0.12280,1.752e-06
CSE2,1.0,-0.11915,4.596e-07,-0.048007,3.550e-07,5.362e-08,5.524e-12, 4.479,0.0003354,0.12700,1.372e-06
GRR1,1.0,-0.10522,6.280e-07,-0.083495,5.929e-07,5.651e-08,6.544e-12, 4.456,0.0003585,0.17869,1.805e-06
NBP2,1.0,-0.12528,5.164e-08,-0.038675,1.354e-08,5.654e-08,9.428e-14, 4.456,0.0003324,0.09465,8.433e-08
EST3,1.0, 0.05598,1.897e-07, 0.048051,5.909e-07,6.790e-08,1.744e-11, 4.376,0.0003463,0.13668,1.378e-06
SPP1,1.0, 0.10733,0.000e+00, 0.022348,5.676e-09,7.130e-08,4.714e-14, 4.355,0.0003323,0.09923,9.428e-08
CBF1,1.0,-0.10815,2.846e-07,-0.050041,2.939e-07,7.177e-08,5.121e-12, 4.352,0.0003337,0.12243,1.404e-06
CGI121,1.0, 0.10317,5.539e-07, 0.031220,5.104e-07,7.215e-08,1.760e-11, 4.350,0.0003463,0.11469,2.619e-06
TSL1,1.0,-0.11218,1.561e-06,-0.037228,8.068e-07,8.437e-08,3.613e-11, 4.282,0.0003793,0.23289,5.461e-06
RRG9,1.0,-0.10318,2.105e-06,-0.051345,1.412e-06,8.611e-08,4.351e-11, 4.273,0.0003963,0.16988,5.363e-06
FKS1,1.0,-0.10549,4.216e-08,-0.036448,3.795e-08,1.153e-07,1.762e-11, 4.146,0.0003001,0.14447,1.919e-06
YGR122W,1.0,-0.08108,1.197e-07,-0.043804,1.851e-07,1.236e-07,8.011e-12, 4.116,0.0003336,0.05332,2.319e-07
NPL3,1.0,-0.10812,5.376e-07,-0.059367,5.608e-07,1.374e-07,2.068e-11, 4.070,0.0003820,0.16398,2.202e-06
PET112,1.0, 0.12740,6.179e-07, 0.019319,1.216e-07,1.437e-07,7.757e-12, 4.051,0.0003446,0.09269,1.014e-06
RIC1,1.0,-0.09454,2.108e-07,-0.034805,2.579e-07,1.495e-07,1.398e-11, 4.034,0.0003327,0.12169,1.646e-06
IOC3,1.0, 0.06652,3.213e-07, 0.028780,3.842e-07,1.500e-07,4.303e-11, 4.032,0.0004325,0.06023,4.977e-07
NPL6,1.0,-0.10562,1.546e-06,-0.045835,9.725e-07,1.956e-07,8.165e-11, 3.917,0.0003772,0.21811,4.109e-06
RRP8,1.0,-0.09084,6.325e-08,-0.025993,2.324e-07,1.970e-07,1.953e-11, 3.914,0.0003328,0.07975,1.138e-06
SNF5,1.0,-0.06884,2.183e-07,-0.052025,5.323e-07,2.207e-07,3.819e-11, 3.865,0.0003405,0.11437,1.251e-06
TPK3,1.0, 0.07032,3.887e-07, 0.025183,3.288e-07,2.335e-07,5.205e-11, 3.840,0.0003437,0.06343,8.025e-07
OPI3,1.0,-0.08970,3.615e-07,-0.072632,9.812e-07,2.362e-07,3.241e-11, 3.835,0.0003621,0.25470,7.820e-06
RAM1,1.0,-0.09741,2.530e-07,-0.082779,4.924e-07,2.363e-07,1.753e-11, 3.835,0.0003340,0.14764,1.974e-06
NRG1,1.0, 0.08329,3.162e-07, 0.021623,6.527e-07,2.436e-07,8.537e-11, 3.822,0.0003637,0.06417,3.455e-06
EXO1,1.0,-0.09214,0.000e+00,-0.034782,1.633e-08,2.668e-07,1.578e-12, 3.782,0.0003300,0.06266,5.164e-08
RAD5,1.0,-0.09664,3.795e-07,-0.025913,2.995e-07,2.680e-07,2.473e-11, 3.780,0.0003349,0.10882,2.805e-06
RAD50,1.0,-0.10055,0.000e+00,-0.037140,9.189e-09,2.698e-07,5.164e-13, 3.777,0.0003300,0.11886,7.888e-08
SCS2,1.0,-0.09084,2.366e-07,-0.025335,1.631e-07,2.721e-07,1.905e-11, 3.774,0.0003313,0.06632,6.961e-07
SEM1,1.0,-0.09392,7.861e-07,-0.037573,6.596e-07,3.151e-07,8.245e-11, 3.710,0.0003991,0.11140,2.418e-06
DHH1,1.0,-0.11752,5.164e-08,-0.041374,2.494e-08,3.241e-07,3.622e-12, 3.698,0.0003277,0.11752,8.433e-08
HFM1,1.0,-0.09984,1.897e-07,-0.027799,1.145e-07,3.262e-07,3.795e-12, 3.695,0.0003300,0.11916,1.243e-06
SWM1,1.0,-0.10847,4.216e-08,-0.023439,2.951e-08,4.026e-07,2.671e-11, 3.603,0.0003338,0.10501,1.183e-06
SMI1,1.0,-0.12089,2.584e-07,-0.026800,1.060e-07,4.374e-07,1.581e-12, 3.567,0.0003324,0.08499,8.097e-07
RCM1,1.0, 0.09365,4.818e-07, 0.028452,6.047e-07,5.062e-07,1.303e-10, 3.504,0.0004048,0.12107,3.849e-06
CLB1,1.0, 0.11040,5.482e-07, 0.026795,2.443e-07,5.805e-07,8.392e-11, 3.444,0.0003383,0.07825,6.674e-07
STB5,1.0,-0.10848,5.164e-08,-0.039453,7.888e-09,6.262e-07,4.830e-13, 3.412,0.0003300,0.14320,7.379e-08
INO4,1.0,-0.09517,3.062e-07,-0.059242,4.011e-07,6.819e-07,2.111e-12, 3.375,0.0003300,0.13545,3.224e-06
ELA1,1.0,-0.10401,2.514e-07,-0.018994,8.535e-08,7.015e-07,3.049e-11, 3.362,0.0003305,0.10764,9.235e-07
HER2,1.0,-0.06873,2.415e-07,-0.003125,0.000e+00,7.793e-07,4.986e-11, 3.317,0.0003313,0.87728,1.677e-06
BIK1,1.0, 0.07588,9.393e-07, 0.015856,5.597e-07,9.512e-07,5.750e-10, 3.230,0.0004232,0.06681,2.187e-06
ADA2,1.0,-0.08413,8.433e-08,-0.047648,4.219e-07,9.667e-07,6.824e-11, 3.223,0.0003313,0.15569,2.447e-06
ZWF1,1.0,-0.06260,0.000e+00,-0.007018,0.000e+00,1.095e-06,3.162e-12, 3.169,0.0003300,0.92366,7.379e-08
HAP2,1.0,-0.06892,0.000e+00,-0.024477,8.433e-09,1.100e-06,3.162e-12, 3.167,0.0003323,0.08475,5.164e-08
YOR338W,0.8,-0.13144,8.864e-08,-0.021672,2.357e-08,1.170e-06,2.252e-11, 3.140,0.0002446,0.05443,7.559e-08
YVH1,1.0, 0.09038,0.000e+00, 0.041617,2.066e-08,1.274e-06,7.888e-12, 3.103,0.0003300,0.13162,1.059e-07
RAD52,1.0,-0.09274,1.932e-07,-0.028881,1.255e-07,1.478e-06,9.661e-12, 3.039,0.0003300,0.14996,3.009e-06
RCE1,1.0, 0.09417,6.749e-08, 0.018244,1.792e-08,1.517e-06,2.584e-11, 3.027,0.0003324,0.06664,4.830e-08
PTH2,1.0,-0.06830,5.948e-07,-0.023118,5.225e-07,1.533e-06,5.552e-10, 3.023,0.0003668,0.05689,1.083e-06
ASK10,1.0,-0.08472,5.164e-08,-0.035703,2.163e-08,1.562e-06,7.071e-12, 3.015,0.0003300,0.05642,5.164e-08
ULS1,1.0,-0.04874,0.000e+00,-0.023835,3.274e-08,1.839e-06,4.077e-11, 2.944,0.0003277,0.06396,8.165e-08
SER2,1.0,-0.10820,2.951e-07,-0.019663,7.021e-08,1.931e-06,1.265e-11, 2.923,0.0003300,0.09087,8.718e-07
HOS3,1.0,-0.03415,4.433e-07,-0.020611,3.396e-07,2.007e-06,5.391e-10, 2.906,0.0003463,0.07220,9.036e-07
LGE1,1.0,-0.10911,1.438e-06,-0.037950,8.774e-07,2.023e-06,6.341e-10, 2.902,0.0003568,0.08186,2.390e-06
SIR4,1.0, 0.09026,1.567e-07, 0.062787,2.616e-07,2.314e-06,1.301e-10, 2.844,0.0003332,0.05863,2.406e-07
GIS1,1.0, 0.09271,5.270e-08, 0.018042,1.033e-08,2.356e-06,1.247e-11, 2.836,0.0003300,0.13320,1.135e-07
MAC1,1.0,-0.07368,3.098e-07,-0.023608,2.485e-07,2.574e-06,3.728e-10, 2.798,0.0003630,0.07661,8.072e-07
ELP2,1.0, 0.08107,9.068e-07, 0.029934,9.351e-07,2.975e-06,9.604e-10, 2.735,0.0004245,0.08507,4.322e-06
NCS2,1.0,-0.09146,9.487e-08,-0.025286,2.566e-07,3.442e-06,1.878e-10, 2.672,0.0003307,0.12564,2.810e-06
SWD3,1.0,-0.09792,1.897e-07,-0.032227,1.147e-07,3.529e-06,7.709e-11, 2.661,0.0003301,0.11901,1.612e-06
PHO85,1.0,-0.10038,5.164e-08,-0.049646,2.541e-08,4.502e-06,1.751e-11, 2.555,0.0003323,0.08623,1.075e-07
LEU3,1.0, 0.09016,4.830e-08, 0.020400,1.317e-08,5.359e-06,2.183e-11, 2.479,0.0003300,0.06042,4.830e-08
OPI1,1.0,-0.09065,2.530e-07,-0.047878,3.373e-08,5.427e-06,5.801e-10, 2.474,0.0003581,0.13385,1.825e-06
RGT2,1.0,-0.09761,4.830e-08,-0.020242,1.578e-08,5.731e-06,4.492e-11, 2.450,0.0003276,0.07607,6.749e-08
SRV2,1.0,-0.10044,2.530e-07,-0.052170,4.022e-07,6.235e-06,7.780e-10, 2.413,0.0003369,0.17338,1.679e-06
IOC2,1.0,-0.09510,6.325e-07,-0.020902,2.968e-07,6.443e-06,1.180e-09, 2.399,0.0002764,0.07929,1.155e-06
TOP3,1.0,-0.10746,1.252e-07,-0.027624,5.056e-08,6.651e-06,7.176e-10, 2.385,0.0003092,0.08131,1.095e-06
NOT3,1.0,-0.08510,0.000e+00,-0.018732,8.498e-09,6.908e-06,3.979e-11, 2.369,0.0003300,0.15279,6.749e-08
HUR1,1.0,-0.10040,7.321e-07,-0.030003,3.183e-07,7.005e-06,9.066e-10, 2.363,0.0003345,0.16076,2.300e-06
BRE1,1.0,-0.09953,1.408e-06,-0.033919,9.056e-07,7.112e-06,1.925e-09, 2.356,0.0004078,0.12194,5.778e-06
HHF1,1.0,-0.05700,0.000e+00,-0.004319,5.164e-09,7.323e-06,1.197e-11, 2.344,0.0003300,0.91506,8.498e-08
SNF2,1.0,-0.02605,0.000e+00,-0.054243,2.359e-08,7.364e-06,4.351e-11, 2.341,0.0003300,0.09758,4.216e-08
SWI3,1.0,-0.05608,2.470e-07,-0.046198,5.368e-07,7.970e-06,1.062e-09, 2.307,0.0003033,0.13234,1.725e-06
HSE1,1.0,-0.09765,6.701e-07,-0.033899,4.439e-07,8.288e-06,9.247e-10, 2.290,0.0003332,0.16104,4.471e-06
RTT107,1.0,-0.10517,4.202e-07,-0.018352,1.162e-07,8.598e-06,4.377e-10, 2.274,0.0003162,0.09381,1.126e-06
MSH2,1.0,-0.05992,1.636e-07,-0.006172,4.216e-09,8.770e-06,2.838e-10, 2.265,0.0003232,0.92687,1.023e-06
GCN4,1.0, 0.09699,3.573e-07, 0.024556,2.404e-07,9.496e-06,9.288e-10, 2.231,0.0003352,0.07482,9.539e-07
GCN5,1.0,-0.05946,4.789e-07,-0.044312,1.386e-07,9.937e-06,4.304e-10, 2.211,0.0003305,0.12177,1.733e-06
CTF4,1.0,-0.09410,5.438e-07,-0.024026,1.326e-07,1.073e-05,2.726e-10, 2.178,0.0003254,0.18516,4.529e-06
CDC26,1.0,-0.10948,1.265e-07,-0.020546,1.265e-08,1.252e-05,8.535e-10, 2.111,0.0003335,0.10636,1.047e-06
YPK1,1.0,-0.11067,4.630e-07,-0.036462,1.634e-07,1.350e-05,4.377e-10, 2.078,0.0003302,0.14648,1.479e-06
HST1,1.0,-0.05923,0.000e+00,-0.006028,0.000e+00,1.536e-05,5.676e-11, 2.022,0.0003300,0.94365,3.162e-08
RPN13,1.0,-0.07977,1.231e-06,-0.029693,5.979e-07,1.549e-05,4.265e-09, 2.018,0.0003987,0.24317,3.835e-06
ARX1,1.0,-0.07952,4.830e-08,-0.023087,2.378e-08,1.583e-05,2.271e-10, 2.009,0.0003324,0.09063,6.992e-08
