,int,beta,beta_pval,sigma,adj_pval
RAD27,0.0152856181047546,-0.00801581421161523,0.00712262619363723,0.232659699740706,1
SAS4,-0.0104981213739545,-0.00654529494623903,0.00760574056322934,0.191542247476297,1
HST1,0.0322109800219737,-0.00922363516758885,0.0077737138745582,0.270666792571231,1
SNF5,-0.00428422624331455,-0.0107427958865175,0.008513467378886,0.318932531481825,1
ENV11,-0.00113898814919087,-0.00607539656149115,0.00855518146290662,0.180480647988146,1
HPC2,-0.000142311404199607,-0.00446412413316658,0.00906103031386831,0.133611072199647,1
ASH1,-0.00300403295066645,0.00397279986578646,0.00978990686826264,0.120129935261312,1
KIN82,0.00370760101172998,-0.0034849706798737,0.0104941124132461,0.106369978052647,1
SGF29,0.00987039032106617,-0.00703631922519741,0.0105485295436351,0.214917091573424,1
SAE2,-0.00282072788148486,-0.00505861024250892,0.0112141731684624,0.15581190967892,1
DPB4,0.00179786259982388,-0.00463739922139383,0.0113026875746371,0.142993449585777,1
SUM1,0.0374441527086909,-0.0103729017577726,0.0116574674633026,0.321223514209349,1
SSN2,0.0574387019630429,-0.0128101845401287,0.011661535754055,0.396719541389995,1
SWM1,0.0141116607632198,-0.00483300446620037,0.0118038078749814,0.149927515422595,1
MMS4,0.00510320323210003,-0.00257952008418017,0.0126235635289835,0.0807828582690491,1
SNF12,-0.00962809945363418,-0.0109217010748847,0.0126707471231028,0.342216841070612,1
MMS22,0.0428938182470816,-0.00919916890967173,0.0131577321408151,0.289804555256245,1
PTC1,0.0445549617878077,-0.0117112852300833,0.0135535530912599,0.370527701734346,1
SSN8,0.0509127559945713,-0.0132895409622312,0.0141376436952636,0.423056300145907,1
SIN3,0.0117743397679922,-0.0109783017508984,0.0144955834350019,0.350768744209205,1
CDC40,-0.0157845370817064,0.00997772848348947,0.0148799938248416,0.320037701692922,1
TLC1,0.090095809609376,-0.0155628613859742,0.0154125894482828,0.501810604290483,1
UPF3,0.0870721193039436,-0.0125909402131436,0.015765524893635,0.407369494811881,1
PPR1,-0.00164085016908289,-0.00281404452164982,0.0162693076293355,0.0914813461197764,1
