,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2
CLB2,0.884989815531021,0,-0.00126544643696674,0.0746689218222407,0.115010184468979,0,0.00318029522716803,0.298877783676035
CKB2,0.0876436828988346,0,-0.0188962945981843,0.650604218802056,0.912356317101165,0,-0.0122410784373873,0.132574661269139
CLA4,0.063987101586756,0,-0.00867940715386617,0.399263523900796,0.936012898413244,0,-0.00130201824426384,0.0776988700504925
CLB1,0.925237079487083,0,-0.000177624200891831,0.0806023337800078,0.074762920512917,0,0.0366644880802007,0.435609541403724
CLN3,0.233276992647519,0,-0.00616231317714371,0.262595182799352,0.766723007352481,0,-0.00380630857811386,0.0899892146525307
CLN2,0.0595440371612474,0,0.00425206326338031,0.302590002433148,0.940455962838753,0,0.00268809989692993,0.0561346035220708
CSM1,0.0692346016019569,0,-0.0613766592321131,0.67389489124847,0.930765398398043,0,-0.00211051066387738,0.0958926001537667
CTF18,0.862248976402702,0,-0.00966450967877897,0.118394454586825,0.137751023597298,0,-0.0228680521962502,0.439431788911253
CTF19,0.938656934508331,0,-0.00185321803539966,0.0676847218701323,0.0613430654916688,0,-0.0120369617381144,0.337943046826361
CSM3,0.0344542443631497,0,0.0458680858740266,0.361948961763691,0.96554575563685,0,-0.00303105345277771,0.0810856206018793
CTF4,0.827447386935631,0,-0.00153568550755605,0.146494411976112,0.172552613064369,0,-0.0330219500920122,0.472251477427652
SSN8,0.878949611709752,0,0.000899620818377721,0.188430143763754,0.121050388290248,0,-0.123872417212435,1.10857206960054
DCC1,0.866315774001001,0,-0.00862537930831202,0.11180221854495,0.133684225998999,0,-0.0231553390070668,0.393141749135533
DBR1,0.0751678629264144,0,-0.00744726621047182,0.385439585779252,0.924832137073586,0,-0.0029497376780221,0.105444800096634
DCS1,0.0906966548031108,0,-0.0158933535205767,0.403871605002888,0.909303345196889,0,-0.00147701597704415,0.0848570766835096
DBP3,0.883759345900662,0,0.00228915199855671,0.127121772415285,0.116240654099339,0,-0.0287447628549729,0.476773073056539
DDR48,0.0618452006736588,0,0.0263132513105608,0.635084680067226,0.938154799326341,0,0.00161131445244468,0.0718347719843013
DHH1,0.88947551389256,0,0.00297880719614652,0.209046712162186,0.11052448610744,0,-0.0495880521932329,0.648196097533943
DIG1,0.121567278392589,0,-0.00812241758300536,0.738349272819779,0.878432721607411,0,0.00135718903054597,0.170768886837732
DEG1,0.117652542232727,0,-0.00189406383645685,0.506831782965947,0.882347457767273,0,-0.0011012175785802,0.135422304847437
DIG2,0.956752416411337,0,6.82570981187223e-05,0.058738517603215,0.0432475835886632,0,-0.0099417611656284,0.276141685372272
DSS1,0.0829727282295743,0,0.0217473539791054,0.293732973051099,0.917027271770426,0,-0.00314417726919259,0.0699087352231274
DPB3,0.903969050520499,0,-0.00304727678907382,0.0888961616102739,0.0960309494795011,0,-0.00888222429554728,0.319049117218247
DST1,0.925576518060884,0,0.00195847904860467,0.0943051671419868,0.0744234819391159,0,-0.000399947486239485,0.380366945639856
DUN1,0.902806448345666,0,-0.00841783389485524,0.0938971754722215,0.0971935516543339,0,-0.0559877885120825,0.469075984169079
EBS1,0.910279114486421,0,-0.00292957863864335,0.0894130976983871,0.0897208855135794,0,-0.0102210840731687,0.305619067731042
EDC1,0.939313016577484,0,-0.000541162037195215,0.08942241548284,0.0606869834225164,0,-0.00599137523997435,0.537509350683323
EFG1,0.126323021305908,0,-0.0217971162232093,0.503103537727821,0.873676978694092,0,0.00269251062771632,0.122235656473746
ELG1,0.91764238757139,0,-0.00636724425118872,0.0686478053103313,0.0823576124286101,0,-0.0392556576420712,0.338738623385205
ELF1,0.909769352737056,0,0.0035613393918721,0.173805473693435,0.0902306472629445,0,0.0181013839224058,0.533340541005968
ELM1,0.0895212992293875,0,-0.0309725569336491,0.502792286871109,0.910478700770613,0,-0.00291197163946756,0.129903704489207
ERF2,0.0685003795495495,0,-0.0163990196355229,0.376564888694849,0.931499620450451,0,-0.00108043541619356,0.0723865630338372
