,global,local
HOS3,4374.46786730452,5953.89207779469
HOM2,657.571143488173,2825.71116240694
HUR1,-534.609605816797,720.321444167339
KKQ8,4482.7183900236,5815.91427533017
INP52,1451.49125547084,2725.63271413656
IRC3,-560.004843130829,421.215093582448
IRE1,1618.26529693647,2120.35891666785
IRA2,-2518.48171410241,-2164.13048370955
IPK1,-2461.6104507816,-769.100723006808
IRA1,-300.656009177265,1340.65962264395
JJJ1,2162.20718545181,3015.48240875656
IST3,1683.29434274651,2373.57290933013
IRS4,3262.85592710292,5135.30343938958
JNM1,3136.05848265305,4202.81396168462
KAR3,-354.359236999793,1765.01860753057
RRD1,4035.01273537482,4917.63762542736
RRP8,3093.78939011425,4101.32524993458
RSA1,-1328.75857997583,-509.111517332979
RRP6,-1016.39670025238,171.680644491097
RRM3,3502.10059662052,4634.60406734859
RPB9,-3307.83223475549,-2672.75995811686
RNY1,-1183.24531402275,97.6904091436907
RPA49,1578.61892750673,2266.2988899311
RPA14,3382.77591705719,4592.9911174565
RPA12,2337.60123053166,3162.2048541527
RNR4,-1492.758436209,-484.990922726174
RMI1,1617.87808053631,3645.63714486521
RIM1,-1579.85682195385,-727.078902373927
RGP1,-2402.1705560386,-1097.35201692783
RGT2,4540.7564693663,5860.5252369798
RIC1,446.279127313126,2049.33401702375
RIF1,6714.01806028431,8487.3495333571
REG1,-4616.28452045554,-2895.81140117409
REV3,6373.60013152421,7675.23682628706
RCE1,3954.94609057644,4461.75166129043
RAS2,3541.74607152087,5354.98755483707
RAI1,-1072.65664505247,-123.103257891931
RAM1,-5755.77123765633,-4614.02447638189
RAD57,2451.5188199029,3693.8239064684
RAD54,2255.21501277486,3274.48646223242
RAD50,-794.872770761168,489.337342312868
RAD55,4791.61663050759,5937.72249569502
RAD52,-74.6702771365108,1005.06821922194
RAD27,227.062135961952,1368.43986971696
RAD1,2206.65221601483,3472.810610898
PUS7,3691.65822151057,4801.92292889547
PUF4,4799.79728335511,5723.91450941442
PUS1,1258.631112966,2979.30224529261
PUF6,1765.56827698755,2936.09800303484
PUS9,6600.98899206351,7798.8191181669
PUF3,3948.43206468906,6056.53833322009
PTK2,4446.4460221564,5671.86022027393
PTP3,3683.68716830721,5145.43872203945
PSY2,3244.54254753326,4381.96014277981
PTC1,-2614.83850118474,-1473.76982246046
PPH3,2476.31011209029,3502.43609932873
POL32,4282.2132983758,5158.1052750366
POG1,2420.91250299968,4975.52959541082
PMS1,5610.24990998684,7719.96042392983
PLC1,-2468.41133572029,-767.378937790322
PML39,5176.11434774359,6690.59359793529
PIH1,2352.81676111135,3243.77625244693
PIN4,3028.15802003189,4199.03463571105
PIF1,3517.96628594287,4330.06670572042
PIB2,4035.7315886079,5454.65390390434
PHO80,4426.86954830995,6264.14800083483
PFK2,-2945.91515811165,-1900.3932918173
PFK1,601.294058314908,1683.26351790597
PHO85,-1752.8304958551,-359.510883982197
PFK27,-1454.50805813233,-431.684704667953
PHO13,4228.97686593368,7411.70560000049
PET112,5162.82015797642,6858.75561003903
PDE2,560.307041187717,2515.34993473673
PCL8,2632.43699086253,4877.27863409614
PCL6,2713.13659187283,4875.86992446796
PBS2,2496.03100474013,4707.06946698425
PBP1,3585.15804234157,4376.32451277735
PAT1,-1049.13308685787,-401.566498322514
PAP2,381.074039480568,1680.62120614245
OPI1,-2602.88705225348,-1187.81805771403
OCA6,3364.94038970591,4733.14749924326
OCA4,3485.40059143849,4846.41623018572
OCA5,3726.20170985071,4904.84684699922
OCA2,3362.06567701882,4576.32831670724
OCA1,2866.42003752838,3799.18079413353
NUP60,868.183077311861,1551.98826988848
NUP170,77.9158964721897,1634.17659281413
NUP188,4328.13000320201,6148.91382344438
NUP120,1107.10909923118,1981.9326346753
