,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2,em_beta_1,em_beta_2,ratio_1,ratio_2
SNF8,-2.27772e-02,6.63624e-01,-2.16756e-02,6.63624e-01,-8.12110e-03,5.38453e-01,-1.06890e-03,5.38453e-01, 0.00000000, 0.0000000,-2.28598e-02,-7.61479e-04,0.0906408,0.9093592
SNF7, 2.47407e-02,6.00840e-02, 3.66189e-03,6.00840e-02,-1.00257e-01,6.84980e-02,-1.05459e-01,6.84980e-02, 0.00000000, 0.0000000, 4.08584e-03,-6.97299e-02,0.9166978,0.0833022
SWA2,-8.56995e-02,2.50029e-02,-8.69544e-02,2.50029e-02, 2.29191e-02,9.14847e-02, 5.50594e-03,9.14847e-02, 0.00000000, 0.0000000,-6.62813e-02, 4.22554e-03,0.1917597,0.8082403
SWM1,-1.76376e-02,1.81368e-01,-1.47069e-03,1.81368e-01,-6.84011e-02,1.93517e-01,-3.09729e-02,1.93517e-01, 0.00000000, 0.0000000,-1.37149e-03,-3.84726e-02,0.9037316,0.0962684
SRN2, 6.14408e-02,2.92894e-01, 3.10148e-02,2.92894e-01, 4.43745e-03,7.35194e-01, 2.98061e-04,7.35194e-01, 0.00000000, 0.0000000, 1.68901e-02, 4.13747e-04,0.0714629,0.9285371
STE5, 4.83413e-04,9.93314e-01, 3.74987e-04,9.93314e-01,-1.90672e-02,1.46381e-01,-1.54575e-03,1.46381e-01, 0.00000000, 0.0000000, 3.41002e-02,-1.64348e-03,0.0669717,0.9330283
SSM4,-3.85841e-02,2.88983e-03,-2.81436e-03,2.88983e-03,-8.65620e-04,9.91698e-01,-4.99175e-04,9.91698e-01, 0.00000000, 0.0000000,-2.59814e-03,-4.30388e-03,0.9627996,0.0372004
TOM1,-8.68946e-03,5.04025e-01,-1.17363e-03,5.04025e-01,-5.22408e-02,4.71750e-01,-4.18868e-02,4.71750e-01, 0.00000000, 0.0000000,-1.19798e-03,-1.66296e-02,0.9430635,0.0569365
UBA4, 1.74481e-03,8.94546e-01, 2.50207e-04,8.94546e-01,-1.73927e-02,7.51837e-01,-1.08032e-02,7.51837e-01, 0.00000000, 0.0000000,-1.02006e-04, 1.05561e-03,0.8878685,0.1121315
UBC4,-3.54781e-02,6.54019e-03,-5.90878e-03,6.54019e-03, 3.84582e-02,5.59155e-01, 3.00188e-02,5.59155e-01, 0.00000000, 0.0000000,-6.14112e-03, 2.38745e-03,0.9208511,0.0791489
UBA3,-3.94741e-02,4.13131e-01,-1.49950e-02,4.13131e-01,-1.71016e-02,1.97705e-01,-1.37753e-03,1.97705e-01, 0.00000000, 0.0000000,-9.20564e-03,-1.59274e-03,0.1310938,0.8689062
UBP1, 2.74297e-02,7.32266e-01, 1.10097e-02,7.32266e-01, 7.87924e-04,9.51551e-01, 4.99945e-05,9.51551e-01, 0.00000000, 0.0000000, 1.63050e-02,-2.11471e-04,0.0459404,0.9540596
UBC6, 1.00677e-01,2.31540e-01, 6.14367e-02,2.31540e-01,-4.17886e-02,1.24685e-03,-3.12670e-03,1.24685e-03, 0.00000000, 0.0597078, 2.71257e-02,-2.93813e-03,0.0378473,0.9621527
UBP13, 1.61722e-02,2.15005e-01, 9.59654e-04,2.15005e-01,-6.14616e-02,3.56647e-01,-4.04904e-02,3.56647e-01, 0.00000000, 0.0000000, 1.05130e-03,-5.69081e-02,0.9507484,0.0492516
UBP10,-1.07725e-03,9.36570e-01,-1.71394e-04,9.36570e-01,-3.52856e-02,3.70213e-01,-2.77139e-02,3.70213e-01, 0.00000000, 0.0000000, 1.73178e-04,-1.44301e-02,0.8140636,0.1859364
UBC8, 4.84160e-03,7.11798e-01, 4.71491e-04,7.11798e-01, 1.13398e-01,5.71757e-02, 5.26596e-02,5.71757e-02, 0.00000000, 0.0000000, 2.49908e-04, 2.88304e-02,0.9018797,0.0981203
UBP14, 4.48954e-03,9.41684e-01, 1.92257e-03,9.41684e-01,-3.96915e-03,7.61713e-01,-2.92364e-04,7.61713e-01, 0.00000000, 0.0000000, 1.58893e-03,-2.02662e-04,0.0760183,0.9239817
UBP15,-2.22287e-02,8.94026e-02,-2.28883e-03,8.94026e-02,-1.95194e-02,7.50876e-01,-1.51657e-02,7.50876e-01, 0.00000000, 0.0000000,-1.81388e-03,-4.16403e-02,0.9358075,0.0641925
UBP3,-1.06804e-01,6.98333e-02,-1.13119e-01,6.98333e-02, 4.11498e-02,1.69300e-03, 1.07679e-02,1.69300e-03, 0.00000000, 0.0000000,-3.37590e-02, 1.04219e-02,0.1112040,0.8887960
UBP16,-1.08400e-02,4.11053e-01,-8.97614e-04,4.11053e-01, 1.21499e-01,2.22321e-02, 5.27100e-02,2.22321e-02, 0.00000000, 0.0000000,-1.04000e-03, 4.01262e-02,0.9006617,0.0993383
UBP6,-1.49148e-02,2.53475e-01,-1.20328e-03,2.53475e-01, 1.56732e-01,1.44554e-02, 8.20699e-02,1.44554e-02, 0.00000000, 0.0000000,-8.69420e-04, 5.57626e-02,0.9349038,0.0650962
UFD2, 5.72443e-03,6.60758e-01, 5.94403e-04,6.60758e-01,-2.30791e-03,9.72414e-01,-1.32838e-03,9.72414e-01, 0.00000000, 0.0000000, 6.24243e-04,-1.79335e-02,0.9335388,0.0664612
UBR2,-7.23959e-03,6.05056e-01,-7.79539e-04,6.05056e-01,-1.09966e-02,7.28091e-01,-4.65275e-03,7.28091e-01, 0.00000000, 0.0000000,-1.11630e-03,-3.22057e-03,0.7093867,0.2906133
UBX3,-3.20553e-02,5.48890e-01,-1.18991e-02,5.48890e-01,-1.36826e-02,2.99361e-01,-9.68382e-04,2.99361e-01, 0.00000000, 0.0000000, 8.84599e-03,-1.31164e-03,0.1009822,0.8990178
UBR1, 4.81366e-02,6.46809e-01, 3.63492e-02,6.46809e-01,-1.97692e-02,1.25293e-01,-3.47496e-03,1.25293e-01, 0.00000000, 0.0000000, 2.33779e-02,-3.69791e-03,0.0408074,0.9591926
UBX2, 2.55105e-03,9.58980e-01, 1.68520e-03,9.58980e-01, 9.47224e-03,4.74688e-01, 1.21093e-03,4.74688e-01, 0.00000000, 0.0000000,-5.20172e-02, 1.59349e-03,0.1028514,0.8971486
UFD4, 1.03481e-01,8.11650e-02, 6.14326e-02,8.11650e-02,-3.47843e-02,7.94623e-03,-2.80148e-03,7.94623e-03, 0.00000000, 0.0000000, 3.99906e-02,-2.41893e-03,0.0713577,0.9286423
