,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
CAR2,0.0771749424169505,0.0302567808234303,0.0071774085168232,0.318722437572682,0.922825057583049,-0.0110708651124004,0.0108574564856961,0.08113752989993,Y
SRV2,0.870348993577946,-0.0722197000756047,-0.0378488510056285,0.265141621083326,0.129651006422054,0.653450952187677,-0.0361385676297256,0.839303482563808,Y
BUD21,0.0391281980876019,-0.051540874186501,0.0158490076048093,0.629439988620016,0.960871801912398,-0.00214799389902234,-0.00625832598634184,0.123511585545594,Y
CCE1,0.840207952718467,-0.012943495336007,-0.00692277065182793,0.147604437279168,0.159792047281533,0.123361231169036,0.0360789090515769,0.407817014408796,Y
CDC40,0.0809438888133641,-0.204680836049438,0.0889846645828242,0.704851945495771,0.919056111186636,-0.000102025837504171,0.0229365706957389,0.265061671809926,Y
SSN3,0.0961804083483539,0.596794073704695,-0.0730994831304776,0.949362521371901,0.903819591651646,-0.0333982639102457,-0.0456136669659236,0.243867907603772,Y
CGR1,0.936863372199869,-0.00822018293843828,-0.00705260393970351,0.113399702066604,0.063136627800131,0.090008319901593,0.0341456356271772,0.432775827183474,Y
CHL1,0.922884205205937,-0.0101495934022524,-0.0026987376058785,0.068756356640387,0.0771157947940631,0.0993303990546838,-0.00908298635097581,0.238213315681967,Y
CGI121,0.906478804794127,-0.00771108558020035,-0.0109616723445842,0.138342258507853,0.0935211952058727,-0.0115152128535792,0.0419485775670611,0.374365230354224,Y
CIN8,0.88723418032765,-0.0163591474431054,0.000482181058949075,0.101668204560924,0.11276581967235,0.130379789222816,0.0150889923957904,0.333304458562942,Y
CKB1,0.067193218981046,-0.249051037535786,-0.0256972777483245,0.529241935338564,0.932806781018954,-0.00286194306098921,-0.00612870611848008,0.104529465643008,Y
CKA2,0.0949251837322253,0.209670584650105,0.0329189709461387,0.605488680592666,0.905074816267775,-0.0179335849143263,-0.00849960999692629,0.12827931850448,Y
CLB5,0.900586443645709,-0.0112635246942741,0.00313034239775523,0.110009885063414,0.0994135563542911,0.156063759077708,0.023923389632584,0.303262657268966,Y
CLB2,0.942783305483034,-0.00413064323556011,0.00227056182197181,0.0824925942787323,0.0572166945169658,0.00749978747796064,0.0230004727567241,0.391051624032212,Y
CKB2,0.0587491405752596,-0.276156230643986,-0.0162357792196285,0.662846522285785,0.94125085942474,-0.00250313538313847,-0.00589925015227569,0.130035072518354,Y
CLA4,0.970345311317511,-0.004601832894542,-0.000444499358541907,0.0827130458548989,0.0296546886824891,-0.025284326922129,-0.0359324143397959,0.516425698976393,Y
CLB1,0.93642511439783,-0.000371127150947302,0.0123678108007584,0.0831258576657578,0.0635748856021697,-0.217248584786896,-0.00201860310749766,0.371585283124484,Y
CLN3,0.761074804164017,-0.0156707329234828,-0.00482514427069721,0.0925420084995234,0.238925195835983,0.0318183658642994,-0.0123001598735963,0.22522878428182,Y
CLN2,0.0988294964898157,0.0421252090259884,-0.0245128015759873,0.168862022500695,0.901170503510184,-0.00437488974941084,-0.000321610597140255,0.054563226057893,Y
