,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
NUP133,1.0,-0.14423,7.340e-07,-0.064131,6.811e-07,1.698e-15,7.338e-19,11.979,0.0007826,0.12063,1.820e-06
LSM6,1.0,-0.18932,1.491e-07,-0.050434,4.954e-08,2.235e-15,9.821e-20,11.859,0.0007548,0.12525,1.317e-07
SLX8,1.0,-0.15353,1.157e-06,-0.062798,1.283e-06,3.340e-15,3.631e-18,11.685,0.0008293,0.07657,1.671e-06
RAD26,1.0,-0.14616,1.687e-07,-0.041982,3.482e-07,3.985e-15,5.270e-19,11.608,0.0007875,0.06616,1.087e-06
YLR278C,1.0, 0.14417,9.764e-07, 0.030142,4.480e-07,6.664e-15,3.775e-18,11.385,0.0007444,0.09280,1.430e-06
CHK1,1.0, 0.14536,2.230e-06, 0.038221,1.279e-06,1.033e-14,1.069e-17,11.195,0.0007811,0.11971,5.803e-06
JNM1,1.0,-0.13312,3.093e-07,-0.032843,2.899e-07,1.321e-14,3.914e-18,11.088,0.0007519,0.09299,1.706e-06
RME1,1.0, 0.13022,1.284e-06, 0.033862,5.434e-07,1.456e-14,8.956e-18,11.046,0.0009165,0.06000,8.934e-07
GEP3,1.0,-0.14115,1.450e-06,-0.062199,9.806e-07,4.515e-14,3.065e-17,10.554,0.0007426,0.19463,3.016e-06
PTC4,1.0, 0.13431,5.676e-08, 0.040721,3.994e-08,6.008e-14,2.030e-18,10.430,0.0007562,0.05185,4.830e-08
PEX4,1.0, 0.16007,7.499e-07, 0.049209,6.553e-07,6.468e-14,2.911e-17,10.398,0.0007617,0.07376,1.054e-06
IRC3,1.0,-0.13883,1.698e-06,-0.046562,7.925e-07,7.021e-14,4.327e-17,10.362,0.0007747,0.20663,4.638e-06
BUR2,1.0,-0.15448,3.568e-06,-0.069171,2.868e-06,7.428e-14,9.541e-17,10.338,0.0008213,0.16612,1.134e-05
YPT7,1.0, 0.09699,7.888e-08, 0.043488,7.177e-08,9.629e-14,6.630e-18,10.225,0.0007643,0.05524,7.888e-08
RSC2,1.0,-0.15143,7.987e-07,-0.072683,5.985e-07,1.270e-13,3.436e-17,10.105,0.0007490,0.12202,1.510e-06
CKB2,1.0,-0.09887,1.874e-07,-0.012269,3.162e-09,2.955e-13,2.922e-17, 9.738,0.0007547,0.90998,8.892e-07
RTR1,1.0, 0.10212,8.097e-07, 0.010029,3.479e-08,8.474e-13,3.157e-16, 9.281,0.0007536,0.89580,3.230e-06
SAM3,1.0,-0.13558,4.830e-08,-0.033993,1.958e-08,8.883e-13,1.446e-17, 9.260,0.0007592,0.12061,1.033e-07
PUF3,1.0, 0.09484,3.162e-08, 0.026040,7.291e-08,1.021e-12,1.159e-16, 9.199,0.0007678,0.09602,5.007e-07
YLH47,1.0, 0.13126,2.108e-07, 0.042854,2.050e-07,1.182e-12,8.192e-17, 9.136,0.0007572,0.06923,5.502e-07
SUS1,1.0,-0.13191,4.743e-07,-0.041154,5.322e-07,1.198e-12,2.960e-16, 9.130,0.0007467,0.12037,2.935e-06
YTA7,1.0,-0.13123,1.470e-06,-0.065305,1.361e-06,1.782e-12,1.073e-15, 8.958,0.0007801,0.13090,3.681e-06
HIR2,1.0,-0.12814,3.795e-07,-0.022059,1.446e-07,2.676e-12,6.767e-17, 8.781,0.0007603,0.08029,1.583e-06
PTP3,1.0,-0.10629,3.592e-07,-0.036268,4.863e-07,3.292e-12,6.618e-16, 8.691,0.0007419,0.07213,1.619e-06
EAF7,1.0,-0.13269,5.254e-07,-0.046144,5.625e-07,3.683e-12,1.031e-15, 8.642,0.0008292,0.11260,2.030e-06
SNF12,1.0,-0.09717,2.066e-07,-0.076011,5.904e-07,1.021e-11,1.876e-15, 8.200,0.0007650,0.13081,1.127e-06
PUF4,1.0, 0.11049,7.379e-08, 0.026884,2.991e-08,1.315e-11,3.837e-16, 8.090,0.0007562,0.06879,7.888e-08
UBC8,1.0, 0.14070,4.830e-08, 0.026909,1.155e-08,1.502e-11,1.509e-16, 8.032,0.0007587,0.10183,7.071e-08
RPS0B,0.1, 0.13779,       NA, 0.028887,       NA,2.100e-11,       NA, 7.886,       NA,0.30459,       NA
YAP1,1.0, 0.13180,6.064e-07, 0.033278,3.251e-07,2.678e-11,7.395e-15, 7.781,0.0008521,0.06827,5.677e-07
BRE2,1.0,-0.12001,4.638e-07,-0.044594,4.595e-07,3.230e-11,6.262e-15, 7.699,0.0007648,0.09795,1.630e-06
NUP60,1.0,-0.15064,5.270e-08,-0.034861,1.449e-08,3.429e-11,4.322e-16, 7.674,0.0007576,0.13068,8.756e-08
SRP40,1.0, 0.13895,3.495e-06, 0.031478,1.932e-06,4.848e-11,7.228e-14, 7.523,0.0011788,0.12963,1.121e-05
SSN3,1.0,-0.12719,5.164e-08,-0.094340,4.099e-07,7.159e-11,4.205e-15, 7.354,0.0007462,0.12299,1.168e-06
