,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
NMD2,-2.34537e-02,-3.11755e-03,8.48609e-02,-3.87852e-02,-1.07490e-02,1.24773e-01,-2.41043e-02,-3.37146e-03,8.94233e-02, 2.42195e-03, 1.22565e-03,9.34869e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.7558841,0.2441159
NPL3, 8.98833e-04,-8.42445e-04,8.16520e-01,-1.08126e-01,-5.93686e-02,1.37376e-07, 1.44732e-04, 4.09191e-05,9.91384e-01,-6.86167e-02,-7.54357e-02,1.11897e-01, 0.0000000, 4.0689969, 0.000000, 0.0000000,0.8360237,0.1639763
NOP12, 4.59289e-03, 4.26605e-04,7.51709e-01,-2.98299e-02,-3.70185e-03,4.73406e-01, 6.89886e-03, 7.36775e-04,6.00198e-01, 7.95916e-04, 4.13089e-04,9.88455e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8996669,0.1003331
NKP2, 1.85022e-02, 1.22301e-03,7.63404e-01,-3.62024e-02,-3.38561e-03,1.89824e-02, 7.22056e-04, 3.30441e-04,9.86895e-01,-3.24272e-02,-3.62151e-03,1.53544e-02, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1802256,0.8197744
NEW1,-2.28108e-02,-2.58538e-03,6.24177e-02, 4.99222e-03, 1.64318e-03,7.73869e-01,-2.65441e-02,-2.91195e-03,4.24640e-02, 2.84028e-02, 1.63476e-02,6.45951e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.9221379,0.0778621
NBP2,-1.25281e-01,-3.86751e-02,5.65424e-08,-6.89018e-03,-1.26749e-03,4.62256e-01,-3.33829e-02,-2.47155e-02,5.49348e-01,-1.54442e-02,-2.10540e-03,2.40281e-01, 4.4545338, 0.0000000, 0.000000, 0.0000000,0.0946452,0.9053548
NAM7,-3.25448e-02,-3.97210e-03,2.01423e-02,-3.55318e-02,-1.06873e-02,1.12907e-01,-2.58643e-02,-3.41317e-03,7.07893e-02, 1.04333e-03, 5.06972e-04,9.70888e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.7412852,0.2587148
MUD2,-2.93404e-02,-1.98515e-03,5.15374e-02, 4.56691e-02, 3.69342e-03,3.05310e-01,-2.44829e-02,-1.96984e-03,6.51735e-02,-2.02462e-02,-7.27837e-03,6.74397e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8691728,0.1308272
NCE102, 2.42216e-02, 1.62593e-03,5.56639e-02, 4.73029e-02, 1.45102e-02,2.88412e-02, 2.51733e-02, 1.68487e-03,5.47113e-02, 2.30846e-02, 1.38376e-02,6.99507e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.9366457,0.0633543
MUM2,-3.37027e-02,-1.43270e-02,3.45400e-02, 2.24623e-02, 1.68366e-03,8.26393e-02,-2.56830e-02,-1.61453e-02,6.90976e-01, 1.86112e-02, 1.43164e-03,1.54120e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.0588593,0.9411407
MUS81,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0414878,0.9585122
MSG5,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0466900,0.9533100
MSN5,-1.18653e-02, 1.55789e-03,8.45168e-01,-2.60287e-02,-3.51199e-03,4.10388e-02, 2.24146e-02, 1.71700e-02,6.07669e-01,-2.48981e-02,-3.33705e-03,6.29221e-02, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1332668,0.8667332
