"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"VPS9"," 0.135101"," 0.01736929"," 2.20357e-10","  6.88090","0.939288"," 43"
"MMS4"," 0.134969"," 0.00799227"," 2.29465e-10","  6.86331","0.912659","165"
"ISW1"," 0.134160"," 0.01376712"," 2.96859e-10","  6.75147","0.948770"," 54"
"GLN3"," 0.132633"," 0.02669835"," 4.68025e-10","  6.55376","0.894752"," 83"
"CUP9"," 0.132202"," 0.00917992"," 5.33125e-10","  6.49720","0.861386"," 87"
"VPS41"," 0.132138"," 0.02321680"," 5.43505e-10","  6.48882","0.850529","235"
"RGP1"," 0.132136"," 0.03486647"," 5.43884e-10","  6.48852","0.869039"," 90"
"SKN7","-0.130530","-0.01212999"," 8.79815e-10","  6.27963","0.899983"," 56"
"MRT4"," 0.130273"," 0.01912249"," 9.49499e-10","  6.24653","0.918535"," 66"
"BUD20"," 0.130144"," 0.01860578"," 9.86773e-10","  6.22981","0.923653","117"
"ATG21"," 0.130117"," 0.01229533"," 9.94672e-10","  6.22635","0.947764","203"
"IKI1"," 0.129904"," 0.02592336"," 1.05954e-09","  6.19891","0.948293","253"
"HSC82"," 0.129805"," 0.01621519"," 1.09105e-09","  6.18618","0.936824"," 69"
"HFM1"," 0.128413"," 0.01811978"," 1.64405e-09","  6.00811","0.866212"," 99"
"YIL014C-A","-0.128111","-0.01028655"," 1.79600e-09","  5.96972","0.935725"," 53"
"CTF8"," 0.127759"," 0.01312179"," 1.99024e-09","  5.92512","0.911442"," 84"
"NEW1"," 0.127662"," 0.01812007"," 2.04720e-09","  5.91287","0.944121"," 71"
"ZWF1"," 0.126956"," 0.01838984"," 2.51306e-09","  5.82382","0.922445"," 50"
"IES2"," 0.126562"," 0.02513008"," 2.81636e-09","  5.77434","0.873941","104"
"PSR1","-0.125226","-0.01448578"," 4.13408e-09","  5.60765","0.948526"," 62"
"EDC1","-0.124793","-0.01267240"," 4.67845e-09","  5.55392","0.898384"," 86"
"SET2"," 0.124337"," 0.01794900"," 5.32510e-09","  5.49770","0.913857","125"
"RAD6"," 0.123970"," 0.04103813"," 5.90956e-09","  5.45247","0.891380","221"
"SGF73"," 0.123929"," 0.02333284"," 5.97814e-09","  5.44746","0.887467","102"
"TOP3"," 0.123260"," 0.01685062"," 7.22021e-09","  5.36548","0.883348"," 66"
"POG1","-0.122794","-0.01328716"," 8.22976e-09","  5.30864","0.916407"," 65"
"HER2"," 0.122415"," 0.00749665"," 9.15200e-09","  5.26251","0.865091"," 62"
"PEX4","-0.121509","-0.01810449"," 1.17772e-08","  5.15299","0.933179"," 64"
"RTG3","-0.121037","-0.01500325"," 1.34248e-08","  5.09612","0.891199"," 41"
"WSS1"," 0.120692"," 0.01293962"," 1.47633e-08","  5.05484","0.905857"," 91"
"PEX5"," 0.120634"," 0.01486414"," 1.50019e-08","  5.04788","0.824273"," 98"
"NTH2","-0.120601","-0.01471714"," 1.51394e-08","  5.04392","0.893971"," 84"
"SAE2"," 0.119147"," 0.01783181"," 2.25452e-08","  4.87097","0.915729","979"
"RAM1"," 0.118910"," 0.05229194"," 2.40492e-08","  4.84293","0.821747","143"
"LSM12","-0.118877","-0.01172096"," 2.42641e-08","  4.83906","0.846189","113"
"YPT6"," 0.118079"," 0.03167425"," 3.01132e-08","  4.74527","0.861521"," 90"
"EAF7"," 0.117483"," 0.02053017"," 3.53588e-08","  4.67553","0.884181"," 84"
"CUE1"," 0.117184"," 0.00787853"," 3.83037e-08","  4.64078","0.934808","121"
"STP1"," 0.116472"," 0.03328448"," 4.63370e-08","  4.55810","0.858109","152"
"MUD2","-0.116384","-0.01087582"," 4.74308e-08","  4.54797","0.833164","147"
"FAB1"," 0.116358"," 0.01250677"," 4.77627e-08","  4.54494","0.896326"," 74"
"PTC1"," 0.116354"," 0.02841461"," 4.78048e-08","  4.54455","0.828239","105"
"ERG2"," 0.115902"," 0.01745871"," 5.39098e-08","  4.49236","0.873290"," 70"
"PUS9","-0.115786","-0.00698198"," 5.55936e-08","  4.47900","0.810209","610"
"GRR1"," 0.115779"," 0.04096277"," 5.56867e-08","  4.47827","0.804041"," 72"
"BIK1","-0.115629","-0.00969765"," 5.79422e-08","  4.46103","0.760438","367"
"RAD27"," 0.114148"," 0.01982673"," 8.55101e-08","  4.29201","0.889742","163"
"REG1"," 0.113695"," 0.03328497"," 9.62401e-08","  4.24067","0.829053"," 62"
"PTH2"," 0.113672"," 0.00900808"," 9.68095e-08","  4.23811","0.797344","224"
"DIG1","-0.111163","-0.02327826"," 1.84649e-07","  3.95768","0.851916"," 58"
"DDR48","-0.111016","-0.00955829"," 1.92939e-07","  3.93861","0.934265"," 27"
"FUS3","-0.110735","-0.01726609"," 2.05879e-07","  3.91041","0.935642"," 95"
"AFT1","-0.109568","-0.01124371"," 2.76392e-07","  3.78250","0.935674"," 49"
"CAF40"," 0.109007"," 0.01770619"," 3.18044e-07","  3.72154","0.935067","146"
"UFD4","-0.108466","-0.01026978"," 3.66185e-07","  3.66032","0.943631"," 32"
"HUR1"," 0.108267"," 0.01951099"," 3.82406e-07","  3.64150","0.854753"," 88"
"BIM1"," 0.107305"," 0.01272248"," 4.85075e-07","  3.53822","0.888161","148"
"CDC26"," 0.105893"," 0.01279188"," 6.85197e-07","  3.38821","0.846106"," 67"
"SPP1","-0.105009","-0.01192395"," 8.48591e-07","  3.29533","0.777695","330"
"HTL1"," 0.104606"," 0.01751165"," 9.35088e-07","  3.25317","0.815874","176"
"RTG2"," 0.102329"," 0.01141191"," 1.60642e-06","  3.01817","0.921983"," 35"
