"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"RXT2"," 0.0670857"," 0.01025178","2.08422e-07"," 3.88796","0.800445","118"
"ESC2","-0.0668256","-0.00757787","2.32233e-07"," 3.84098","0.908729"," 52"
"CPR6","-0.0662447","-0.00466576","2.95950e-07"," 3.73569","0.947675"," 52"
"SUM1","-0.0662232","-0.00578083","3.06850e-07"," 3.71998","0.933960"," 27"
"RIM15"," 0.0659631"," 0.00674215","3.31503e-07"," 3.68642","0.944390","112"
"RIM11","-0.0658504","-0.00645509","3.47161e-07"," 3.66638","0.917188","121"
"IBA57"," 0.0656931"," 0.01361643","3.70234e-07"," 3.63843","0.854537"," 93"
"LSM7"," 0.0655071"," 0.01146341","3.99415e-07"," 3.60548","0.935430","362"
"OCA6"," 0.0654338"," 0.00580189","4.12446e-07"," 3.59154","0.926767"," 65"
"CLB2"," 0.0652757"," 0.00488541","4.39806e-07"," 3.56365","0.882761","116"
"DBR1"," 0.0651890"," 0.00689990","4.54561e-07"," 3.54932","0.924106","126"
"SNF12"," 0.0650733"," 0.01079836","4.76375e-07"," 3.52896","0.875362"," 58"
"PTH2"," 0.0650287"," 0.00474823","4.86114e-07"," 3.52017","0.946714"," 55"
"EAF6"," 0.0644494"," 0.00641261","6.12575e-07"," 3.41975","0.944451","133"
"SWD3","-0.0634238","-0.01017078","9.21570e-07"," 3.24238","0.884104","111"
"FPK1"," 0.0634032"," 0.00483599","9.31042e-07"," 3.23794","0.947155"," 56"
