ID,Transcription responsiveness
YBR213W,1349.433278938
YBR214W,2729.924211081
YBR215W,489.5461529627
YBR216C,559.465298834
YBR217W,597.1910221471
YBR218C,1276.3434248714
YBR219C,1179.5750047042
YBR220C,676.0677353667
YBR221C,1325.171119669
YBR221W-A,
YBR222C,1853.8819485598
YBR223C,1314.6382555697
YBR223W-A,
YBR224W,939.9035920233
YBR225W,1113.8351916474
YBR226C,
YBR227C,578.5918459472
YBR228W,536.7334193405
YBR229C,998.2579698024
YBR230C,2803.8122119622
YBR230W-A,
YBR231C,901.8604102074
YBR232C,3884.2089189174
YBR233W,1262.4998634147
YBR233W-A,
YBR234C,1132.2978380326
YBR235W,687.1766397412
YBR236C,513.9347046258
YBR237W,782.2655440426
YBR238C,1812.5788839575
YBR239C,708.4656007861
YBR240C,1100.3101764351
YBR241C,1901.4312683839
YBR242W,1011.0039698358
YBR243C,1027.0593756608
YBR244W,2673.0003177171
YBR245C,737.9157087959
YBR246W,623.8328925138
YBR247C,2138.1434843757
YBR248C,1870.973217361
YBR249C,2376.7536473886
YBR250W,1951.5128367281
YBR251W,826.3189960401
YBR252W,1187.7595206096
YBR253W,653.8916130129
YBR254C,626.4466301243
YBR255C-A,
YBR255W,1089.0001937959
YBR256C,2757.4478097546
YBR257W,1105.6136691086
YBR258C,664.3797964559
YBR259W,717.00490971
YBR260C,600.1422262449
YBR261C,1031.5355833364
YBR262C,1040.5104266409
YBR263W,1058.1888571129
YBR264C,890.2889415006
YBR265W,1013.7231199782
YBR266C,1591.5049169982
YBR267W,1838.4106041628
YBR268W,1362.6433649863
YBR269C,1557.0343757563
YBR270C,727.0039807738
YBR271W,1019.6064624862
YBR272C,623.558374399
YBR273C,867.3566471001
YBR274W,561.2391972598
YBR275C,1153.9395444723
YBR276C,594.5179082915
YBR277C,609.4783788275
YBR278W,800.9952958509
YBR279W,877.9212926152
YBR280C,1360.9124904792
YBR281C,1394.6625866449
YBR282W,1056.525869142
YBR283C,1097.1152281288
YBR284W,1107.9963413623
YBR285W,3763.3437578537
YBR286W,1683.0117480929
YBR287W,1975.8275090138
YBR288C,579.6572221435
YBR289W,782.7525336092
YBR290W,876.3115660518
YBR291C,1743.6521893607
YBR292C,842.7240251244
YBR293W,799.2997047539
YBR294W,2649.7864213693
YBR295W,1263.9510050639
YBR296C,8737.1586786126
YBR296C-A,
YBR297W,
YBR298C,1364.2394206619
YBR298C-A,
YBR299W,1183.4575459606
YBR300C,
YBR301W,
YBR302C,
YCL001W,1954.0230069082
YCL001W-A,
YCL001W-B,
YCL002C,
YCL003W,
YCL004W,721.7691364872
YCL005W,675.7430089597
YCL005W-A,
YCL006C,
YCL007C,
YCL008C,1571.4429711013
YCL009C,2448.5994137239
YCL010C,1107.490370297
YCL011C,913.4821014487
YCL012C,
YCL012W,
YCL013W,
YCL014W,1066.0316401335
YCL016C,537.9365806553
YCL017C,758.3682511632
YCL018W,14763.3136801952
YCL019W,
YCL020W,
YCL021W,
YCL021W-A,
YCL022C,1199.6533915983
YCL023C,1321.3464087205
YCL024W,1220.2454332295
YCL025C,2715.9652627631
YCL026C,
YCL026CA,1816.4157535656
YCL026C-A,
YCL026C-B,
YCL027W,8971.3837659417
YCL028W,
YCL029C,761.1682766051
YCL030C,5100.3478188879
YCL031C,1130.773305247
YCL032W,688.8387540638
YCL033C,1308.9678718385
YCL034W,1033.5043844934
YCL035C,2020.3592703573
YCL036W,1607.054460287
YCL037C,3173.3631616945
YCL038C,1235.9659948295
YCL039W,832.048876661
YCL040W,6562.8183694461
YCL041C,
YCL042W,
YCL043C,1950.6248172049
YCL044C,1244.7988765152
YCL045C,849.4836254617
YCL046W,1268.2713128058
YCL047C,1058.3022809457
YCL048W,4691.8504718839
YCL048W-A,
YCL049C,1837.1906877512
YCL050C,1100.4923622624
YCL051W,656.2071679274
YCL052C,952.0570296824
YCL053C,
YCL054W,2153.5669126259
YCL054W-A,
YCL055W,7821.4521871527
YCL056C,1303.8808088378
YCL057C-A,
YCL057W,1528.3962725695
YCL058C,
YCL058W-A,
YCL059C,2246.3519710092
YCL060C,
YCL061C,979.7272470495
YCL062W,
YCL063W,1151.15817859
YCL064C,6983.129072099
YCL065W,1392.8388070585
YCL066W,
YCL067C,1356.3480192651
YCL068C,
YCL069W,803.9160456224
YCL073C,
YCL074W,
YCL075W,4602.138868831
YCL076W,4524.284660618
YCR001W,1560.4268438433
YCR002C,1361.5249200051
YCR003W,1143.8325435237
YCR004C,1946.5426402697
YCR005C,5908.1336684357
YCR006C,
YCR007C,2603.2184462587
YCR008W,938.4276681305
YCR009C,1930.6527434391
