ID,Replication time
YDL219W,33.1
YDL220C,33.1
YDL221W,33.19
YDL222C,33.19
YDL223C,33.08
YDL224C,31.68
YDL225W,29.4
YDL226C,28.84
YDL227C,27.44
YDL228C,27.51
YDL229W,28.08
YDL230W,28.5
YDL231C,28.96
YDL232W,30.12
YDL233W,30.54
YDL234C,30.54
YDL235C,30.86
YDL236W,30.94
YDL237W,31.08
YDL238C,31.08
YDL239C,31.23
YDL240C-A,31.64
YDL240W,31.64
YDL241W,31.77
YDL242W,31.9
YDL243C,31.9
YDL244W,31.9
YDL245C,31.9
YDL246C,31.9
YDL247W,31.9
YDL247W-A,31.9
YDL248W,31.9
YDR001C,21.69
YDR002W,21.69
YDR003W,21.59
YDR003W-A,21.52
YDR004W,21.52
YDR005C,21.36
YDR006C,21.27
YDR007W,21.27
YDR008C,21.28
YDR009W,21.32
YDR010C,21.45
YDR011W,21.45
YDR012W,22.11
YDR013W,22.16
YDR014W,22.18
YDR014W-A,22.18
YDR015C,22.18
YDR016C,22.18
YDR017C,22.29
YDR018C,22.54
YDR019C,22.99
YDR020C,23.29
YDR021W,23.29
YDR022C,23.95
YDR023W,24.28
YDR024W,24.6
YDR025W,24.89
YDR026C,25.32
YDR027C,25.32
YDR028C,24.46
YDR029W,24.46
YDR030C,23.62
YDR031W,23.14
YDR032C,22.64
YDR033W,21.51
YDR034C,22.27
YDR034CA,
YDR034C-A,28.02
YDR034C-C,
YDR034C-D,
YDR034WB,
YDR034W-B,28.37
YDR035W,28.37
YDR036C,29.11
YDR037W,29.21
YDR038C,28.43
YDR039C,26.55
YDR040C,25.12
YDR041W,24.76
YDR042C,24.38
YDR043C,23.13
YDR044W,21.49
YDR045C,20.24
YDR046C,19.03
YDR047W,18.54
YDR048C,17.97
YDR049W,18.17
YDR050C,18.3
YDR051C,18.67
YDR052C,20.23
YDR053W,19.66
YDR054C,21.28
YDR055W,21.69
YDR056C,22.32
YDR057W,22.32
YDR058C,23.11
YDR059C,23.37
YDR060W,23.64
YDR061W,24.44
YDR062W,25.38
YDR063W,26.18
YDR064W,26.63
YDR065W,27.12
YDR066C,28.21
YDR067C,28.82
YDR068W,28.82
YDR069C,31.49
YDR070C,32.13
YDR071C,32.75
YDR072C,33.88
YDR073W,34.38
YDR074W,34.84
YDR075W,35.95
YDR076W,36.37
YDR077W,36.46
YDR078C,36.21
YDR079C-A,35.97
YDR079W,36.21
YDR080W,35.97
