ID,Noise YEPD
YDR003W,0.0678490564
YDR003W-A,
YDR004W,
YDR005C,
YDR006C,
YDR007W,-1.5679573092
YDR008C,
YDR009W,
YDR010C,
YDR011W,1.1695865355
YDR012W,0.4050835455
YDR013W,
YDR014W,
YDR014W-A,
YDR015C,
YDR016C,-0.8027852867
YDR017C,-0.5006471262
YDR018C,
YDR019C,6.0721670607
YDR020C,1.7368456254
YDR021W,-1.5799864792
YDR022C,
YDR023W,0.0828322965
YDR024W,
YDR025W,
YDR026C,
YDR027C,-2.8819460621
YDR028C,-0.883926998
YDR029W,
YDR030C,
YDR031W,
YDR032C,2.1465415145
YDR033W,4.4653265885
YDR034C,
YDR034CA,
YDR034C-A,
YDR034C-C,
YDR034C-D,
YDR034WB,
YDR034W-B,0.8010815114
YDR035W,0.1297676223
YDR036C,1.3566012256
YDR037W,
YDR038C,
YDR039C,
YDR040C,
YDR041W,
YDR042C,
YDR043C,
YDR044W,5.2959621499
YDR045C,
YDR046C,-0.3693804951
YDR047W,-0.5558099722
YDR048C,
YDR049W,-1.4462499462
YDR050C,-0.6687215517
YDR051C,-0.7594444444
YDR052C,
YDR053W,
YDR054C,-0.1475203343
YDR055W,6.3083365451
YDR056C,-0.0714417537
YDR057W,
YDR058C,
YDR059C,
YDR060W,0.9985646499
YDR061W,1.825534555
YDR062W,-0.7769724514
YDR063W,-0.8185306503
YDR064W,
YDR065W,
YDR066C,
YDR067C,
YDR068W,1.146015197
YDR069C,
YDR070C,10.5380454039
YDR071C,-0.7406117495
YDR072C,
YDR073W,
YDR074W,9.9662231749
YDR075W,
YDR076W,
YDR077W,10.1515766735
YDR078C,
YDR079C-A,
YDR079W,
YDR080W,
YDR081C,
YDR082W,
YDR083W,1.1268456254
YDR084C,3.5451495613
YDR085C,
YDR086C,-0.9944280313
YDR087C,0.1318778765
YDR088C,
YDR089W,
YDR090C,1.4647614106
YDR091C,-0.7318161311
YDR092W,-0.1187799398
YDR093W,-0.3926923077
YDR094W,
YDR095C,
YDR096W,
YDR097C,
YDR098C,-0.7080757002
YDR098C-A,
YDR098C-B,
YDR099W,-2.0189079992
YDR100W,2.156015197
YDR101C,-0.2096428571
YDR102C,
YDR103W,
YDR104C,
YDR105C,0.2893929919
YDR106W,
YDR107C,
YDR108W,
YDR109C,
YDR110W,
YDR111C,
YDR112W,
YDR113C,
YDR114C,
YDR115W,
YDR116C,2.2271868272
YDR117C,
YDR118W,
YDR118W-A,
YDR119W,-0.2743528395
YDR119W-A,
YDR120C,0.289914787
YDR121W,
YDR122W,0.2823406776
YDR123C,
YDR124W,
YDR125C,
YDR126W,
YDR127W,1.8410663564
YDR128W,
YDR129C,1.6299790213
YDR130C,
YDR131C,
YDR132C,
YDR133C,
YDR134C,
YDR135C,-0.2295904477
YDR136C,
YDR137W,
YDR138W,
YDR139C,
YDR140W,-2.9768712347
YDR141C,-1.2072013631
YDR142C,
YDR143C,
YDR144C,
YDR145W,3.8143929919
YDR146C,
YDR147W,
YDR148C,-0.5570643157
YDR149C,
YDR150W,-1.4383197809
YDR151C,
YDR152W,-1.242967654
YDR153C,-1.1653403113
YDR154C,
YDR155C,0.0874360333
YDR156W,1.6488016342
YDR157W,
YDR158W,-0.3842983315
YDR159W,
YDR160W,
YDR161W,-0.3311583424
YDR162C,
YDR163W,
YDR164C,
YDR165W,0.6099249161
YDR166C,0.6479648852
YDR167W,
YDR168W,-0.8799732248
YDR169C,
YDR169C-A,
YDR170C,-0.4563035368
YDR170W-A,13.7483224076
YDR171W,7.9559131496
YDR172W,-1.4129822743
YDR173C,
YDR174W,2.8877551433
YDR175C,
YDR176W,
YDR177W,-1.3036025323
YDR178W,
YDR179C,
YDR179WA,
YDR179W-A,
YDR180W,
YDR181C,
YDR182W,
YDR182W-A,
YDR183C-A,
YDR183W,
YDR184C,
YDR185C,
YDR186C,
YDR187C,
YDR188W,
YDR189W,-1.6009772981
YDR190C,4.1501833835
YDR191W,
YDR192C,
YDR193W,
YDR194C,2.9345912583
